Logic Gate,Method,Encoding,Max Iterations to Converge
AND,cg-exhaustive,amplitude-2-inputs,809
AND,gradient,amplitude-2-inputs,17
AND,random,amplitude-2-inputs,23
AND,simulated,amplitude-2-inputs,99
AND,genetic,amplitude-2-inputs,10
OR,cg-exhaustive,amplitude-2-inputs,510
OR,gradient,amplitude-2-inputs,27
OR,random,amplitude-2-inputs,30
OR,simulated,amplitude-2-inputs,105
OR,genetic,amplitude-2-inputs,10
XOR,cg-exhaustive,amplitude-2-inputs,804
XOR,gradient,amplitude-2-inputs,32
XOR,random,amplitude-2-inputs,28
XOR,simulated,amplitude-2-inputs,110
XOR,genetic,amplitude-2-inputs,10
NAND,cg-exhaustive,amplitude-2-inputs,502
NAND,gradient,amplitude-2-inputs,24
NAND,random,amplitude-2-inputs,27
NAND,simulated,amplitude-2-inputs,89
NAND,genetic,amplitude-2-inputs,10
NOR,cg-exhaustive,amplitude-2-inputs,508
NOR,gradient,amplitude-2-inputs,21
NOR,random,amplitude-2-inputs,18
NOR,simulated,amplitude-2-inputs,136
NOR,genetic,amplitude-2-inputs,10
XNOR,cg-exhaustive,amplitude-2-inputs,802
XNOR,gradient,amplitude-2-inputs,33
XNOR,random,amplitude-2-inputs,40
XNOR,simulated,amplitude-2-inputs,136
XNOR,genetic,amplitude-2-inputs,10
