Logic Gate; Method; Iteration; Error; Run
AND; genetic_algorithm; 1; 0.248046875; 0
AND; genetic_algorithm; 2; 0.248046875; 0
AND; genetic_algorithm; 3; 0.248046875; 0
AND; genetic_algorithm; 4; 0.248046875; 0
AND; genetic_algorithm; 5; 0.248046875; 0
AND; genetic_algorithm; 6; 0.248046875; 0
AND; genetic_algorithm; 7; 0.248046875; 0
AND; genetic_algorithm; 8; 0.248046875; 0
AND; genetic_algorithm; 9; 0.248046875; 0
AND; genetic_algorithm; 10; 0.248046875; 0
AND; genetic_algorithm; 1; 0.251953125; 1
AND; genetic_algorithm; 2; 0.251953125; 1
AND; genetic_algorithm; 3; 0.251953125; 1
AND; genetic_algorithm; 4; 0.251953125; 1
AND; genetic_algorithm; 5; 0.251953125; 1
AND; genetic_algorithm; 6; 0.251953125; 1
AND; genetic_algorithm; 7; 0.251953125; 1
AND; genetic_algorithm; 8; 0.251953125; 1
AND; genetic_algorithm; 9; 0.251953125; 1
AND; genetic_algorithm; 10; 0.251953125; 1
AND; genetic_algorithm; 11; 0.2470703125; 1
AND; genetic_algorithm; 12; 0.2470703125; 1
AND; genetic_algorithm; 13; 0.2470703125; 1
AND; genetic_algorithm; 14; 0.2470703125; 1
AND; genetic_algorithm; 15; 0.2470703125; 1
AND; genetic_algorithm; 16; 0.2470703125; 1
AND; genetic_algorithm; 17; 0.2470703125; 1
AND; genetic_algorithm; 18; 0.2470703125; 1
AND; genetic_algorithm; 19; 0.2470703125; 1
AND; genetic_algorithm; 20; 0.2470703125; 1
AND; genetic_algorithm; 1; 0.2548828125; 2
AND; genetic_algorithm; 2; 0.2548828125; 2
AND; genetic_algorithm; 3; 0.2548828125; 2
AND; genetic_algorithm; 4; 0.2548828125; 2
AND; genetic_algorithm; 5; 0.2548828125; 2
AND; genetic_algorithm; 6; 0.2548828125; 2
AND; genetic_algorithm; 7; 0.2548828125; 2
AND; genetic_algorithm; 8; 0.2548828125; 2
AND; genetic_algorithm; 9; 0.2548828125; 2
AND; genetic_algorithm; 10; 0.2548828125; 2
AND; genetic_algorithm; 11; 0.2529296875; 2
AND; genetic_algorithm; 12; 0.2529296875; 2
AND; genetic_algorithm; 13; 0.2529296875; 2
AND; genetic_algorithm; 14; 0.2529296875; 2
AND; genetic_algorithm; 15; 0.2529296875; 2
AND; genetic_algorithm; 16; 0.2529296875; 2
AND; genetic_algorithm; 17; 0.2529296875; 2
AND; genetic_algorithm; 18; 0.2529296875; 2
AND; genetic_algorithm; 19; 0.2529296875; 2
AND; genetic_algorithm; 20; 0.2529296875; 2
AND; genetic_algorithm; 21; 0.2626953125; 2
AND; genetic_algorithm; 22; 0.2626953125; 2
AND; genetic_algorithm; 23; 0.2626953125; 2
AND; genetic_algorithm; 24; 0.2626953125; 2
AND; genetic_algorithm; 25; 0.2626953125; 2
AND; genetic_algorithm; 26; 0.2626953125; 2
AND; genetic_algorithm; 27; 0.2626953125; 2
AND; genetic_algorithm; 28; 0.2626953125; 2
AND; genetic_algorithm; 29; 0.2626953125; 2
AND; genetic_algorithm; 30; 0.2626953125; 2
AND; genetic_algorithm; 31; 0.2509765625; 2
AND; genetic_algorithm; 32; 0.2509765625; 2
AND; genetic_algorithm; 33; 0.2509765625; 2
AND; genetic_algorithm; 34; 0.2509765625; 2
AND; genetic_algorithm; 35; 0.2509765625; 2
AND; genetic_algorithm; 36; 0.2509765625; 2
AND; genetic_algorithm; 37; 0.2509765625; 2
AND; genetic_algorithm; 38; 0.2509765625; 2
AND; genetic_algorithm; 39; 0.2509765625; 2
AND; genetic_algorithm; 40; 0.2509765625; 2
AND; genetic_algorithm; 41; 0.26171875; 2
AND; genetic_algorithm; 42; 0.26171875; 2
AND; genetic_algorithm; 43; 0.26171875; 2
AND; genetic_algorithm; 44; 0.26171875; 2
AND; genetic_algorithm; 45; 0.26171875; 2
AND; genetic_algorithm; 46; 0.26171875; 2
AND; genetic_algorithm; 47; 0.26171875; 2
AND; genetic_algorithm; 48; 0.26171875; 2
AND; genetic_algorithm; 49; 0.26171875; 2
AND; genetic_algorithm; 50; 0.26171875; 2
AND; genetic_algorithm; 51; 0.2373046875; 2
AND; genetic_algorithm; 52; 0.2373046875; 2
AND; genetic_algorithm; 53; 0.2373046875; 2
AND; genetic_algorithm; 54; 0.2373046875; 2
AND; genetic_algorithm; 55; 0.2373046875; 2
AND; genetic_algorithm; 56; 0.2373046875; 2
AND; genetic_algorithm; 57; 0.2373046875; 2
AND; genetic_algorithm; 58; 0.2373046875; 2
AND; genetic_algorithm; 59; 0.2373046875; 2
AND; genetic_algorithm; 60; 0.2373046875; 2
AND; genetic_algorithm; 1; 0.2421875; 3
AND; genetic_algorithm; 2; 0.2421875; 3
AND; genetic_algorithm; 3; 0.2421875; 3
AND; genetic_algorithm; 4; 0.2421875; 3
AND; genetic_algorithm; 5; 0.2421875; 3
AND; genetic_algorithm; 6; 0.2421875; 3
AND; genetic_algorithm; 7; 0.2421875; 3
AND; genetic_algorithm; 8; 0.2421875; 3
AND; genetic_algorithm; 9; 0.2421875; 3
AND; genetic_algorithm; 10; 0.2421875; 3
AND; genetic_algorithm; 1; 0.2373046875; 4
AND; genetic_algorithm; 2; 0.2373046875; 4
AND; genetic_algorithm; 3; 0.2373046875; 4
AND; genetic_algorithm; 4; 0.2373046875; 4
AND; genetic_algorithm; 5; 0.2373046875; 4
AND; genetic_algorithm; 6; 0.2373046875; 4
AND; genetic_algorithm; 7; 0.2373046875; 4
AND; genetic_algorithm; 8; 0.2373046875; 4
AND; genetic_algorithm; 9; 0.2373046875; 4
AND; genetic_algorithm; 10; 0.2373046875; 4
AND; genetic_algorithm; 1; 0.232421875; 5
AND; genetic_algorithm; 2; 0.232421875; 5
AND; genetic_algorithm; 3; 0.232421875; 5
AND; genetic_algorithm; 4; 0.232421875; 5
AND; genetic_algorithm; 5; 0.232421875; 5
AND; genetic_algorithm; 6; 0.232421875; 5
AND; genetic_algorithm; 7; 0.232421875; 5
AND; genetic_algorithm; 8; 0.232421875; 5
AND; genetic_algorithm; 9; 0.232421875; 5
AND; genetic_algorithm; 10; 0.232421875; 5
AND; genetic_algorithm; 1; 0.224609375; 6
AND; genetic_algorithm; 2; 0.224609375; 6
AND; genetic_algorithm; 3; 0.224609375; 6
AND; genetic_algorithm; 4; 0.224609375; 6
AND; genetic_algorithm; 5; 0.224609375; 6
AND; genetic_algorithm; 6; 0.224609375; 6
AND; genetic_algorithm; 7; 0.224609375; 6
AND; genetic_algorithm; 8; 0.224609375; 6
AND; genetic_algorithm; 9; 0.224609375; 6
AND; genetic_algorithm; 10; 0.224609375; 6
AND; genetic_algorithm; 1; 0.2509765625; 7
AND; genetic_algorithm; 2; 0.2509765625; 7
