Logic Gate; Method; Iteration; Error; Run
AND; random_search; 1; 0.26171875; 0
AND; random_search; 2; 0.2421875; 0
AND; random_search; 1; 0.2373046875; 1
AND; random_search; 1; 0.357421875; 2
AND; random_search; 2; 0.2705078125; 2
AND; random_search; 3; 0.2705078125; 2
AND; random_search; 4; 0.25390625; 2
AND; random_search; 5; 0.25390625; 2
AND; random_search; 6; 0.2373046875; 2
AND; random_search; 1; 0.2578125; 3
AND; random_search; 2; 0.2578125; 3
AND; random_search; 3; 0.2578125; 3
AND; random_search; 4; 0.2578125; 3
AND; random_search; 5; 0.2578125; 3
AND; random_search; 6; 0.2578125; 3
AND; random_search; 7; 0.2578125; 3
AND; random_search; 8; 0.2578125; 3
AND; random_search; 9; 0.236328125; 3
AND; random_search; 1; 0.580078125; 4
AND; random_search; 2; 0.580078125; 4
AND; random_search; 3; 0.294921875; 4
AND; random_search; 4; 0.294921875; 4
AND; random_search; 5; 0.2685546875; 4
AND; random_search; 6; 0.2685546875; 4
AND; random_search; 7; 0.2685546875; 4
AND; random_search; 8; 0.2607421875; 4
AND; random_search; 9; 0.2607421875; 4
AND; random_search; 10; 0.2607421875; 4
AND; random_search; 11; 0.2607421875; 4
AND; random_search; 12; 0.2333984375; 4
AND; random_search; 1; 0.2685546875; 5
AND; random_search; 2; 0.2685546875; 5
AND; random_search; 3; 0.2685546875; 5
AND; random_search; 4; 0.2685546875; 5
AND; random_search; 5; 0.2685546875; 5
AND; random_search; 6; 0.2509765625; 5
AND; random_search; 7; 0.2509765625; 5
AND; random_search; 8; 0.2509765625; 5
AND; random_search; 9; 0.2509765625; 5
AND; random_search; 10; 0.2431640625; 5
AND; random_search; 1; 0.25; 6
AND; random_search; 2; 0.25; 6
AND; random_search; 3; 0.25; 6
AND; random_search; 4; 0.25; 6
AND; random_search; 5; 0.25; 6
AND; random_search; 6; 0.25; 6
AND; random_search; 7; 0.25; 6
AND; random_search; 8; 0.25; 6
AND; random_search; 9; 0.2470703125; 6
AND; random_search; 1; 0.2587890625; 7
AND; random_search; 2; 0.2490234375; 7
AND; random_search; 1; 0.3134765625; 8
AND; random_search; 2; 0.26953125; 8
AND; random_search; 3; 0.26953125; 8
AND; random_search; 4; 0.26953125; 8
AND; random_search; 5; 0.26953125; 8
AND; random_search; 6; 0.26953125; 8
AND; random_search; 7; 0.26953125; 8
AND; random_search; 8; 0.26953125; 8
AND; random_search; 9; 0.26953125; 8
AND; random_search; 10; 0.2421875; 8
AND; random_search; 1; 0.2705078125; 9
AND; random_search; 2; 0.2705078125; 9
AND; random_search; 3; 0.2705078125; 9
AND; random_search; 4; 0.2294921875; 9
