Logic Gate; Method; Iteration; Error; Run
NAND; gradient_descent; 1; 0.2998046875; 0
NAND; gradient_descent; 2; 0.2958984375; 0
NAND; gradient_descent; 3; 0.2548828125; 0
NAND; gradient_descent; 4; 0.2548828125; 0
NAND; gradient_descent; 5; 0.2548828125; 0
NAND; gradient_descent; 6; 0.2548828125; 0
NAND; gradient_descent; 7; 0.2548828125; 0
NAND; gradient_descent; 8; 0.2548828125; 0
NAND; gradient_descent; 9; 0.2548828125; 0
NAND; gradient_descent; 10; 0.2548828125; 0
NAND; gradient_descent; 11; 0.2548828125; 0
NAND; gradient_descent; 12; 0.2548828125; 0
NAND; gradient_descent; 13; 0.2548828125; 0
NAND; gradient_descent; 14; 0.2412109375; 0
NAND; gradient_descent; 1; 0.251953125; 1
NAND; gradient_descent; 2; 0.251953125; 1
NAND; gradient_descent; 3; 0.251953125; 1
NAND; gradient_descent; 4; 0.251953125; 1
NAND; gradient_descent; 5; 0.22265625; 1
NAND; gradient_descent; 1; 0.265625; 2
NAND; gradient_descent; 2; 0.265625; 2
NAND; gradient_descent; 3; 0.265625; 2
NAND; gradient_descent; 4; 0.265625; 2
NAND; gradient_descent; 5; 0.265625; 2
NAND; gradient_descent; 6; 0.265625; 2
NAND; gradient_descent; 7; 0.265625; 2
NAND; gradient_descent; 8; 0.265625; 2
NAND; gradient_descent; 9; 0.265625; 2
NAND; gradient_descent; 10; 0.265625; 2
NAND; gradient_descent; 11; 0.265625; 2
NAND; gradient_descent; 12; 0.265625; 2
NAND; gradient_descent; 13; 0.265625; 2
NAND; gradient_descent; 14; 0.2607421875; 2
NAND; gradient_descent; 15; 0.2607421875; 2
NAND; gradient_descent; 16; 0.23828125; 2
NAND; gradient_descent; 1; 0.5498046875; 3
NAND; gradient_descent; 2; 0.48828125; 3
NAND; gradient_descent; 3; 0.2626953125; 3
NAND; gradient_descent; 4; 0.2509765625; 3
NAND; gradient_descent; 5; 0.2509765625; 3
NAND; gradient_descent; 6; 0.2509765625; 3
NAND; gradient_descent; 7; 0.2509765625; 3
NAND; gradient_descent; 8; 0.2509765625; 3
NAND; gradient_descent; 9; 0.23046875; 3
NAND; gradient_descent; 1; 0.4794921875; 4
NAND; gradient_descent; 2; 0.2568359375; 4
NAND; gradient_descent; 3; 0.2568359375; 4
NAND; gradient_descent; 4; 0.2568359375; 4
NAND; gradient_descent; 5; 0.2568359375; 4
NAND; gradient_descent; 6; 0.2568359375; 4
NAND; gradient_descent; 7; 0.2568359375; 4
NAND; gradient_descent; 8; 0.2568359375; 4
NAND; gradient_descent; 9; 0.2568359375; 4
NAND; gradient_descent; 10; 0.2568359375; 4
NAND; gradient_descent; 11; 0.2568359375; 4
NAND; gradient_descent; 12; 0.2568359375; 4
NAND; gradient_descent; 13; 0.2568359375; 4
NAND; gradient_descent; 14; 0.2568359375; 4
NAND; gradient_descent; 15; 0.2568359375; 4
NAND; gradient_descent; 16; 0.22265625; 4
NAND; gradient_descent; 1; 0.2705078125; 5
NAND; gradient_descent; 2; 0.2333984375; 5
NAND; gradient_descent; 1; 0.2607421875; 6
NAND; gradient_descent; 2; 0.2587890625; 6
NAND; gradient_descent; 3; 0.2412109375; 6
NAND; gradient_descent; 1; 0.2666015625; 7
NAND; gradient_descent; 2; 0.2392578125; 7
NAND; gradient_descent; 1; 0.279296875; 8
NAND; gradient_descent; 2; 0.25; 8
NAND; gradient_descent; 3; 0.25; 8
NAND; gradient_descent; 4; 0.25; 8
NAND; gradient_descent; 5; 0.24609375; 8
NAND; gradient_descent; 1; 0.248046875; 9
NAND; gradient_descent; 2; 0.248046875; 9
NAND; gradient_descent; 3; 0.248046875; 9
NAND; gradient_descent; 4; 0.248046875; 9
NAND; gradient_descent; 5; 0.248046875; 9
NAND; gradient_descent; 6; 0.248046875; 9
NAND; gradient_descent; 7; 0.248046875; 9
NAND; gradient_descent; 8; 0.248046875; 9
NAND; gradient_descent; 9; 0.248046875; 9
NAND; gradient_descent; 10; 0.248046875; 9
NAND; gradient_descent; 11; 0.248046875; 9
NAND; gradient_descent; 12; 0.248046875; 9
NAND; gradient_descent; 13; 0.248046875; 9
NAND; gradient_descent; 14; 0.248046875; 9
NAND; gradient_descent; 15; 0.248046875; 9
NAND; gradient_descent; 16; 0.248046875; 9
NAND; gradient_descent; 17; 0.248046875; 9
NAND; gradient_descent; 18; 0.248046875; 9
NAND; gradient_descent; 19; 0.248046875; 9
NAND; gradient_descent; 20; 0.248046875; 9
NAND; gradient_descent; 21; 0.248046875; 9
NAND; gradient_descent; 22; 0.248046875; 9
NAND; gradient_descent; 23; 0.248046875; 9
NAND; gradient_descent; 24; 0.248046875; 9
NAND; gradient_descent; 25; 0.248046875; 9
NAND; gradient_descent; 26; 0.248046875; 9
NAND; gradient_descent; 27; 0.248046875; 9
NAND; gradient_descent; 28; 0.248046875; 9
NAND; gradient_descent; 29; 0.248046875; 9
NAND; gradient_descent; 30; 0.248046875; 9
NAND; gradient_descent; 31; 0.248046875; 9
NAND; gradient_descent; 32; 0.248046875; 9
NAND; gradient_descent; 33; 0.248046875; 9
NAND; gradient_descent; 34; 0.248046875; 9
NAND; gradient_descent; 35; 0.232421875; 9
