Logic Gate; Method; Iteration; Error; Run
NAND; random_search; 1; 0.46484375; 0
NAND; random_search; 2; 0.2802734375; 0
NAND; random_search; 3; 0.2802734375; 0
NAND; random_search; 4; 0.2802734375; 0
NAND; random_search; 5; 0.2802734375; 0
NAND; random_search; 6; 0.2802734375; 0
NAND; random_search; 7; 0.236328125; 0
NAND; random_search; 1; 0.349609375; 1
NAND; random_search; 2; 0.275390625; 1
NAND; random_search; 3; 0.2529296875; 1
NAND; random_search; 4; 0.2529296875; 1
NAND; random_search; 5; 0.2529296875; 1
NAND; random_search; 6; 0.248046875; 1
NAND; random_search; 1; 0.3046875; 2
NAND; random_search; 2; 0.3046875; 2
NAND; random_search; 3; 0.3046875; 2
NAND; random_search; 4; 0.28125; 2
NAND; random_search; 5; 0.28125; 2
NAND; random_search; 6; 0.2763671875; 2
NAND; random_search; 7; 0.2763671875; 2
NAND; random_search; 8; 0.2763671875; 2
NAND; random_search; 9; 0.2763671875; 2
NAND; random_search; 10; 0.2373046875; 2
NAND; random_search; 1; 0.52734375; 3
NAND; random_search; 2; 0.2890625; 3
NAND; random_search; 3; 0.2890625; 3
NAND; random_search; 4; 0.2890625; 3
NAND; random_search; 5; 0.2890625; 3
NAND; random_search; 6; 0.2890625; 3
NAND; random_search; 7; 0.2890625; 3
NAND; random_search; 8; 0.2890625; 3
NAND; random_search; 9; 0.2890625; 3
NAND; random_search; 10; 0.2890625; 3
NAND; random_search; 11; 0.2890625; 3
NAND; random_search; 12; 0.2890625; 3
NAND; random_search; 13; 0.2568359375; 3
NAND; random_search; 14; 0.2568359375; 3
NAND; random_search; 15; 0.2568359375; 3
NAND; random_search; 16; 0.2568359375; 3
NAND; random_search; 17; 0.2568359375; 3
NAND; random_search; 18; 0.2568359375; 3
NAND; random_search; 19; 0.2568359375; 3
NAND; random_search; 20; 0.2568359375; 3
NAND; random_search; 21; 0.2568359375; 3
NAND; random_search; 22; 0.2568359375; 3
NAND; random_search; 23; 0.2568359375; 3
NAND; random_search; 24; 0.2529296875; 3
NAND; random_search; 25; 0.2529296875; 3
NAND; random_search; 26; 0.2529296875; 3
NAND; random_search; 27; 0.2529296875; 3
NAND; random_search; 28; 0.2529296875; 3
NAND; random_search; 29; 0.2529296875; 3
NAND; random_search; 30; 0.2529296875; 3
NAND; random_search; 31; 0.2529296875; 3
NAND; random_search; 32; 0.2529296875; 3
NAND; random_search; 33; 0.2529296875; 3
NAND; random_search; 34; 0.2529296875; 3
NAND; random_search; 35; 0.2529296875; 3
NAND; random_search; 36; 0.2373046875; 3
NAND; random_search; 1; 0.2646484375; 4
NAND; random_search; 2; 0.2646484375; 4
NAND; random_search; 3; 0.2265625; 4
NAND; random_search; 1; 0.2763671875; 5
NAND; random_search; 2; 0.2763671875; 5
NAND; random_search; 3; 0.248046875; 5
NAND; random_search; 1; 0.5419921875; 6
NAND; random_search; 2; 0.25390625; 6
NAND; random_search; 3; 0.25390625; 6
NAND; random_search; 4; 0.25390625; 6
NAND; random_search; 5; 0.25390625; 6
NAND; random_search; 6; 0.25390625; 6
NAND; random_search; 7; 0.25390625; 6
NAND; random_search; 8; 0.25390625; 6
NAND; random_search; 9; 0.25390625; 6
NAND; random_search; 10; 0.25390625; 6
NAND; random_search; 11; 0.25390625; 6
NAND; random_search; 12; 0.25390625; 6
NAND; random_search; 13; 0.25390625; 6
NAND; random_search; 14; 0.25390625; 6
NAND; random_search; 15; 0.25390625; 6
NAND; random_search; 16; 0.25390625; 6
NAND; random_search; 17; 0.2529296875; 6
NAND; random_search; 18; 0.2529296875; 6
NAND; random_search; 19; 0.2333984375; 6
NAND; random_search; 1; 0.3349609375; 7
NAND; random_search; 2; 0.3349609375; 7
NAND; random_search; 3; 0.2470703125; 7
NAND; random_search; 1; 0.3388671875; 8
NAND; random_search; 2; 0.244140625; 8
NAND; random_search; 1; 0.2666015625; 9
NAND; random_search; 2; 0.2666015625; 9
NAND; random_search; 3; 0.2666015625; 9
NAND; random_search; 4; 0.2666015625; 9
NAND; random_search; 5; 0.2666015625; 9
NAND; random_search; 6; 0.2509765625; 9
NAND; random_search; 7; 0.2509765625; 9
NAND; random_search; 8; 0.2509765625; 9
NAND; random_search; 9; 0.2490234375; 9
