Logic Gate; Method; Iteration; Error; Run
NAND; simulated_annealing; 1; 0.4208984375; 0
NAND; simulated_annealing; 2; 0.4208984375; 0
NAND; simulated_annealing; 3; 0.4208984375; 0
NAND; simulated_annealing; 4; 0.4208984375; 0
NAND; simulated_annealing; 5; 0.4208984375; 0
NAND; simulated_annealing; 6; 0.3759765625; 0
NAND; simulated_annealing; 7; 0.3681640625; 0
NAND; simulated_annealing; 8; 0.3681640625; 0
NAND; simulated_annealing; 9; 0.3681640625; 0
NAND; simulated_annealing; 10; 0.3681640625; 0
NAND; simulated_annealing; 11; 0.3681640625; 0
NAND; simulated_annealing; 12; 0.3681640625; 0
NAND; simulated_annealing; 13; 0.3681640625; 0
NAND; simulated_annealing; 14; 0.3681640625; 0
NAND; simulated_annealing; 15; 0.3681640625; 0
NAND; simulated_annealing; 16; 0.3681640625; 0
NAND; simulated_annealing; 17; 0.3681640625; 0
NAND; simulated_annealing; 18; 0.3681640625; 0
NAND; simulated_annealing; 19; 0.3681640625; 0
NAND; simulated_annealing; 20; 0.3681640625; 0
NAND; simulated_annealing; 21; 0.3681640625; 0
NAND; simulated_annealing; 22; 0.3681640625; 0
NAND; simulated_annealing; 23; 0.3681640625; 0
NAND; simulated_annealing; 24; 0.3681640625; 0
NAND; simulated_annealing; 25; 0.3681640625; 0
NAND; simulated_annealing; 26; 0.3681640625; 0
NAND; simulated_annealing; 27; 0.3681640625; 0
NAND; simulated_annealing; 28; 0.3681640625; 0
NAND; simulated_annealing; 29; 0.3681640625; 0
NAND; simulated_annealing; 30; 0.3681640625; 0
NAND; simulated_annealing; 31; 0.3681640625; 0
NAND; simulated_annealing; 32; 0.3681640625; 0
NAND; simulated_annealing; 33; 0.3681640625; 0
NAND; simulated_annealing; 34; 0.3681640625; 0
NAND; simulated_annealing; 35; 0.3681640625; 0
NAND; simulated_annealing; 36; 0.353515625; 0
NAND; simulated_annealing; 37; 0.3369140625; 0
NAND; simulated_annealing; 38; 0.3369140625; 0
NAND; simulated_annealing; 39; 0.3369140625; 0
NAND; simulated_annealing; 40; 0.3017578125; 0
NAND; simulated_annealing; 41; 0.3017578125; 0
NAND; simulated_annealing; 42; 0.3017578125; 0
NAND; simulated_annealing; 43; 0.3017578125; 0
NAND; simulated_annealing; 44; 0.3017578125; 0
NAND; simulated_annealing; 45; 0.2890625; 0
NAND; simulated_annealing; 46; 0.2607421875; 0
NAND; simulated_annealing; 47; 0.2607421875; 0
NAND; simulated_annealing; 48; 0.248046875; 0
NAND; simulated_annealing; 1; 0.244140625; 1
NAND; simulated_annealing; 1; 0.3037109375; 2
NAND; simulated_annealing; 2; 0.3037109375; 2
NAND; simulated_annealing; 3; 0.2890625; 2
NAND; simulated_annealing; 4; 0.28125; 2
NAND; simulated_annealing; 5; 0.28125; 2
NAND; simulated_annealing; 6; 0.28125; 2
NAND; simulated_annealing; 7; 0.28125; 2
NAND; simulated_annealing; 8; 0.28125; 2
NAND; simulated_annealing; 9; 0.28125; 2
NAND; simulated_annealing; 10; 0.28125; 2
NAND; simulated_annealing; 11; 0.28125; 2
NAND; simulated_annealing; 12; 0.28125; 2
NAND; simulated_annealing; 13; 0.28125; 2
NAND; simulated_annealing; 14; 0.28125; 2
NAND; simulated_annealing; 15; 0.2763671875; 2
NAND; simulated_annealing; 16; 0.2763671875; 2
NAND; simulated_annealing; 17; 0.26953125; 2
NAND; simulated_annealing; 18; 0.26953125; 2
NAND; simulated_annealing; 19; 0.26953125; 2
NAND; simulated_annealing; 20; 0.2412109375; 2
NAND; simulated_annealing; 1; 0.51953125; 3
NAND; simulated_annealing; 2; 0.51953125; 3
NAND; simulated_annealing; 3; 0.51953125; 3
NAND; simulated_annealing; 4; 0.51953125; 3
NAND; simulated_annealing; 5; 0.4921875; 3
NAND; simulated_annealing; 6; 0.4921875; 3
NAND; simulated_annealing; 7; 0.4921875; 3
NAND; simulated_annealing; 8; 0.4921875; 3
NAND; simulated_annealing; 9; 0.4921875; 3
NAND; simulated_annealing; 10; 0.4921875; 3
NAND; simulated_annealing; 11; 0.474609375; 3
NAND; simulated_annealing; 12; 0.400390625; 3
NAND; simulated_annealing; 13; 0.400390625; 3
NAND; simulated_annealing; 14; 0.365234375; 3
NAND; simulated_annealing; 15; 0.365234375; 3
NAND; simulated_annealing; 16; 0.365234375; 3
NAND; simulated_annealing; 17; 0.365234375; 3
NAND; simulated_annealing; 18; 0.365234375; 3
NAND; simulated_annealing; 19; 0.365234375; 3
NAND; simulated_annealing; 20; 0.361328125; 3
NAND; simulated_annealing; 21; 0.361328125; 3
NAND; simulated_annealing; 22; 0.361328125; 3
NAND; simulated_annealing; 23; 0.361328125; 3
NAND; simulated_annealing; 24; 0.361328125; 3
NAND; simulated_annealing; 25; 0.361328125; 3
