Logic Gate; Method; Iteration; Error; Run
NOR; gradient_descent; 1; 0.57421875; 0
NOR; gradient_descent; 2; 0.57421875; 0
NOR; gradient_descent; 3; 0.271484375; 0
NOR; gradient_descent; 4; 0.2626953125; 0
NOR; gradient_descent; 5; 0.2626953125; 0
NOR; gradient_descent; 6; 0.259765625; 0
NOR; gradient_descent; 7; 0.259765625; 0
NOR; gradient_descent; 8; 0.259765625; 0
NOR; gradient_descent; 9; 0.259765625; 0
NOR; gradient_descent; 10; 0.259765625; 0
NOR; gradient_descent; 11; 0.259765625; 0
NOR; gradient_descent; 12; 0.259765625; 0
NOR; gradient_descent; 13; 0.259765625; 0
NOR; gradient_descent; 14; 0.259765625; 0
NOR; gradient_descent; 15; 0.259765625; 0
NOR; gradient_descent; 16; 0.259765625; 0
NOR; gradient_descent; 17; 0.259765625; 0
NOR; gradient_descent; 18; 0.259765625; 0
NOR; gradient_descent; 19; 0.259765625; 0
NOR; gradient_descent; 20; 0.259765625; 0
NOR; gradient_descent; 21; 0.259765625; 0
NOR; gradient_descent; 22; 0.2421875; 0
NOR; gradient_descent; 1; 0.263671875; 1
NOR; gradient_descent; 2; 0.263671875; 1
NOR; gradient_descent; 3; 0.263671875; 1
NOR; gradient_descent; 4; 0.263671875; 1
NOR; gradient_descent; 5; 0.24609375; 1
NOR; gradient_descent; 1; 0.2646484375; 2
NOR; gradient_descent; 2; 0.2646484375; 2
NOR; gradient_descent; 3; 0.2646484375; 2
NOR; gradient_descent; 4; 0.2646484375; 2
NOR; gradient_descent; 5; 0.2646484375; 2
NOR; gradient_descent; 6; 0.2646484375; 2
NOR; gradient_descent; 7; 0.2646484375; 2
NOR; gradient_descent; 8; 0.2646484375; 2
NOR; gradient_descent; 9; 0.2646484375; 2
NOR; gradient_descent; 10; 0.2509765625; 2
NOR; gradient_descent; 11; 0.2509765625; 2
NOR; gradient_descent; 12; 0.2490234375; 2
NOR; gradient_descent; 1; 0.2470703125; 3
NOR; gradient_descent; 2; 0.2470703125; 3
NOR; gradient_descent; 1; 0.23828125; 4
NOR; gradient_descent; 1; 0.380859375; 5
NOR; gradient_descent; 2; 0.255859375; 5
NOR; gradient_descent; 3; 0.244140625; 5
NOR; gradient_descent; 1; 0.3330078125; 6
NOR; gradient_descent; 2; 0.3330078125; 6
NOR; gradient_descent; 3; 0.3330078125; 6
NOR; gradient_descent; 4; 0.3330078125; 6
NOR; gradient_descent; 5; 0.3330078125; 6
NOR; gradient_descent; 6; 0.28515625; 6
NOR; gradient_descent; 7; 0.28515625; 6
NOR; gradient_descent; 8; 0.28515625; 6
NOR; gradient_descent; 9; 0.28515625; 6
NOR; gradient_descent; 10; 0.28515625; 6
NOR; gradient_descent; 11; 0.28515625; 6
NOR; gradient_descent; 12; 0.28515625; 6
NOR; gradient_descent; 13; 0.28515625; 6
NOR; gradient_descent; 14; 0.28515625; 6
NOR; gradient_descent; 15; 0.28515625; 6
NOR; gradient_descent; 16; 0.28515625; 6
NOR; gradient_descent; 17; 0.267578125; 6
NOR; gradient_descent; 18; 0.267578125; 6
NOR; gradient_descent; 19; 0.267578125; 6
NOR; gradient_descent; 20; 0.267578125; 6
NOR; gradient_descent; 21; 0.267578125; 6
NOR; gradient_descent; 22; 0.2509765625; 6
NOR; gradient_descent; 23; 0.2509765625; 6
NOR; gradient_descent; 24; 0.24609375; 6
NOR; gradient_descent; 1; 0.24609375; 7
NOR; gradient_descent; 2; 0.24609375; 7
NOR; gradient_descent; 3; 0.24609375; 7
NOR; gradient_descent; 4; 0.24609375; 7
NOR; gradient_descent; 5; 0.24609375; 7
NOR; gradient_descent; 6; 0.24609375; 7
NOR; gradient_descent; 7; 0.24609375; 7
NOR; gradient_descent; 8; 0.24609375; 7
NOR; gradient_descent; 9; 0.2421875; 7
NOR; gradient_descent; 1; 0.263671875; 8
NOR; gradient_descent; 2; 0.263671875; 8
NOR; gradient_descent; 3; 0.24609375; 8
NOR; gradient_descent; 1; 0.2412109375; 9
