Logic Gate; Method; Iteration; Error; Run
NOR; random_search; 1; 0.3291015625; 0
NOR; random_search; 2; 0.3046875; 0
NOR; random_search; 3; 0.2919921875; 0
NOR; random_search; 4; 0.2919921875; 0
NOR; random_search; 5; 0.2919921875; 0
NOR; random_search; 6; 0.2919921875; 0
NOR; random_search; 7; 0.2421875; 0
NOR; random_search; 1; 0.580078125; 1
NOR; random_search; 2; 0.2451171875; 1
NOR; random_search; 1; 0.505859375; 2
NOR; random_search; 2; 0.240234375; 2
NOR; random_search; 1; 0.599609375; 3
NOR; random_search; 2; 0.2529296875; 3
NOR; random_search; 3; 0.2529296875; 3
NOR; random_search; 4; 0.2529296875; 3
NOR; random_search; 5; 0.2529296875; 3
NOR; random_search; 6; 0.2529296875; 3
NOR; random_search; 7; 0.24609375; 3
NOR; random_search; 1; 0.302734375; 4
NOR; random_search; 2; 0.302734375; 4
NOR; random_search; 3; 0.302734375; 4
NOR; random_search; 4; 0.302734375; 4
NOR; random_search; 5; 0.2421875; 4
NOR; random_search; 1; 0.2744140625; 5
NOR; random_search; 2; 0.2744140625; 5
NOR; random_search; 3; 0.2744140625; 5
NOR; random_search; 4; 0.2744140625; 5
NOR; random_search; 5; 0.2744140625; 5
NOR; random_search; 6; 0.2744140625; 5
NOR; random_search; 7; 0.2744140625; 5
NOR; random_search; 8; 0.2744140625; 5
NOR; random_search; 9; 0.25390625; 5
NOR; random_search; 10; 0.25390625; 5
NOR; random_search; 11; 0.2490234375; 5
NOR; random_search; 1; 0.3447265625; 6
NOR; random_search; 2; 0.3447265625; 6
NOR; random_search; 3; 0.2490234375; 6
NOR; random_search; 1; 0.3525390625; 7
NOR; random_search; 2; 0.345703125; 7
NOR; random_search; 3; 0.291015625; 7
NOR; random_search; 4; 0.291015625; 7
NOR; random_search; 5; 0.291015625; 7
NOR; random_search; 6; 0.291015625; 7
NOR; random_search; 7; 0.291015625; 7
NOR; random_search; 8; 0.265625; 7
NOR; random_search; 9; 0.265625; 7
NOR; random_search; 10; 0.265625; 7
NOR; random_search; 11; 0.265625; 7
NOR; random_search; 12; 0.265625; 7
NOR; random_search; 13; 0.265625; 7
NOR; random_search; 14; 0.26171875; 7
NOR; random_search; 15; 0.2568359375; 7
NOR; random_search; 16; 0.2421875; 7
NOR; random_search; 1; 0.3564453125; 8
NOR; random_search; 2; 0.248046875; 8
NOR; random_search; 1; 0.2802734375; 9
NOR; random_search; 2; 0.2802734375; 9
NOR; random_search; 3; 0.259765625; 9
NOR; random_search; 4; 0.2236328125; 9
