Logic Gate; Method; Iteration; Error; Run
NOR; random_search; 1; 0.2646484375; 0
NOR; random_search; 2; 0.259765625; 0
NOR; random_search; 3; 0.259765625; 0
NOR; random_search; 4; 0.259765625; 0
NOR; random_search; 5; 0.259765625; 0
NOR; random_search; 6; 0.259765625; 0
NOR; random_search; 7; 0.259765625; 0
NOR; random_search; 8; 0.255859375; 0
NOR; random_search; 9; 0.255859375; 0
NOR; random_search; 10; 0.255859375; 0
NOR; random_search; 11; 0.255859375; 0
NOR; random_search; 12; 0.255859375; 0
NOR; random_search; 13; 0.255859375; 0
NOR; random_search; 14; 0.255859375; 0
NOR; random_search; 15; 0.255859375; 0
NOR; random_search; 16; 0.255859375; 0
NOR; random_search; 17; 0.255859375; 0
NOR; random_search; 18; 0.255859375; 0
NOR; random_search; 19; 0.255859375; 0
NOR; random_search; 20; 0.2421875; 0
NOR; random_search; 1; 0.2333984375; 1
NOR; random_search; 1; 0.447265625; 2
NOR; random_search; 2; 0.2333984375; 2
NOR; random_search; 1; 0.720703125; 3
NOR; random_search; 2; 0.3515625; 3
NOR; random_search; 3; 0.28515625; 3
NOR; random_search; 4; 0.28515625; 3
NOR; random_search; 5; 0.28515625; 3
NOR; random_search; 6; 0.28515625; 3
NOR; random_search; 7; 0.25; 3
NOR; random_search; 8; 0.25; 3
NOR; random_search; 9; 0.248046875; 3
NOR; random_search; 1; 0.671875; 4
NOR; random_search; 2; 0.43359375; 4
NOR; random_search; 3; 0.365234375; 4
NOR; random_search; 4; 0.29296875; 4
NOR; random_search; 5; 0.29296875; 4
NOR; random_search; 6; 0.29296875; 4
NOR; random_search; 7; 0.248046875; 4
NOR; random_search; 1; 0.2421875; 5
NOR; random_search; 1; 0.2763671875; 6
NOR; random_search; 2; 0.2763671875; 6
NOR; random_search; 3; 0.2763671875; 6
NOR; random_search; 4; 0.2763671875; 6
NOR; random_search; 5; 0.2763671875; 6
NOR; random_search; 6; 0.2763671875; 6
NOR; random_search; 7; 0.2509765625; 6
NOR; random_search; 8; 0.2509765625; 6
NOR; random_search; 9; 0.2509765625; 6
NOR; random_search; 10; 0.2509765625; 6
NOR; random_search; 11; 0.2490234375; 6
NOR; random_search; 1; 0.2734375; 7
NOR; random_search; 2; 0.2734375; 7
NOR; random_search; 3; 0.2734375; 7
NOR; random_search; 4; 0.2734375; 7
NOR; random_search; 5; 0.2734375; 7
NOR; random_search; 6; 0.244140625; 7
NOR; random_search; 1; 0.2734375; 8
NOR; random_search; 2; 0.2734375; 8
NOR; random_search; 3; 0.2734375; 8
NOR; random_search; 4; 0.2734375; 8
NOR; random_search; 5; 0.2568359375; 8
NOR; random_search; 6; 0.2568359375; 8
NOR; random_search; 7; 0.2568359375; 8
NOR; random_search; 8; 0.2392578125; 8
NOR; random_search; 1; 0.611328125; 9
NOR; random_search; 2; 0.3564453125; 9
NOR; random_search; 3; 0.3564453125; 9
NOR; random_search; 4; 0.28515625; 9
NOR; random_search; 5; 0.28515625; 9
NOR; random_search; 6; 0.28515625; 9
NOR; random_search; 7; 0.28515625; 9
NOR; random_search; 8; 0.28515625; 9
NOR; random_search; 9; 0.263671875; 9
NOR; random_search; 10; 0.2548828125; 9
NOR; random_search; 11; 0.2548828125; 9
NOR; random_search; 12; 0.2548828125; 9
NOR; random_search; 13; 0.2548828125; 9
NOR; random_search; 14; 0.2548828125; 9
NOR; random_search; 15; 0.234375; 9
