Logic Gate; Method; Iteration; Error; Run
NOR; simulated_annealing; 1; 0.251953125; 0
NOR; simulated_annealing; 2; 0.251953125; 0
NOR; simulated_annealing; 3; 0.251953125; 0
NOR; simulated_annealing; 4; 0.251953125; 0
NOR; simulated_annealing; 5; 0.236328125; 0
NOR; simulated_annealing; 1; 0.572265625; 1
NOR; simulated_annealing; 2; 0.572265625; 1
NOR; simulated_annealing; 3; 0.572265625; 1
NOR; simulated_annealing; 4; 0.572265625; 1
NOR; simulated_annealing; 5; 0.572265625; 1
NOR; simulated_annealing; 6; 0.572265625; 1
NOR; simulated_annealing; 7; 0.572265625; 1
NOR; simulated_annealing; 8; 0.572265625; 1
NOR; simulated_annealing; 9; 0.572265625; 1
NOR; simulated_annealing; 10; 0.572265625; 1
NOR; simulated_annealing; 11; 0.572265625; 1
NOR; simulated_annealing; 12; 0.572265625; 1
NOR; simulated_annealing; 13; 0.572265625; 1
NOR; simulated_annealing; 14; 0.5654296875; 1
NOR; simulated_annealing; 15; 0.4951171875; 1
NOR; simulated_annealing; 16; 0.44921875; 1
NOR; simulated_annealing; 17; 0.44921875; 1
NOR; simulated_annealing; 18; 0.44921875; 1
NOR; simulated_annealing; 19; 0.44921875; 1
NOR; simulated_annealing; 20; 0.44921875; 1
NOR; simulated_annealing; 21; 0.44140625; 1
NOR; simulated_annealing; 22; 0.4375; 1
NOR; simulated_annealing; 23; 0.4072265625; 1
NOR; simulated_annealing; 24; 0.4072265625; 1
NOR; simulated_annealing; 25; 0.4072265625; 1
NOR; simulated_annealing; 26; 0.4072265625; 1
NOR; simulated_annealing; 27; 0.4072265625; 1
NOR; simulated_annealing; 28; 0.4072265625; 1
NOR; simulated_annealing; 29; 0.4072265625; 1
NOR; simulated_annealing; 30; 0.4072265625; 1
NOR; simulated_annealing; 31; 0.4072265625; 1
NOR; simulated_annealing; 32; 0.4072265625; 1
NOR; simulated_annealing; 33; 0.4072265625; 1
NOR; simulated_annealing; 34; 0.4072265625; 1
