Logic Gate; Method; Iteration; Error; Run
OR; genetic_algorithm; 1; 0.21875; 0
OR; genetic_algorithm; 2; 0.21875; 0
OR; genetic_algorithm; 3; 0.21875; 0
OR; genetic_algorithm; 4; 0.21875; 0
OR; genetic_algorithm; 5; 0.21875; 0
OR; genetic_algorithm; 6; 0.21875; 0
OR; genetic_algorithm; 7; 0.21875; 0
OR; genetic_algorithm; 8; 0.21875; 0
OR; genetic_algorithm; 9; 0.21875; 0
OR; genetic_algorithm; 10; 0.21875; 0
OR; genetic_algorithm; 1; 0.234375; 1
OR; genetic_algorithm; 2; 0.234375; 1
OR; genetic_algorithm; 3; 0.234375; 1
OR; genetic_algorithm; 4; 0.234375; 1
OR; genetic_algorithm; 5; 0.234375; 1
OR; genetic_algorithm; 6; 0.234375; 1
OR; genetic_algorithm; 7; 0.234375; 1
OR; genetic_algorithm; 8; 0.234375; 1
OR; genetic_algorithm; 9; 0.234375; 1
OR; genetic_algorithm; 10; 0.234375; 1
OR; genetic_algorithm; 1; 0.25; 2
OR; genetic_algorithm; 2; 0.25; 2
OR; genetic_algorithm; 3; 0.25; 2
OR; genetic_algorithm; 4; 0.25; 2
OR; genetic_algorithm; 5; 0.25; 2
OR; genetic_algorithm; 6; 0.25; 2
OR; genetic_algorithm; 7; 0.25; 2
OR; genetic_algorithm; 8; 0.25; 2
OR; genetic_algorithm; 9; 0.25; 2
OR; genetic_algorithm; 10; 0.25; 2
OR; genetic_algorithm; 11; 0.255859375; 2
OR; genetic_algorithm; 12; 0.255859375; 2
OR; genetic_algorithm; 13; 0.255859375; 2
OR; genetic_algorithm; 14; 0.255859375; 2
OR; genetic_algorithm; 15; 0.255859375; 2
OR; genetic_algorithm; 16; 0.255859375; 2
OR; genetic_algorithm; 17; 0.255859375; 2
OR; genetic_algorithm; 18; 0.255859375; 2
OR; genetic_algorithm; 19; 0.255859375; 2
OR; genetic_algorithm; 20; 0.255859375; 2
OR; genetic_algorithm; 21; 0.27734375; 2
OR; genetic_algorithm; 22; 0.27734375; 2
OR; genetic_algorithm; 23; 0.27734375; 2
OR; genetic_algorithm; 24; 0.27734375; 2
OR; genetic_algorithm; 25; 0.27734375; 2
OR; genetic_algorithm; 26; 0.27734375; 2
OR; genetic_algorithm; 27; 0.27734375; 2
OR; genetic_algorithm; 28; 0.27734375; 2
OR; genetic_algorithm; 29; 0.27734375; 2
OR; genetic_algorithm; 30; 0.27734375; 2
OR; genetic_algorithm; 31; 0.3212890625; 2
OR; genetic_algorithm; 32; 0.3212890625; 2
OR; genetic_algorithm; 33; 0.3212890625; 2
OR; genetic_algorithm; 34; 0.3212890625; 2
OR; genetic_algorithm; 35; 0.3212890625; 2
OR; genetic_algorithm; 36; 0.3212890625; 2
OR; genetic_algorithm; 37; 0.3212890625; 2
OR; genetic_algorithm; 38; 0.3212890625; 2
OR; genetic_algorithm; 39; 0.3212890625; 2
OR; genetic_algorithm; 40; 0.3212890625; 2
OR; genetic_algorithm; 41; 0.33203125; 2
OR; genetic_algorithm; 42; 0.33203125; 2
OR; genetic_algorithm; 43; 0.33203125; 2
OR; genetic_algorithm; 44; 0.33203125; 2
OR; genetic_algorithm; 45; 0.33203125; 2
OR; genetic_algorithm; 46; 0.33203125; 2
OR; genetic_algorithm; 47; 0.33203125; 2
OR; genetic_algorithm; 48; 0.33203125; 2
OR; genetic_algorithm; 49; 0.33203125; 2
OR; genetic_algorithm; 50; 0.33203125; 2
OR; genetic_algorithm; 51; 0.291015625; 2
OR; genetic_algorithm; 52; 0.291015625; 2
OR; genetic_algorithm; 53; 0.291015625; 2
OR; genetic_algorithm; 54; 0.291015625; 2
OR; genetic_algorithm; 55; 0.291015625; 2
OR; genetic_algorithm; 56; 0.291015625; 2
OR; genetic_algorithm; 57; 0.291015625; 2
OR; genetic_algorithm; 58; 0.291015625; 2
OR; genetic_algorithm; 59; 0.291015625; 2
OR; genetic_algorithm; 60; 0.291015625; 2
OR; genetic_algorithm; 61; 0.3095703125; 2
OR; genetic_algorithm; 62; 0.3095703125; 2
OR; genetic_algorithm; 63; 0.3095703125; 2
OR; genetic_algorithm; 64; 0.3095703125; 2
OR; genetic_algorithm; 65; 0.3095703125; 2
OR; genetic_algorithm; 66; 0.3095703125; 2
OR; genetic_algorithm; 67; 0.3095703125; 2
OR; genetic_algorithm; 68; 0.3095703125; 2
OR; genetic_algorithm; 69; 0.3095703125; 2
OR; genetic_algorithm; 70; 0.3095703125; 2
OR; genetic_algorithm; 71; 0.302734375; 2
OR; genetic_algorithm; 72; 0.302734375; 2
OR; genetic_algorithm; 73; 0.302734375; 2
OR; genetic_algorithm; 74; 0.302734375; 2
OR; genetic_algorithm; 75; 0.302734375; 2
OR; genetic_algorithm; 76; 0.302734375; 2
OR; genetic_algorithm; 77; 0.302734375; 2
OR; genetic_algorithm; 78; 0.302734375; 2
OR; genetic_algorithm; 79; 0.302734375; 2
OR; genetic_algorithm; 80; 0.302734375; 2
OR; genetic_algorithm; 81; 0.3369140625; 2
OR; genetic_algorithm; 82; 0.3369140625; 2
OR; genetic_algorithm; 83; 0.3369140625; 2
OR; genetic_algorithm; 84; 0.3369140625; 2
OR; genetic_algorithm; 85; 0.3369140625; 2
OR; genetic_algorithm; 86; 0.3369140625; 2
OR; genetic_algorithm; 87; 0.3369140625; 2
OR; genetic_algorithm; 88; 0.3369140625; 2
OR; genetic_algorithm; 89; 0.3369140625; 2
OR; genetic_algorithm; 90; 0.3369140625; 2
OR; genetic_algorithm; 91; 0.3115234375; 2
OR; genetic_algorithm; 92; 0.3115234375; 2
OR; genetic_algorithm; 93; 0.3115234375; 2
OR; genetic_algorithm; 94; 0.3115234375; 2
OR; genetic_algorithm; 95; 0.3115234375; 2
OR; genetic_algorithm; 96; 0.3115234375; 2
OR; genetic_algorithm; 97; 0.3115234375; 2
OR; genetic_algorithm; 98; 0.3115234375; 2
OR; genetic_algorithm; 99; 0.3115234375; 2
OR; genetic_algorithm; 100; 0.3115234375; 2
OR; genetic_algorithm; 101; 0.3212890625; 2
OR; genetic_algorithm; 102; 0.3212890625; 2
OR; genetic_algorithm; 103; 0.3212890625; 2
OR; genetic_algorithm; 104; 0.3212890625; 2
OR; genetic_algorithm; 105; 0.3212890625; 2
OR; genetic_algorithm; 106; 0.3212890625; 2
OR; genetic_algorithm; 107; 0.3212890625; 2
OR; genetic_algorithm; 108; 0.3212890625; 2
OR; genetic_algorithm; 109; 0.3212890625; 2
OR; genetic_algorithm; 110; 0.3212890625; 2
OR; genetic_algorithm; 111; 0.314453125; 2
OR; genetic_algorithm; 112; 0.314453125; 2
OR; genetic_algorithm; 113; 0.314453125; 2
OR; genetic_algorithm; 114; 0.314453125; 2
OR; genetic_algorithm; 115; 0.314453125; 2
OR; genetic_algorithm; 116; 0.314453125; 2
OR; genetic_algorithm; 117; 0.314453125; 2
OR; genetic_algorithm; 118; 0.314453125; 2
OR; genetic_algorithm; 119; 0.314453125; 2
OR; genetic_algorithm; 120; 0.314453125; 2
OR; genetic_algorithm; 121; 0.3408203125; 2
OR; genetic_algorithm; 122; 0.3408203125; 2
OR; genetic_algorithm; 123; 0.3408203125; 2
OR; genetic_algorithm; 124; 0.3408203125; 2
OR; genetic_algorithm; 125; 0.3408203125; 2
OR; genetic_algorithm; 126; 0.3408203125; 2
OR; genetic_algorithm; 127; 0.3408203125; 2
OR; genetic_algorithm; 128; 0.3408203125; 2
OR; genetic_algorithm; 129; 0.3408203125; 2
OR; genetic_algorithm; 130; 0.3408203125; 2
OR; genetic_algorithm; 131; 0.3056640625; 2
OR; genetic_algorithm; 132; 0.3056640625; 2
OR; genetic_algorithm; 133; 0.3056640625; 2
OR; genetic_algorithm; 134; 0.3056640625; 2
OR; genetic_algorithm; 135; 0.3056640625; 2
OR; genetic_algorithm; 136; 0.3056640625; 2
OR; genetic_algorithm; 137; 0.3056640625; 2
OR; genetic_algorithm; 138; 0.3056640625; 2
OR; genetic_algorithm; 139; 0.3056640625; 2
OR; genetic_algorithm; 140; 0.3056640625; 2
OR; genetic_algorithm; 141; 0.3046875; 2
OR; genetic_algorithm; 142; 0.3046875; 2
OR; genetic_algorithm; 143; 0.3046875; 2
OR; genetic_algorithm; 144; 0.3046875; 2
OR; genetic_algorithm; 145; 0.3046875; 2
OR; genetic_algorithm; 146; 0.3046875; 2
OR; genetic_algorithm; 147; 0.3046875; 2
OR; genetic_algorithm; 148; 0.3046875; 2
OR; genetic_algorithm; 149; 0.3046875; 2
OR; genetic_algorithm; 150; 0.3046875; 2
OR; genetic_algorithm; 151; 0.3291015625; 2
OR; genetic_algorithm; 152; 0.3291015625; 2
OR; genetic_algorithm; 153; 0.3291015625; 2
OR; genetic_algorithm; 154; 0.3291015625; 2
OR; genetic_algorithm; 155; 0.3291015625; 2
OR; genetic_algorithm; 156; 0.3291015625; 2
OR; genetic_algorithm; 157; 0.3291015625; 2
OR; genetic_algorithm; 158; 0.3291015625; 2
OR; genetic_algorithm; 159; 0.3291015625; 2
OR; genetic_algorithm; 160; 0.3291015625; 2
OR; genetic_algorithm; 161; 0.2890625; 2
OR; genetic_algorithm; 162; 0.2890625; 2
OR; genetic_algorithm; 163; 0.2890625; 2
OR; genetic_algorithm; 164; 0.2890625; 2
OR; genetic_algorithm; 165; 0.2890625; 2
OR; genetic_algorithm; 166; 0.2890625; 2
OR; genetic_algorithm; 167; 0.2890625; 2
OR; genetic_algorithm; 168; 0.2890625; 2
OR; genetic_algorithm; 169; 0.2890625; 2
OR; genetic_algorithm; 170; 0.2890625; 2
OR; genetic_algorithm; 171; 0.2998046875; 2
OR; genetic_algorithm; 172; 0.2998046875; 2
OR; genetic_algorithm; 173; 0.2998046875; 2
OR; genetic_algorithm; 174; 0.2998046875; 2
OR; genetic_algorithm; 175; 0.2998046875; 2
OR; genetic_algorithm; 176; 0.2998046875; 2
OR; genetic_algorithm; 177; 0.2998046875; 2
OR; genetic_algorithm; 178; 0.2998046875; 2
OR; genetic_algorithm; 179; 0.2998046875; 2
OR; genetic_algorithm; 180; 0.2998046875; 2
OR; genetic_algorithm; 181; 0.2958984375; 2
OR; genetic_algorithm; 182; 0.2958984375; 2
OR; genetic_algorithm; 183; 0.2958984375; 2
OR; genetic_algorithm; 184; 0.2958984375; 2
OR; genetic_algorithm; 185; 0.2958984375; 2
OR; genetic_algorithm; 186; 0.2958984375; 2
OR; genetic_algorithm; 187; 0.2958984375; 2
OR; genetic_algorithm; 188; 0.2958984375; 2
OR; genetic_algorithm; 189; 0.2958984375; 2
OR; genetic_algorithm; 190; 0.2958984375; 2
OR; genetic_algorithm; 191; 0.283203125; 2
OR; genetic_algorithm; 192; 0.283203125; 2
OR; genetic_algorithm; 193; 0.283203125; 2
OR; genetic_algorithm; 194; 0.283203125; 2
OR; genetic_algorithm; 195; 0.283203125; 2
OR; genetic_algorithm; 196; 0.283203125; 2
OR; genetic_algorithm; 197; 0.283203125; 2
OR; genetic_algorithm; 198; 0.283203125; 2
OR; genetic_algorithm; 199; 0.283203125; 2
OR; genetic_algorithm; 200; 0.283203125; 2
OR; genetic_algorithm; 201; 0.2822265625; 2
OR; genetic_algorithm; 202; 0.2822265625; 2
OR; genetic_algorithm; 203; 0.2822265625; 2
OR; genetic_algorithm; 204; 0.2822265625; 2
OR; genetic_algorithm; 205; 0.2822265625; 2
OR; genetic_algorithm; 206; 0.2822265625; 2
OR; genetic_algorithm; 207; 0.2822265625; 2
OR; genetic_algorithm; 208; 0.2822265625; 2
OR; genetic_algorithm; 209; 0.2822265625; 2
OR; genetic_algorithm; 210; 0.2822265625; 2
OR; genetic_algorithm; 211; 0.255859375; 2
OR; genetic_algorithm; 212; 0.255859375; 2
OR; genetic_algorithm; 213; 0.255859375; 2
OR; genetic_algorithm; 214; 0.255859375; 2
OR; genetic_algorithm; 215; 0.255859375; 2
OR; genetic_algorithm; 216; 0.255859375; 2
OR; genetic_algorithm; 217; 0.255859375; 2
OR; genetic_algorithm; 218; 0.255859375; 2
OR; genetic_algorithm; 219; 0.255859375; 2
OR; genetic_algorithm; 220; 0.255859375; 2
OR; genetic_algorithm; 221; 0.2490234375; 2
OR; genetic_algorithm; 222; 0.2490234375; 2
OR; genetic_algorithm; 223; 0.2490234375; 2
OR; genetic_algorithm; 224; 0.2490234375; 2
OR; genetic_algorithm; 225; 0.2490234375; 2
OR; genetic_algorithm; 226; 0.2490234375; 2
OR; genetic_algorithm; 227; 0.2490234375; 2
OR; genetic_algorithm; 228; 0.2490234375; 2
OR; genetic_algorithm; 229; 0.2490234375; 2
OR; genetic_algorithm; 230; 0.2490234375; 2
OR; genetic_algorithm; 1; 0.2392578125; 3
OR; genetic_algorithm; 2; 0.2392578125; 3
OR; genetic_algorithm; 3; 0.2392578125; 3
OR; genetic_algorithm; 4; 0.2392578125; 3
OR; genetic_algorithm; 5; 0.2392578125; 3
OR; genetic_algorithm; 6; 0.2392578125; 3
OR; genetic_algorithm; 7; 0.2392578125; 3
OR; genetic_algorithm; 8; 0.2392578125; 3
OR; genetic_algorithm; 9; 0.2392578125; 3
OR; genetic_algorithm; 10; 0.2392578125; 3
OR; genetic_algorithm; 1; 0.2548828125; 4
OR; genetic_algorithm; 2; 0.2548828125; 4
OR; genetic_algorithm; 3; 0.2548828125; 4
OR; genetic_algorithm; 4; 0.2548828125; 4
OR; genetic_algorithm; 5; 0.2548828125; 4
OR; genetic_algorithm; 6; 0.2548828125; 4
OR; genetic_algorithm; 7; 0.2548828125; 4
OR; genetic_algorithm; 8; 0.2548828125; 4
OR; genetic_algorithm; 9; 0.2548828125; 4
OR; genetic_algorithm; 10; 0.2548828125; 4
OR; genetic_algorithm; 11; 0.2421875; 4
OR; genetic_algorithm; 12; 0.2421875; 4
OR; genetic_algorithm; 13; 0.2421875; 4
OR; genetic_algorithm; 14; 0.2421875; 4
OR; genetic_algorithm; 15; 0.2421875; 4
OR; genetic_algorithm; 16; 0.2421875; 4
OR; genetic_algorithm; 17; 0.2421875; 4
OR; genetic_algorithm; 18; 0.2421875; 4
OR; genetic_algorithm; 19; 0.2421875; 4
OR; genetic_algorithm; 20; 0.2421875; 4
OR; genetic_algorithm; 1; 0.2216796875; 5
OR; genetic_algorithm; 2; 0.2216796875; 5
OR; genetic_algorithm; 3; 0.2216796875; 5
OR; genetic_algorithm; 4; 0.2216796875; 5
OR; genetic_algorithm; 5; 0.2216796875; 5
OR; genetic_algorithm; 6; 0.2216796875; 5
OR; genetic_algorithm; 7; 0.2216796875; 5
OR; genetic_algorithm; 8; 0.2216796875; 5
OR; genetic_algorithm; 9; 0.2216796875; 5
OR; genetic_algorithm; 10; 0.2216796875; 5
OR; genetic_algorithm; 1; 0.2548828125; 6
OR; genetic_algorithm; 2; 0.2548828125; 6
OR; genetic_algorithm; 3; 0.2548828125; 6
OR; genetic_algorithm; 4; 0.2548828125; 6
OR; genetic_algorithm; 5; 0.2548828125; 6
OR; genetic_algorithm; 6; 0.2548828125; 6
OR; genetic_algorithm; 7; 0.2548828125; 6
OR; genetic_algorithm; 8; 0.2548828125; 6
OR; genetic_algorithm; 9; 0.2548828125; 6
OR; genetic_algorithm; 10; 0.2548828125; 6
OR; genetic_algorithm; 11; 0.25; 6
OR; genetic_algorithm; 12; 0.25; 6
OR; genetic_algorithm; 13; 0.25; 6
OR; genetic_algorithm; 14; 0.25; 6
OR; genetic_algorithm; 15; 0.25; 6
OR; genetic_algorithm; 16; 0.25; 6
OR; genetic_algorithm; 17; 0.25; 6
OR; genetic_algorithm; 18; 0.25; 6
OR; genetic_algorithm; 19; 0.25; 6
OR; genetic_algorithm; 20; 0.25; 6
OR; genetic_algorithm; 21; 0.25; 6
OR; genetic_algorithm; 22; 0.25; 6
OR; genetic_algorithm; 23; 0.25; 6
OR; genetic_algorithm; 24; 0.25; 6
OR; genetic_algorithm; 25; 0.25; 6
OR; genetic_algorithm; 26; 0.25; 6
OR; genetic_algorithm; 27; 0.25; 6
OR; genetic_algorithm; 28; 0.25; 6
OR; genetic_algorithm; 29; 0.25; 6
OR; genetic_algorithm; 30; 0.25; 6
OR; genetic_algorithm; 31; 0.2548828125; 6
OR; genetic_algorithm; 32; 0.2548828125; 6
OR; genetic_algorithm; 33; 0.2548828125; 6
OR; genetic_algorithm; 34; 0.2548828125; 6
OR; genetic_algorithm; 35; 0.2548828125; 6
OR; genetic_algorithm; 36; 0.2548828125; 6
OR; genetic_algorithm; 37; 0.2548828125; 6
OR; genetic_algorithm; 38; 0.2548828125; 6
OR; genetic_algorithm; 39; 0.2548828125; 6
OR; genetic_algorithm; 40; 0.2548828125; 6
OR; genetic_algorithm; 41; 0.24609375; 6
OR; genetic_algorithm; 42; 0.24609375; 6
OR; genetic_algorithm; 43; 0.24609375; 6
OR; genetic_algorithm; 44; 0.24609375; 6
OR; genetic_algorithm; 45; 0.24609375; 6
OR; genetic_algorithm; 46; 0.24609375; 6
OR; genetic_algorithm; 47; 0.24609375; 6
OR; genetic_algorithm; 48; 0.24609375; 6
OR; genetic_algorithm; 49; 0.24609375; 6
OR; genetic_algorithm; 50; 0.24609375; 6
OR; genetic_algorithm; 1; 0.2548828125; 7
OR; genetic_algorithm; 2; 0.2548828125; 7
OR; genetic_algorithm; 3; 0.2548828125; 7
OR; genetic_algorithm; 4; 0.2548828125; 7
OR; genetic_algorithm; 5; 0.2548828125; 7
OR; genetic_algorithm; 6; 0.2548828125; 7
OR; genetic_algorithm; 7; 0.2548828125; 7
OR; genetic_algorithm; 8; 0.2548828125; 7
OR; genetic_algorithm; 9; 0.2548828125; 7
OR; genetic_algorithm; 10; 0.2548828125; 7
OR; genetic_algorithm; 11; 0.248046875; 7
OR; genetic_algorithm; 12; 0.248046875; 7
OR; genetic_algorithm; 13; 0.248046875; 7
OR; genetic_algorithm; 14; 0.248046875; 7
OR; genetic_algorithm; 15; 0.248046875; 7
OR; genetic_algorithm; 16; 0.248046875; 7
OR; genetic_algorithm; 17; 0.248046875; 7
OR; genetic_algorithm; 18; 0.248046875; 7
OR; genetic_algorithm; 19; 0.248046875; 7
OR; genetic_algorithm; 20; 0.248046875; 7
OR; genetic_algorithm; 1; 0.244140625; 8
OR; genetic_algorithm; 2; 0.244140625; 8
OR; genetic_algorithm; 3; 0.244140625; 8
OR; genetic_algorithm; 4; 0.244140625; 8
OR; genetic_algorithm; 5; 0.244140625; 8
OR; genetic_algorithm; 6; 0.244140625; 8
OR; genetic_algorithm; 7; 0.244140625; 8
OR; genetic_algorithm; 8; 0.244140625; 8
OR; genetic_algorithm; 9; 0.244140625; 8
OR; genetic_algorithm; 10; 0.244140625; 8
OR; genetic_algorithm; 1; 0.23046875; 9
OR; genetic_algorithm; 2; 0.23046875; 9
OR; genetic_algorithm; 3; 0.23046875; 9
OR; genetic_algorithm; 4; 0.23046875; 9
OR; genetic_algorithm; 5; 0.23046875; 9
OR; genetic_algorithm; 6; 0.23046875; 9
OR; genetic_algorithm; 7; 0.23046875; 9
OR; genetic_algorithm; 8; 0.23046875; 9
OR; genetic_algorithm; 9; 0.23046875; 9
OR; genetic_algorithm; 10; 0.23046875; 9
