Logic Gate; Method; Iteration; Error; Run
OR; random_search; 1; 0.5048828125; 0
OR; random_search; 2; 0.2353515625; 0
OR; random_search; 1; 0.33203125; 1
OR; random_search; 2; 0.2275390625; 1
OR; random_search; 1; 0.712890625; 2
OR; random_search; 2; 0.458984375; 2
OR; random_search; 3; 0.458984375; 2
OR; random_search; 4; 0.2431640625; 2
OR; random_search; 1; 0.2578125; 3
OR; random_search; 2; 0.2578125; 3
OR; random_search; 3; 0.2578125; 3
OR; random_search; 4; 0.2578125; 3
OR; random_search; 5; 0.2568359375; 3
OR; random_search; 6; 0.2568359375; 3
OR; random_search; 7; 0.2568359375; 3
OR; random_search; 8; 0.2568359375; 3
OR; random_search; 9; 0.2568359375; 3
OR; random_search; 10; 0.2568359375; 3
OR; random_search; 11; 0.2568359375; 3
OR; random_search; 12; 0.2568359375; 3
OR; random_search; 13; 0.2568359375; 3
OR; random_search; 14; 0.2568359375; 3
OR; random_search; 15; 0.2568359375; 3
OR; random_search; 16; 0.2568359375; 3
OR; random_search; 17; 0.2568359375; 3
OR; random_search; 18; 0.2568359375; 3
OR; random_search; 19; 0.2568359375; 3
OR; random_search; 20; 0.2568359375; 3
OR; random_search; 21; 0.248046875; 3
OR; random_search; 1; 0.28515625; 4
OR; random_search; 2; 0.28515625; 4
OR; random_search; 3; 0.28515625; 4
OR; random_search; 4; 0.28515625; 4
OR; random_search; 5; 0.2509765625; 4
OR; random_search; 6; 0.2509765625; 4
OR; random_search; 7; 0.2509765625; 4
OR; random_search; 8; 0.2509765625; 4
OR; random_search; 9; 0.2509765625; 4
OR; random_search; 10; 0.2509765625; 4
OR; random_search; 11; 0.2509765625; 4
OR; random_search; 12; 0.2509765625; 4
OR; random_search; 13; 0.2509765625; 4
OR; random_search; 14; 0.2509765625; 4
OR; random_search; 15; 0.2509765625; 4
OR; random_search; 16; 0.2509765625; 4
OR; random_search; 17; 0.2509765625; 4
OR; random_search; 18; 0.2509765625; 4
OR; random_search; 19; 0.2509765625; 4
OR; random_search; 20; 0.2509765625; 4
OR; random_search; 21; 0.2509765625; 4
OR; random_search; 22; 0.2509765625; 4
OR; random_search; 23; 0.2509765625; 4
OR; random_search; 24; 0.2509765625; 4
OR; random_search; 25; 0.2509765625; 4
OR; random_search; 26; 0.2509765625; 4
OR; random_search; 27; 0.2509765625; 4
OR; random_search; 28; 0.2509765625; 4
OR; random_search; 29; 0.2509765625; 4
OR; random_search; 30; 0.2509765625; 4
OR; random_search; 31; 0.2509765625; 4
OR; random_search; 32; 0.2509765625; 4
OR; random_search; 33; 0.2509765625; 4
OR; random_search; 34; 0.2509765625; 4
OR; random_search; 35; 0.2509765625; 4
OR; random_search; 36; 0.2509765625; 4
OR; random_search; 37; 0.2509765625; 4
OR; random_search; 38; 0.2509765625; 4
OR; random_search; 39; 0.2509765625; 4
OR; random_search; 40; 0.2509765625; 4
OR; random_search; 41; 0.2509765625; 4
OR; random_search; 42; 0.2509765625; 4
OR; random_search; 43; 0.2509765625; 4
OR; random_search; 44; 0.2509765625; 4
OR; random_search; 45; 0.2509765625; 4
OR; random_search; 46; 0.2509765625; 4
OR; random_search; 47; 0.2509765625; 4
OR; random_search; 48; 0.2509765625; 4
OR; random_search; 49; 0.2353515625; 4
OR; random_search; 1; 0.3583984375; 5
OR; random_search; 2; 0.27734375; 5
OR; random_search; 3; 0.27734375; 5
OR; random_search; 4; 0.27734375; 5
OR; random_search; 5; 0.25390625; 5
OR; random_search; 6; 0.25390625; 5
OR; random_search; 7; 0.25390625; 5
OR; random_search; 8; 0.2529296875; 5
OR; random_search; 9; 0.2470703125; 5
OR; random_search; 1; 0.435546875; 6
OR; random_search; 2; 0.2548828125; 6
OR; random_search; 3; 0.2548828125; 6
OR; random_search; 4; 0.2548828125; 6
OR; random_search; 5; 0.2548828125; 6
OR; random_search; 6; 0.236328125; 6
OR; random_search; 1; 0.3759765625; 7
OR; random_search; 2; 0.3759765625; 7
OR; random_search; 3; 0.2880859375; 7
OR; random_search; 4; 0.2529296875; 7
OR; random_search; 5; 0.2529296875; 7
OR; random_search; 6; 0.236328125; 7
OR; random_search; 1; 0.513671875; 8
OR; random_search; 2; 0.513671875; 8
OR; random_search; 3; 0.318359375; 8
OR; random_search; 4; 0.26953125; 8
OR; random_search; 5; 0.26953125; 8
OR; random_search; 6; 0.26953125; 8
OR; random_search; 7; 0.26953125; 8
OR; random_search; 8; 0.26953125; 8
OR; random_search; 9; 0.26953125; 8
OR; random_search; 10; 0.2509765625; 8
OR; random_search; 11; 0.2509765625; 8
OR; random_search; 12; 0.2509765625; 8
OR; random_search; 13; 0.2509765625; 8
OR; random_search; 14; 0.2509765625; 8
OR; random_search; 15; 0.2421875; 8
OR; random_search; 1; 0.3203125; 9
OR; random_search; 2; 0.3203125; 9
OR; random_search; 3; 0.3203125; 9
OR; random_search; 4; 0.3203125; 9
OR; random_search; 5; 0.2578125; 9
OR; random_search; 6; 0.2578125; 9
OR; random_search; 7; 0.2578125; 9
OR; random_search; 8; 0.2578125; 9
OR; random_search; 9; 0.2578125; 9
OR; random_search; 10; 0.236328125; 9
