Logic Gate; Method; Iteration; Error; Run
OR; simulated_annealing; 1; 0.296875; 0
OR; simulated_annealing; 2; 0.296875; 0
OR; simulated_annealing; 3; 0.28125; 0
OR; simulated_annealing; 4; 0.28125; 0
OR; simulated_annealing; 5; 0.28125; 0
OR; simulated_annealing; 6; 0.28125; 0
OR; simulated_annealing; 7; 0.28125; 0
OR; simulated_annealing; 8; 0.28125; 0
OR; simulated_annealing; 9; 0.28125; 0
OR; simulated_annealing; 10; 0.28125; 0
OR; simulated_annealing; 11; 0.28125; 0
OR; simulated_annealing; 12; 0.28125; 0
OR; simulated_annealing; 13; 0.28125; 0
OR; simulated_annealing; 14; 0.28125; 0
OR; simulated_annealing; 15; 0.28125; 0
OR; simulated_annealing; 16; 0.28125; 0
OR; simulated_annealing; 17; 0.28125; 0
OR; simulated_annealing; 18; 0.28125; 0
OR; simulated_annealing; 19; 0.28125; 0
OR; simulated_annealing; 20; 0.28125; 0
OR; simulated_annealing; 21; 0.28125; 0
OR; simulated_annealing; 22; 0.28125; 0
OR; simulated_annealing; 23; 0.28125; 0
OR; simulated_annealing; 24; 0.28125; 0
OR; simulated_annealing; 25; 0.28125; 0
OR; simulated_annealing; 26; 0.28125; 0
OR; simulated_annealing; 27; 0.28125; 0
OR; simulated_annealing; 28; 0.28125; 0
OR; simulated_annealing; 29; 0.28125; 0
OR; simulated_annealing; 30; 0.28125; 0
OR; simulated_annealing; 31; 0.28125; 0
OR; simulated_annealing; 32; 0.28125; 0
OR; simulated_annealing; 33; 0.28125; 0
OR; simulated_annealing; 34; 0.28125; 0
OR; simulated_annealing; 35; 0.28125; 0
OR; simulated_annealing; 36; 0.28125; 0
OR; simulated_annealing; 37; 0.28125; 0
OR; simulated_annealing; 38; 0.28125; 0
OR; simulated_annealing; 39; 0.28125; 0
OR; simulated_annealing; 40; 0.28125; 0
OR; simulated_annealing; 41; 0.28125; 0
OR; simulated_annealing; 42; 0.28125; 0
OR; simulated_annealing; 43; 0.28125; 0
OR; simulated_annealing; 44; 0.28125; 0
OR; simulated_annealing; 45; 0.28125; 0
OR; simulated_annealing; 46; 0.28125; 0
OR; simulated_annealing; 47; 0.28125; 0
OR; simulated_annealing; 48; 0.2470703125; 0
OR; simulated_annealing; 1; 0.26171875; 1
OR; simulated_annealing; 2; 0.2587890625; 1
OR; simulated_annealing; 3; 0.24609375; 1
OR; simulated_annealing; 1; 0.2607421875; 2
OR; simulated_annealing; 2; 0.23828125; 2
OR; simulated_annealing; 1; 0.248046875; 3
OR; simulated_annealing; 1; 0.669921875; 4
OR; simulated_annealing; 2; 0.619140625; 4
OR; simulated_annealing; 3; 0.619140625; 4
OR; simulated_annealing; 4; 0.619140625; 4
OR; simulated_annealing; 5; 0.619140625; 4
OR; simulated_annealing; 6; 0.59765625; 4
OR; simulated_annealing; 7; 0.56640625; 4
OR; simulated_annealing; 8; 0.56640625; 4
OR; simulated_annealing; 9; 0.56640625; 4
OR; simulated_annealing; 10; 0.501953125; 4
OR; simulated_annealing; 11; 0.419921875; 4
OR; simulated_annealing; 12; 0.419921875; 4
OR; simulated_annealing; 13; 0.419921875; 4
OR; simulated_annealing; 14; 0.419921875; 4
OR; simulated_annealing; 15; 0.419921875; 4
OR; simulated_annealing; 16; 0.419921875; 4
OR; simulated_annealing; 17; 0.419921875; 4
OR; simulated_annealing; 18; 0.419921875; 4
OR; simulated_annealing; 19; 0.419921875; 4
OR; simulated_annealing; 20; 0.419921875; 4
OR; simulated_annealing; 21; 0.419921875; 4
OR; simulated_annealing; 22; 0.419921875; 4
OR; simulated_annealing; 23; 0.419921875; 4
OR; simulated_annealing; 24; 0.419921875; 4
OR; simulated_annealing; 25; 0.419921875; 4
OR; simulated_annealing; 26; 0.419921875; 4
OR; simulated_annealing; 27; 0.419921875; 4
OR; simulated_annealing; 28; 0.419921875; 4
OR; simulated_annealing; 29; 0.419921875; 4
OR; simulated_annealing; 30; 0.419921875; 4
OR; simulated_annealing; 31; 0.419921875; 4
OR; simulated_annealing; 32; 0.419921875; 4
OR; simulated_annealing; 33; 0.419921875; 4
OR; simulated_annealing; 34; 0.419921875; 4
OR; simulated_annealing; 35; 0.419921875; 4
OR; simulated_annealing; 36; 0.419921875; 4
OR; simulated_annealing; 37; 0.419921875; 4
OR; simulated_annealing; 38; 0.419921875; 4
OR; simulated_annealing; 39; 0.419921875; 4
OR; simulated_annealing; 40; 0.419921875; 4
OR; simulated_annealing; 41; 0.419921875; 4
OR; simulated_annealing; 42; 0.419921875; 4
OR; simulated_annealing; 43; 0.419921875; 4
OR; simulated_annealing; 44; 0.419921875; 4
OR; simulated_annealing; 45; 0.419921875; 4
OR; simulated_annealing; 46; 0.419921875; 4
OR; simulated_annealing; 47; 0.419921875; 4
OR; simulated_annealing; 48; 0.419921875; 4
OR; simulated_annealing; 49; 0.419921875; 4
OR; simulated_annealing; 50; 0.419921875; 4
OR; simulated_annealing; 51; 0.419921875; 4
OR; simulated_annealing; 52; 0.404296875; 4
OR; simulated_annealing; 53; 0.404296875; 4
OR; simulated_annealing; 54; 0.404296875; 4
OR; simulated_annealing; 55; 0.404296875; 4
OR; simulated_annealing; 56; 0.404296875; 4
OR; simulated_annealing; 57; 0.404296875; 4
OR; simulated_annealing; 58; 0.404296875; 4
OR; simulated_annealing; 59; 0.404296875; 4
OR; simulated_annealing; 60; 0.404296875; 4
OR; simulated_annealing; 61; 0.404296875; 4
OR; simulated_annealing; 62; 0.400390625; 4
OR; simulated_annealing; 63; 0.400390625; 4
OR; simulated_annealing; 64; 0.3955078125; 4
OR; simulated_annealing; 65; 0.3544921875; 4
OR; simulated_annealing; 66; 0.3544921875; 4
OR; simulated_annealing; 67; 0.3544921875; 4
OR; simulated_annealing; 68; 0.3544921875; 4
OR; simulated_annealing; 69; 0.3544921875; 4
OR; simulated_annealing; 70; 0.3525390625; 4
OR; simulated_annealing; 71; 0.2900390625; 4
OR; simulated_annealing; 72; 0.2900390625; 4
OR; simulated_annealing; 73; 0.2900390625; 4
OR; simulated_annealing; 74; 0.2607421875; 4
OR; simulated_annealing; 75; 0.2607421875; 4
OR; simulated_annealing; 76; 0.2490234375; 4
OR; simulated_annealing; 1; 0.255859375; 5
OR; simulated_annealing; 2; 0.255859375; 5
OR; simulated_annealing; 3; 0.255859375; 5
OR; simulated_annealing; 4; 0.255859375; 5
OR; simulated_annealing; 5; 0.255859375; 5
OR; simulated_annealing; 6; 0.255859375; 5
OR; simulated_annealing; 7; 0.255859375; 5
OR; simulated_annealing; 8; 0.255859375; 5
OR; simulated_annealing; 9; 0.255859375; 5
OR; simulated_annealing; 10; 0.255859375; 5
OR; simulated_annealing; 11; 0.255859375; 5
OR; simulated_annealing; 12; 0.255859375; 5
OR; simulated_annealing; 13; 0.255859375; 5
OR; simulated_annealing; 14; 0.255859375; 5
OR; simulated_annealing; 15; 0.255859375; 5
OR; simulated_annealing; 16; 0.255859375; 5
OR; simulated_annealing; 17; 0.255859375; 5
OR; simulated_annealing; 18; 0.255859375; 5
OR; simulated_annealing; 19; 0.255859375; 5
OR; simulated_annealing; 20; 0.255859375; 5
OR; simulated_annealing; 21; 0.2451171875; 5
OR; simulated_annealing; 1; 0.2626953125; 6
OR; simulated_annealing; 2; 0.2626953125; 6
OR; simulated_annealing; 3; 0.2626953125; 6
OR; simulated_annealing; 4; 0.26171875; 6
OR; simulated_annealing; 5; 0.236328125; 6
OR; simulated_annealing; 1; 0.7138671875; 7
OR; simulated_annealing; 2; 0.7138671875; 7
OR; simulated_annealing; 3; 0.697265625; 7
OR; simulated_annealing; 4; 0.697265625; 7
OR; simulated_annealing; 5; 0.697265625; 7
OR; simulated_annealing; 6; 0.697265625; 7
OR; simulated_annealing; 7; 0.697265625; 7
OR; simulated_annealing; 8; 0.697265625; 7
OR; simulated_annealing; 9; 0.6572265625; 7
OR; simulated_annealing; 10; 0.6572265625; 7
OR; simulated_annealing; 11; 0.6396484375; 7
OR; simulated_annealing; 12; 0.6396484375; 7
OR; simulated_annealing; 13; 0.6396484375; 7
OR; simulated_annealing; 14; 0.6396484375; 7
OR; simulated_annealing; 15; 0.6396484375; 7
OR; simulated_annealing; 16; 0.6396484375; 7
OR; simulated_annealing; 17; 0.6396484375; 7
OR; simulated_annealing; 18; 0.6396484375; 7
OR; simulated_annealing; 19; 0.6396484375; 7
OR; simulated_annealing; 20; 0.6396484375; 7
OR; simulated_annealing; 21; 0.6396484375; 7
OR; simulated_annealing; 22; 0.6396484375; 7
OR; simulated_annealing; 23; 0.6396484375; 7
OR; simulated_annealing; 24; 0.6396484375; 7
OR; simulated_annealing; 25; 0.6396484375; 7
OR; simulated_annealing; 26; 0.6396484375; 7
OR; simulated_annealing; 27; 0.6396484375; 7
OR; simulated_annealing; 28; 0.6396484375; 7
OR; simulated_annealing; 29; 0.6396484375; 7
OR; simulated_annealing; 30; 0.6396484375; 7
OR; simulated_annealing; 31; 0.6396484375; 7
OR; simulated_annealing; 32; 0.6396484375; 7
OR; simulated_annealing; 33; 0.6396484375; 7
OR; simulated_annealing; 34; 0.6396484375; 7
OR; simulated_annealing; 35; 0.6396484375; 7
OR; simulated_annealing; 36; 0.6396484375; 7
OR; simulated_annealing; 37; 0.6396484375; 7
OR; simulated_annealing; 38; 0.6396484375; 7
OR; simulated_annealing; 39; 0.61328125; 7
OR; simulated_annealing; 40; 0.58203125; 7
OR; simulated_annealing; 41; 0.58203125; 7
OR; simulated_annealing; 42; 0.58203125; 7
OR; simulated_annealing; 43; 0.55859375; 7
OR; simulated_annealing; 44; 0.55078125; 7
OR; simulated_annealing; 45; 0.5048828125; 7
OR; simulated_annealing; 46; 0.5048828125; 7
OR; simulated_annealing; 47; 0.5048828125; 7
OR; simulated_annealing; 48; 0.5048828125; 7
OR; simulated_annealing; 49; 0.5048828125; 7
OR; simulated_annealing; 50; 0.5048828125; 7
OR; simulated_annealing; 51; 0.5048828125; 7
OR; simulated_annealing; 52; 0.5048828125; 7
OR; simulated_annealing; 53; 0.5048828125; 7
OR; simulated_annealing; 54; 0.5048828125; 7
OR; simulated_annealing; 55; 0.5048828125; 7
OR; simulated_annealing; 56; 0.5048828125; 7
OR; simulated_annealing; 57; 0.5048828125; 7
OR; simulated_annealing; 58; 0.5048828125; 7
OR; simulated_annealing; 59; 0.5048828125; 7
OR; simulated_annealing; 60; 0.5048828125; 7
OR; simulated_annealing; 61; 0.5048828125; 7
OR; simulated_annealing; 62; 0.5048828125; 7
OR; simulated_annealing; 63; 0.5048828125; 7
OR; simulated_annealing; 64; 0.5048828125; 7
OR; simulated_annealing; 65; 0.5048828125; 7
OR; simulated_annealing; 66; 0.5048828125; 7
OR; simulated_annealing; 67; 0.4765625; 7
OR; simulated_annealing; 68; 0.4765625; 7
OR; simulated_annealing; 69; 0.47265625; 7
OR; simulated_annealing; 70; 0.47265625; 7
OR; simulated_annealing; 71; 0.4453125; 7
OR; simulated_annealing; 72; 0.431640625; 7
OR; simulated_annealing; 73; 0.431640625; 7
OR; simulated_annealing; 74; 0.431640625; 7
OR; simulated_annealing; 75; 0.431640625; 7
OR; simulated_annealing; 76; 0.431640625; 7
OR; simulated_annealing; 77; 0.431640625; 7
OR; simulated_annealing; 78; 0.431640625; 7
OR; simulated_annealing; 79; 0.431640625; 7
OR; simulated_annealing; 80; 0.421875; 7
