Logic Gate; Method; Iteration; Error; Run
XNOR; gradient_descent; 1; 0.26953125; 0
XNOR; gradient_descent; 2; 0.259765625; 0
XNOR; gradient_descent; 3; 0.23828125; 0
XNOR; gradient_descent; 1; 0.4267578125; 1
XNOR; gradient_descent; 2; 0.4267578125; 1
XNOR; gradient_descent; 3; 0.4267578125; 1
XNOR; gradient_descent; 4; 0.4267578125; 1
XNOR; gradient_descent; 5; 0.4267578125; 1
XNOR; gradient_descent; 6; 0.4267578125; 1
XNOR; gradient_descent; 7; 0.4267578125; 1
XNOR; gradient_descent; 8; 0.4267578125; 1
XNOR; gradient_descent; 9; 0.298828125; 1
XNOR; gradient_descent; 10; 0.2763671875; 1
XNOR; gradient_descent; 11; 0.2763671875; 1
XNOR; gradient_descent; 12; 0.2763671875; 1
XNOR; gradient_descent; 13; 0.2509765625; 1
XNOR; gradient_descent; 14; 0.2509765625; 1
XNOR; gradient_descent; 15; 0.2509765625; 1
XNOR; gradient_descent; 16; 0.2509765625; 1
XNOR; gradient_descent; 17; 0.2509765625; 1
XNOR; gradient_descent; 18; 0.2431640625; 1
XNOR; gradient_descent; 1; 0.2724609375; 2
XNOR; gradient_descent; 2; 0.2724609375; 2
XNOR; gradient_descent; 3; 0.2724609375; 2
XNOR; gradient_descent; 4; 0.2724609375; 2
XNOR; gradient_descent; 5; 0.2724609375; 2
XNOR; gradient_descent; 6; 0.2724609375; 2
XNOR; gradient_descent; 7; 0.2724609375; 2
XNOR; gradient_descent; 8; 0.2724609375; 2
XNOR; gradient_descent; 9; 0.2724609375; 2
XNOR; gradient_descent; 10; 0.2724609375; 2
XNOR; gradient_descent; 11; 0.2724609375; 2
XNOR; gradient_descent; 12; 0.2724609375; 2
XNOR; gradient_descent; 13; 0.2724609375; 2
XNOR; gradient_descent; 14; 0.2724609375; 2
XNOR; gradient_descent; 15; 0.2724609375; 2
XNOR; gradient_descent; 16; 0.267578125; 2
XNOR; gradient_descent; 17; 0.267578125; 2
XNOR; gradient_descent; 18; 0.2265625; 2
XNOR; gradient_descent; 1; 0.244140625; 3
XNOR; gradient_descent; 2; 0.220703125; 3
XNOR; gradient_descent; 1; 0.2958984375; 4
XNOR; gradient_descent; 2; 0.2958984375; 4
XNOR; gradient_descent; 3; 0.2958984375; 4
XNOR; gradient_descent; 4; 0.29296875; 4
XNOR; gradient_descent; 5; 0.29296875; 4
XNOR; gradient_descent; 6; 0.29296875; 4
XNOR; gradient_descent; 7; 0.29296875; 4
XNOR; gradient_descent; 8; 0.2294921875; 4
XNOR; gradient_descent; 1; 0.2431640625; 5
XNOR; gradient_descent; 1; 0.3447265625; 6
XNOR; gradient_descent; 2; 0.3447265625; 6
XNOR; gradient_descent; 3; 0.2802734375; 6
XNOR; gradient_descent; 4; 0.2548828125; 6
XNOR; gradient_descent; 5; 0.2548828125; 6
XNOR; gradient_descent; 6; 0.2548828125; 6
XNOR; gradient_descent; 7; 0.2548828125; 6
XNOR; gradient_descent; 8; 0.244140625; 6
XNOR; gradient_descent; 1; 0.2294921875; 7
XNOR; gradient_descent; 2; 0.2294921875; 7
XNOR; gradient_descent; 3; 0.2294921875; 7
XNOR; gradient_descent; 4; 0.2294921875; 7
XNOR; gradient_descent; 5; 0.2294921875; 7
XNOR; gradient_descent; 6; 0.2294921875; 7
XNOR; gradient_descent; 7; 0.2294921875; 7
XNOR; gradient_descent; 1; 0.2998046875; 8
XNOR; gradient_descent; 2; 0.2998046875; 8
XNOR; gradient_descent; 3; 0.2900390625; 8
XNOR; gradient_descent; 4; 0.24609375; 8
XNOR; gradient_descent; 1; 0.6201171875; 9
XNOR; gradient_descent; 2; 0.4697265625; 9
XNOR; gradient_descent; 3; 0.4697265625; 9
XNOR; gradient_descent; 4; 0.4169921875; 9
XNOR; gradient_descent; 5; 0.4169921875; 9
XNOR; gradient_descent; 6; 0.4169921875; 9
XNOR; gradient_descent; 7; 0.3134765625; 9
XNOR; gradient_descent; 8; 0.3134765625; 9
XNOR; gradient_descent; 9; 0.2958984375; 9
XNOR; gradient_descent; 10; 0.2958984375; 9
XNOR; gradient_descent; 11; 0.2958984375; 9
XNOR; gradient_descent; 12; 0.2724609375; 9
XNOR; gradient_descent; 13; 0.2724609375; 9
XNOR; gradient_descent; 14; 0.2724609375; 9
XNOR; gradient_descent; 15; 0.2724609375; 9
XNOR; gradient_descent; 16; 0.267578125; 9
XNOR; gradient_descent; 17; 0.267578125; 9
XNOR; gradient_descent; 18; 0.267578125; 9
XNOR; gradient_descent; 19; 0.267578125; 9
XNOR; gradient_descent; 20; 0.267578125; 9
XNOR; gradient_descent; 21; 0.267578125; 9
XNOR; gradient_descent; 22; 0.2607421875; 9
XNOR; gradient_descent; 23; 0.2607421875; 9
XNOR; gradient_descent; 24; 0.2607421875; 9
XNOR; gradient_descent; 25; 0.2607421875; 9
XNOR; gradient_descent; 26; 0.2607421875; 9
XNOR; gradient_descent; 27; 0.2607421875; 9
XNOR; gradient_descent; 28; 0.259765625; 9
XNOR; gradient_descent; 29; 0.2529296875; 9
XNOR; gradient_descent; 30; 0.2490234375; 9
