Logic Gate; Method; Iteration; Error; Run
XNOR; simulated_annealing; 1; 0.4091796875; 0
XNOR; simulated_annealing; 2; 0.4091796875; 0
XNOR; simulated_annealing; 3; 0.4091796875; 0
XNOR; simulated_annealing; 4; 0.4091796875; 0
XNOR; simulated_annealing; 5; 0.4091796875; 0
XNOR; simulated_annealing; 6; 0.4091796875; 0
XNOR; simulated_annealing; 7; 0.4091796875; 0
XNOR; simulated_annealing; 8; 0.4091796875; 0
XNOR; simulated_annealing; 9; 0.4091796875; 0
XNOR; simulated_annealing; 10; 0.4091796875; 0
XNOR; simulated_annealing; 11; 0.4091796875; 0
XNOR; simulated_annealing; 12; 0.4091796875; 0
XNOR; simulated_annealing; 13; 0.4091796875; 0
XNOR; simulated_annealing; 14; 0.4091796875; 0
XNOR; simulated_annealing; 15; 0.4091796875; 0
XNOR; simulated_annealing; 16; 0.4091796875; 0
XNOR; simulated_annealing; 17; 0.4091796875; 0
XNOR; simulated_annealing; 18; 0.4091796875; 0
XNOR; simulated_annealing; 19; 0.365234375; 0
XNOR; simulated_annealing; 20; 0.365234375; 0
XNOR; simulated_annealing; 21; 0.365234375; 0
XNOR; simulated_annealing; 22; 0.365234375; 0
XNOR; simulated_annealing; 23; 0.365234375; 0
XNOR; simulated_annealing; 24; 0.365234375; 0
XNOR; simulated_annealing; 25; 0.365234375; 0
XNOR; simulated_annealing; 26; 0.3427734375; 0
XNOR; simulated_annealing; 27; 0.3427734375; 0
XNOR; simulated_annealing; 28; 0.3427734375; 0
XNOR; simulated_annealing; 29; 0.318359375; 0
XNOR; simulated_annealing; 30; 0.291015625; 0
XNOR; simulated_annealing; 31; 0.279296875; 0
XNOR; simulated_annealing; 32; 0.2626953125; 0
XNOR; simulated_annealing; 33; 0.2626953125; 0
XNOR; simulated_annealing; 34; 0.26171875; 0
XNOR; simulated_annealing; 35; 0.2568359375; 0
XNOR; simulated_annealing; 36; 0.2451171875; 0
XNOR; simulated_annealing; 1; 0.734375; 1
XNOR; simulated_annealing; 2; 0.7314453125; 1
XNOR; simulated_annealing; 3; 0.7314453125; 1
XNOR; simulated_annealing; 4; 0.7314453125; 1
XNOR; simulated_annealing; 5; 0.7314453125; 1
XNOR; simulated_annealing; 6; 0.7314453125; 1
XNOR; simulated_annealing; 7; 0.7294921875; 1
