Logic Gate; Method; Iteration; Error; Run
XOR; random_search; 1; 0.26953125; 0
XOR; random_search; 2; 0.26953125; 0
XOR; random_search; 3; 0.26953125; 0
XOR; random_search; 4; 0.26953125; 0
XOR; random_search; 5; 0.26953125; 0
XOR; random_search; 6; 0.26953125; 0
XOR; random_search; 7; 0.26953125; 0
XOR; random_search; 8; 0.236328125; 0
XOR; random_search; 1; 0.283203125; 1
XOR; random_search; 2; 0.283203125; 1
XOR; random_search; 3; 0.283203125; 1
XOR; random_search; 4; 0.283203125; 1
XOR; random_search; 5; 0.283203125; 1
XOR; random_search; 6; 0.283203125; 1
XOR; random_search; 7; 0.283203125; 1
XOR; random_search; 8; 0.283203125; 1
XOR; random_search; 9; 0.283203125; 1
XOR; random_search; 10; 0.283203125; 1
XOR; random_search; 11; 0.2626953125; 1
XOR; random_search; 12; 0.2626953125; 1
XOR; random_search; 13; 0.2626953125; 1
XOR; random_search; 14; 0.2373046875; 1
XOR; random_search; 1; 0.54296875; 2
XOR; random_search; 2; 0.28515625; 2
XOR; random_search; 3; 0.28515625; 2
XOR; random_search; 4; 0.2587890625; 2
XOR; random_search; 5; 0.2587890625; 2
XOR; random_search; 6; 0.2587890625; 2
XOR; random_search; 7; 0.2587890625; 2
XOR; random_search; 8; 0.240234375; 2
XOR; random_search; 1; 0.275390625; 3
XOR; random_search; 2; 0.275390625; 3
XOR; random_search; 3; 0.2392578125; 3
XOR; random_search; 1; 0.4892578125; 4
XOR; random_search; 2; 0.2958984375; 4
XOR; random_search; 3; 0.2958984375; 4
XOR; random_search; 4; 0.2939453125; 4
XOR; random_search; 5; 0.2939453125; 4
XOR; random_search; 6; 0.25; 4
XOR; random_search; 7; 0.25; 4
XOR; random_search; 8; 0.25; 4
XOR; random_search; 9; 0.25; 4
XOR; random_search; 10; 0.25; 4
XOR; random_search; 11; 0.25; 4
XOR; random_search; 12; 0.25; 4
XOR; random_search; 13; 0.25; 4
XOR; random_search; 14; 0.25; 4
XOR; random_search; 15; 0.25; 4
XOR; random_search; 16; 0.25; 4
XOR; random_search; 17; 0.25; 4
XOR; random_search; 18; 0.25; 4
XOR; random_search; 19; 0.25; 4
XOR; random_search; 20; 0.25; 4
XOR; random_search; 21; 0.25; 4
XOR; random_search; 22; 0.2490234375; 4
XOR; random_search; 1; 0.2568359375; 5
XOR; random_search; 2; 0.2568359375; 5
