Logic Gate; Method; Iteration; Error; Run
XOR; simulated_annealing; 1; 0.4970703125; 0
XOR; simulated_annealing; 2; 0.4970703125; 0
XOR; simulated_annealing; 3; 0.4970703125; 0
XOR; simulated_annealing; 4; 0.4189453125; 0
XOR; simulated_annealing; 5; 0.4189453125; 0
XOR; simulated_annealing; 6; 0.4189453125; 0
XOR; simulated_annealing; 7; 0.4189453125; 0
XOR; simulated_annealing; 8; 0.4189453125; 0
XOR; simulated_annealing; 9; 0.4189453125; 0
XOR; simulated_annealing; 10; 0.4189453125; 0
XOR; simulated_annealing; 11; 0.4189453125; 0
XOR; simulated_annealing; 12; 0.4189453125; 0
XOR; simulated_annealing; 13; 0.4189453125; 0
XOR; simulated_annealing; 14; 0.3896484375; 0
XOR; simulated_annealing; 15; 0.37109375; 0
XOR; simulated_annealing; 16; 0.3623046875; 0
XOR; simulated_annealing; 17; 0.3623046875; 0
XOR; simulated_annealing; 18; 0.3623046875; 0
XOR; simulated_annealing; 19; 0.3623046875; 0
XOR; simulated_annealing; 20; 0.3623046875; 0
XOR; simulated_annealing; 21; 0.3623046875; 0
XOR; simulated_annealing; 22; 0.3623046875; 0
XOR; simulated_annealing; 23; 0.3623046875; 0
XOR; simulated_annealing; 24; 0.3623046875; 0
XOR; simulated_annealing; 25; 0.3623046875; 0
XOR; simulated_annealing; 26; 0.3623046875; 0
XOR; simulated_annealing; 27; 0.3623046875; 0
XOR; simulated_annealing; 28; 0.3623046875; 0
XOR; simulated_annealing; 29; 0.3623046875; 0
XOR; simulated_annealing; 30; 0.3251953125; 0
XOR; simulated_annealing; 31; 0.3251953125; 0
XOR; simulated_annealing; 32; 0.31640625; 0
XOR; simulated_annealing; 33; 0.27734375; 0
XOR; simulated_annealing; 34; 0.27734375; 0
XOR; simulated_annealing; 35; 0.27734375; 0
XOR; simulated_annealing; 36; 0.27734375; 0
XOR; simulated_annealing; 37; 0.27734375; 0
XOR; simulated_annealing; 38; 0.27734375; 0
XOR; simulated_annealing; 39; 0.2724609375; 0
XOR; simulated_annealing; 40; 0.2724609375; 0
XOR; simulated_annealing; 41; 0.2724609375; 0
XOR; simulated_annealing; 42; 0.2724609375; 0
XOR; simulated_annealing; 43; 0.2724609375; 0
XOR; simulated_annealing; 44; 0.267578125; 0
XOR; simulated_annealing; 45; 0.267578125; 0
XOR; simulated_annealing; 46; 0.26171875; 0
XOR; simulated_annealing; 47; 0.26171875; 0
XOR; simulated_annealing; 48; 0.26171875; 0
XOR; simulated_annealing; 49; 0.2490234375; 0
XOR; simulated_annealing; 1; 0.2900390625; 1
XOR; simulated_annealing; 2; 0.2900390625; 1
XOR; simulated_annealing; 3; 0.2900390625; 1
XOR; simulated_annealing; 4; 0.2900390625; 1
XOR; simulated_annealing; 5; 0.267578125; 1
XOR; simulated_annealing; 6; 0.267578125; 1
XOR; simulated_annealing; 7; 0.267578125; 1
XOR; simulated_annealing; 8; 0.267578125; 1
