Logic Gate; Method; Iteration; Error; Run
AND; genetic_algorithm; 1; 0.2705078125; 0
AND; genetic_algorithm; 2; 0.2705078125; 0
AND; genetic_algorithm; 3; 0.2705078125; 0
AND; genetic_algorithm; 4; 0.2705078125; 0
AND; genetic_algorithm; 5; 0.2705078125; 0
AND; genetic_algorithm; 6; 0.2705078125; 0
AND; genetic_algorithm; 7; 0.2705078125; 0
AND; genetic_algorithm; 8; 0.2705078125; 0
AND; genetic_algorithm; 9; 0.2705078125; 0
AND; genetic_algorithm; 10; 0.2705078125; 0
AND; genetic_algorithm; 1; 0.25; 1
AND; genetic_algorithm; 2; 0.25; 1
AND; genetic_algorithm; 3; 0.25; 1
AND; genetic_algorithm; 4; 0.25; 1
AND; genetic_algorithm; 5; 0.25; 1
AND; genetic_algorithm; 6; 0.25; 1
AND; genetic_algorithm; 7; 0.25; 1
AND; genetic_algorithm; 8; 0.25; 1
AND; genetic_algorithm; 9; 0.25; 1
AND; genetic_algorithm; 10; 0.25; 1
AND; genetic_algorithm; 1; 0.2607421875; 2
AND; genetic_algorithm; 2; 0.2607421875; 2
AND; genetic_algorithm; 3; 0.2607421875; 2
AND; genetic_algorithm; 4; 0.2607421875; 2
AND; genetic_algorithm; 5; 0.2607421875; 2
AND; genetic_algorithm; 6; 0.2607421875; 2
AND; genetic_algorithm; 7; 0.2607421875; 2
AND; genetic_algorithm; 8; 0.2607421875; 2
AND; genetic_algorithm; 9; 0.2607421875; 2
AND; genetic_algorithm; 10; 0.2607421875; 2
AND; genetic_algorithm; 1; 0.244140625; 3
AND; genetic_algorithm; 2; 0.244140625; 3
AND; genetic_algorithm; 3; 0.244140625; 3
AND; genetic_algorithm; 4; 0.244140625; 3
AND; genetic_algorithm; 5; 0.244140625; 3
AND; genetic_algorithm; 6; 0.244140625; 3
AND; genetic_algorithm; 7; 0.244140625; 3
AND; genetic_algorithm; 8; 0.244140625; 3
AND; genetic_algorithm; 9; 0.244140625; 3
AND; genetic_algorithm; 10; 0.244140625; 3
AND; genetic_algorithm; 1; 0.2578125; 4
AND; genetic_algorithm; 2; 0.2578125; 4
AND; genetic_algorithm; 3; 0.2578125; 4
AND; genetic_algorithm; 4; 0.2578125; 4
AND; genetic_algorithm; 5; 0.2578125; 4
AND; genetic_algorithm; 6; 0.2578125; 4
AND; genetic_algorithm; 7; 0.2578125; 4
AND; genetic_algorithm; 8; 0.2578125; 4
AND; genetic_algorithm; 9; 0.2578125; 4
AND; genetic_algorithm; 10; 0.2578125; 4
AND; genetic_algorithm; 1; 0.2294921875; 5
AND; genetic_algorithm; 2; 0.2294921875; 5
AND; genetic_algorithm; 3; 0.2294921875; 5
AND; genetic_algorithm; 4; 0.2294921875; 5
AND; genetic_algorithm; 5; 0.2294921875; 5
AND; genetic_algorithm; 6; 0.2294921875; 5
AND; genetic_algorithm; 7; 0.2294921875; 5
AND; genetic_algorithm; 8; 0.2294921875; 5
AND; genetic_algorithm; 9; 0.2294921875; 5
AND; genetic_algorithm; 10; 0.2294921875; 5
AND; genetic_algorithm; 1; 0.2490234375; 6
AND; genetic_algorithm; 2; 0.2490234375; 6
AND; genetic_algorithm; 3; 0.2490234375; 6
AND; genetic_algorithm; 4; 0.2490234375; 6
AND; genetic_algorithm; 5; 0.2490234375; 6
AND; genetic_algorithm; 6; 0.2490234375; 6
AND; genetic_algorithm; 7; 0.2490234375; 6
AND; genetic_algorithm; 8; 0.2490234375; 6
AND; genetic_algorithm; 9; 0.2490234375; 6
AND; genetic_algorithm; 10; 0.2490234375; 6
AND; genetic_algorithm; 1; 0.255859375; 7
AND; genetic_algorithm; 2; 0.255859375; 7
AND; genetic_algorithm; 3; 0.255859375; 7
AND; genetic_algorithm; 4; 0.255859375; 7
AND; genetic_algorithm; 5; 0.255859375; 7
AND; genetic_algorithm; 6; 0.255859375; 7
AND; genetic_algorithm; 7; 0.255859375; 7
AND; genetic_algorithm; 8; 0.255859375; 7
AND; genetic_algorithm; 9; 0.255859375; 7
AND; genetic_algorithm; 10; 0.255859375; 7
AND; genetic_algorithm; 1; 0.23828125; 8
AND; genetic_algorithm; 2; 0.23828125; 8
AND; genetic_algorithm; 3; 0.23828125; 8
AND; genetic_algorithm; 4; 0.23828125; 8
AND; genetic_algorithm; 5; 0.23828125; 8
AND; genetic_algorithm; 6; 0.23828125; 8
AND; genetic_algorithm; 7; 0.23828125; 8
AND; genetic_algorithm; 8; 0.23828125; 8
AND; genetic_algorithm; 9; 0.23828125; 8
AND; genetic_algorithm; 10; 0.23828125; 8
AND; genetic_algorithm; 1; 0.251953125; 9
AND; genetic_algorithm; 2; 0.251953125; 9
AND; genetic_algorithm; 3; 0.251953125; 9
AND; genetic_algorithm; 4; 0.251953125; 9
AND; genetic_algorithm; 5; 0.251953125; 9
AND; genetic_algorithm; 6; 0.251953125; 9
AND; genetic_algorithm; 7; 0.251953125; 9
AND; genetic_algorithm; 8; 0.251953125; 9
AND; genetic_algorithm; 9; 0.251953125; 9
AND; genetic_algorithm; 10; 0.251953125; 9
