Logic Gate; Method; Iteration; Error; Run
AND; gradient_descent; 1; 0.267578125; 0
AND; gradient_descent; 2; 0.236328125; 0
AND; gradient_descent; 1; 0.5478515625; 1
AND; gradient_descent; 2; 0.3037109375; 1
AND; gradient_descent; 3; 0.2626953125; 1
AND; gradient_descent; 4; 0.2626953125; 1
AND; gradient_descent; 5; 0.2470703125; 1
AND; gradient_descent; 1; 0.2939453125; 2
AND; gradient_descent; 2; 0.2939453125; 2
AND; gradient_descent; 3; 0.2939453125; 2
AND; gradient_descent; 4; 0.2939453125; 2
AND; gradient_descent; 5; 0.2939453125; 2
AND; gradient_descent; 6; 0.2587890625; 2
AND; gradient_descent; 7; 0.2587890625; 2
AND; gradient_descent; 8; 0.2587890625; 2
AND; gradient_descent; 9; 0.2587890625; 2
AND; gradient_descent; 10; 0.2587890625; 2
AND; gradient_descent; 11; 0.2509765625; 2
AND; gradient_descent; 12; 0.2509765625; 2
AND; gradient_descent; 13; 0.2509765625; 2
AND; gradient_descent; 14; 0.2392578125; 2
AND; gradient_descent; 1; 0.3583984375; 3
AND; gradient_descent; 2; 0.296875; 3
AND; gradient_descent; 3; 0.296875; 3
AND; gradient_descent; 4; 0.296875; 3
AND; gradient_descent; 5; 0.296875; 3
AND; gradient_descent; 6; 0.296875; 3
AND; gradient_descent; 7; 0.2724609375; 3
AND; gradient_descent; 8; 0.2724609375; 3
AND; gradient_descent; 9; 0.2724609375; 3
AND; gradient_descent; 10; 0.2724609375; 3
AND; gradient_descent; 11; 0.2333984375; 3
AND; gradient_descent; 1; 0.244140625; 4
AND; gradient_descent; 2; 0.244140625; 4
AND; gradient_descent; 3; 0.244140625; 4
AND; gradient_descent; 4; 0.244140625; 4
AND; gradient_descent; 5; 0.244140625; 4
AND; gradient_descent; 6; 0.244140625; 4
AND; gradient_descent; 7; 0.244140625; 4
AND; gradient_descent; 8; 0.244140625; 4
AND; gradient_descent; 9; 0.244140625; 4
AND; gradient_descent; 10; 0.244140625; 4
AND; gradient_descent; 11; 0.244140625; 4
AND; gradient_descent; 12; 0.244140625; 4
AND; gradient_descent; 13; 0.244140625; 4
AND; gradient_descent; 1; 0.2763671875; 5
AND; gradient_descent; 2; 0.2763671875; 5
AND; gradient_descent; 3; 0.2763671875; 5
AND; gradient_descent; 4; 0.2763671875; 5
AND; gradient_descent; 5; 0.2763671875; 5
AND; gradient_descent; 6; 0.2666015625; 5
AND; gradient_descent; 7; 0.240234375; 5
AND; gradient_descent; 1; 0.345703125; 6
AND; gradient_descent; 2; 0.3427734375; 6
AND; gradient_descent; 3; 0.275390625; 6
AND; gradient_descent; 4; 0.24609375; 6
AND; gradient_descent; 1; 0.2412109375; 7
AND; gradient_descent; 2; 0.2412109375; 7
AND; gradient_descent; 3; 0.2412109375; 7
AND; gradient_descent; 4; 0.2412109375; 7
AND; gradient_descent; 5; 0.2412109375; 7
AND; gradient_descent; 6; 0.2412109375; 7
AND; gradient_descent; 7; 0.2412109375; 7
AND; gradient_descent; 8; 0.2412109375; 7
AND; gradient_descent; 9; 0.2412109375; 7
AND; gradient_descent; 10; 0.2412109375; 7
AND; gradient_descent; 11; 0.2412109375; 7
AND; gradient_descent; 12; 0.2412109375; 7
AND; gradient_descent; 13; 0.2412109375; 7
AND; gradient_descent; 14; 0.2412109375; 7
AND; gradient_descent; 15; 0.2412109375; 7
AND; gradient_descent; 1; 0.259765625; 8
AND; gradient_descent; 2; 0.259765625; 8
AND; gradient_descent; 3; 0.255859375; 8
AND; gradient_descent; 4; 0.255859375; 8
AND; gradient_descent; 5; 0.248046875; 8
AND; gradient_descent; 1; 0.244140625; 9
