Logic Gate; Method; Iteration; Error; Run
AND; random_search; 1; 0.2802734375; 0
AND; random_search; 2; 0.2275390625; 0
AND; random_search; 1; 0.251953125; 1
AND; random_search; 2; 0.251953125; 1
AND; random_search; 3; 0.251953125; 1
AND; random_search; 4; 0.251953125; 1
AND; random_search; 5; 0.251953125; 1
AND; random_search; 6; 0.251953125; 1
AND; random_search; 7; 0.251953125; 1
AND; random_search; 8; 0.251953125; 1
AND; random_search; 9; 0.251953125; 1
AND; random_search; 10; 0.251953125; 1
AND; random_search; 11; 0.251953125; 1
AND; random_search; 12; 0.251953125; 1
AND; random_search; 13; 0.251953125; 1
AND; random_search; 14; 0.251953125; 1
AND; random_search; 15; 0.251953125; 1
AND; random_search; 16; 0.251953125; 1
AND; random_search; 17; 0.251953125; 1
AND; random_search; 18; 0.251953125; 1
AND; random_search; 19; 0.251953125; 1
AND; random_search; 20; 0.251953125; 1
AND; random_search; 21; 0.251953125; 1
AND; random_search; 22; 0.251953125; 1
AND; random_search; 23; 0.251953125; 1
AND; random_search; 24; 0.251953125; 1
AND; random_search; 25; 0.251953125; 1
AND; random_search; 26; 0.251953125; 1
AND; random_search; 27; 0.251953125; 1
AND; random_search; 28; 0.232421875; 1
AND; random_search; 1; 0.3212890625; 2
AND; random_search; 2; 0.3212890625; 2
AND; random_search; 3; 0.3173828125; 2
AND; random_search; 4; 0.26171875; 2
AND; random_search; 5; 0.26171875; 2
AND; random_search; 6; 0.232421875; 2
AND; random_search; 1; 0.712890625; 3
AND; random_search; 2; 0.4248046875; 3
AND; random_search; 3; 0.28125; 3
AND; random_search; 4; 0.28125; 3
AND; random_search; 5; 0.28125; 3
AND; random_search; 6; 0.267578125; 3
AND; random_search; 7; 0.267578125; 3
AND; random_search; 8; 0.267578125; 3
AND; random_search; 9; 0.2568359375; 3
AND; random_search; 10; 0.2568359375; 3
AND; random_search; 11; 0.2568359375; 3
AND; random_search; 12; 0.248046875; 3
AND; random_search; 1; 0.2578125; 4
AND; random_search; 2; 0.2578125; 4
AND; random_search; 3; 0.2578125; 4
AND; random_search; 4; 0.251953125; 4
AND; random_search; 5; 0.251953125; 4
AND; random_search; 6; 0.251953125; 4
AND; random_search; 7; 0.251953125; 4
AND; random_search; 8; 0.251953125; 4
AND; random_search; 9; 0.251953125; 4
AND; random_search; 10; 0.251953125; 4
AND; random_search; 11; 0.251953125; 4
AND; random_search; 12; 0.251953125; 4
AND; random_search; 13; 0.251953125; 4
AND; random_search; 14; 0.251953125; 4
AND; random_search; 15; 0.251953125; 4
AND; random_search; 16; 0.2392578125; 4
AND; random_search; 1; 0.4619140625; 5
AND; random_search; 2; 0.2509765625; 5
AND; random_search; 3; 0.2509765625; 5
AND; random_search; 4; 0.2509765625; 5
AND; random_search; 5; 0.2509765625; 5
AND; random_search; 6; 0.2509765625; 5
AND; random_search; 7; 0.2509765625; 5
AND; random_search; 8; 0.2509765625; 5
AND; random_search; 9; 0.2509765625; 5
AND; random_search; 10; 0.2509765625; 5
AND; random_search; 11; 0.244140625; 5
AND; random_search; 1; 0.287109375; 6
AND; random_search; 2; 0.287109375; 6
AND; random_search; 3; 0.27734375; 6
AND; random_search; 4; 0.2431640625; 6
AND; random_search; 1; 0.4267578125; 7
AND; random_search; 2; 0.2587890625; 7
AND; random_search; 3; 0.2587890625; 7
AND; random_search; 4; 0.2587890625; 7
AND; random_search; 5; 0.2587890625; 7
AND; random_search; 6; 0.2587890625; 7
AND; random_search; 7; 0.2587890625; 7
AND; random_search; 8; 0.2587890625; 7
AND; random_search; 9; 0.2587890625; 7
AND; random_search; 10; 0.2587890625; 7
AND; random_search; 11; 0.2587890625; 7
AND; random_search; 12; 0.2587890625; 7
AND; random_search; 13; 0.2587890625; 7
AND; random_search; 14; 0.2587890625; 7
AND; random_search; 15; 0.2587890625; 7
AND; random_search; 16; 0.2587890625; 7
AND; random_search; 17; 0.2587890625; 7
AND; random_search; 18; 0.2587890625; 7
AND; random_search; 19; 0.23046875; 7
AND; random_search; 1; 0.271484375; 8
AND; random_search; 2; 0.271484375; 8
AND; random_search; 3; 0.271484375; 8
AND; random_search; 4; 0.267578125; 8
AND; random_search; 5; 0.267578125; 8
AND; random_search; 6; 0.267578125; 8
AND; random_search; 7; 0.267578125; 8
AND; random_search; 8; 0.259765625; 8
AND; random_search; 9; 0.259765625; 8
AND; random_search; 10; 0.259765625; 8
AND; random_search; 11; 0.259765625; 8
AND; random_search; 12; 0.259765625; 8
AND; random_search; 13; 0.259765625; 8
AND; random_search; 14; 0.248046875; 8
AND; random_search; 1; 0.2685546875; 9
AND; random_search; 2; 0.2685546875; 9
AND; random_search; 3; 0.2685546875; 9
AND; random_search; 4; 0.2431640625; 9
