Logic Gate; Method; Iteration; Error; Run
AND; simulated_annealing; 1; 0.34765625; 0
AND; simulated_annealing; 2; 0.34765625; 0
AND; simulated_annealing; 3; 0.3173828125; 0
AND; simulated_annealing; 4; 0.3173828125; 0
AND; simulated_annealing; 5; 0.3173828125; 0
AND; simulated_annealing; 6; 0.3173828125; 0
AND; simulated_annealing; 7; 0.3173828125; 0
AND; simulated_annealing; 8; 0.3173828125; 0
AND; simulated_annealing; 9; 0.3173828125; 0
AND; simulated_annealing; 10; 0.3173828125; 0
AND; simulated_annealing; 11; 0.3173828125; 0
AND; simulated_annealing; 12; 0.3173828125; 0
AND; simulated_annealing; 13; 0.3173828125; 0
AND; simulated_annealing; 14; 0.3173828125; 0
AND; simulated_annealing; 15; 0.3173828125; 0
AND; simulated_annealing; 16; 0.3173828125; 0
AND; simulated_annealing; 17; 0.3173828125; 0
AND; simulated_annealing; 18; 0.3173828125; 0
AND; simulated_annealing; 19; 0.3173828125; 0
AND; simulated_annealing; 20; 0.3115234375; 0
AND; simulated_annealing; 21; 0.287109375; 0
AND; simulated_annealing; 22; 0.287109375; 0
AND; simulated_annealing; 23; 0.287109375; 0
AND; simulated_annealing; 24; 0.2666015625; 0
AND; simulated_annealing; 25; 0.2666015625; 0
AND; simulated_annealing; 26; 0.265625; 0
AND; simulated_annealing; 27; 0.265625; 0
AND; simulated_annealing; 28; 0.236328125; 0
AND; simulated_annealing; 1; 0.3466796875; 1
AND; simulated_annealing; 2; 0.3466796875; 1
AND; simulated_annealing; 3; 0.3359375; 1
AND; simulated_annealing; 4; 0.3359375; 1
AND; simulated_annealing; 5; 0.3359375; 1
AND; simulated_annealing; 6; 0.3193359375; 1
AND; simulated_annealing; 7; 0.3046875; 1
AND; simulated_annealing; 8; 0.283203125; 1
AND; simulated_annealing; 9; 0.283203125; 1
AND; simulated_annealing; 10; 0.283203125; 1
AND; simulated_annealing; 11; 0.283203125; 1
AND; simulated_annealing; 12; 0.283203125; 1
AND; simulated_annealing; 13; 0.2626953125; 1
AND; simulated_annealing; 14; 0.25390625; 1
AND; simulated_annealing; 15; 0.25390625; 1
AND; simulated_annealing; 16; 0.25390625; 1
AND; simulated_annealing; 17; 0.25390625; 1
AND; simulated_annealing; 18; 0.2353515625; 1
AND; simulated_annealing; 1; 0.3212890625; 2
AND; simulated_annealing; 2; 0.2841796875; 2
AND; simulated_annealing; 3; 0.2841796875; 2
AND; simulated_annealing; 4; 0.2822265625; 2
AND; simulated_annealing; 5; 0.2822265625; 2
AND; simulated_annealing; 6; 0.2822265625; 2
AND; simulated_annealing; 7; 0.2822265625; 2
AND; simulated_annealing; 8; 0.2822265625; 2
AND; simulated_annealing; 9; 0.2822265625; 2
AND; simulated_annealing; 10; 0.2822265625; 2
AND; simulated_annealing; 11; 0.2822265625; 2
AND; simulated_annealing; 12; 0.2822265625; 2
AND; simulated_annealing; 13; 0.2822265625; 2
AND; simulated_annealing; 14; 0.2822265625; 2
AND; simulated_annealing; 15; 0.2822265625; 2
AND; simulated_annealing; 16; 0.2822265625; 2
AND; simulated_annealing; 17; 0.2822265625; 2
AND; simulated_annealing; 18; 0.2822265625; 2
AND; simulated_annealing; 19; 0.2822265625; 2
AND; simulated_annealing; 20; 0.2822265625; 2
AND; simulated_annealing; 21; 0.2822265625; 2
AND; simulated_annealing; 22; 0.2822265625; 2
AND; simulated_annealing; 23; 0.2822265625; 2
AND; simulated_annealing; 24; 0.2822265625; 2
AND; simulated_annealing; 25; 0.2822265625; 2
AND; simulated_annealing; 26; 0.2822265625; 2
AND; simulated_annealing; 27; 0.2822265625; 2
AND; simulated_annealing; 28; 0.2626953125; 2
AND; simulated_annealing; 29; 0.2626953125; 2
AND; simulated_annealing; 30; 0.2626953125; 2
AND; simulated_annealing; 31; 0.2412109375; 2
AND; simulated_annealing; 1; 0.4873046875; 3
AND; simulated_annealing; 2; 0.4873046875; 3
AND; simulated_annealing; 3; 0.4873046875; 3
AND; simulated_annealing; 4; 0.4873046875; 3
AND; simulated_annealing; 5; 0.4873046875; 3
AND; simulated_annealing; 6; 0.4873046875; 3
AND; simulated_annealing; 7; 0.4873046875; 3
AND; simulated_annealing; 8; 0.4873046875; 3
AND; simulated_annealing; 9; 0.4873046875; 3
AND; simulated_annealing; 10; 0.4873046875; 3
AND; simulated_annealing; 11; 0.4873046875; 3
AND; simulated_annealing; 12; 0.4873046875; 3
AND; simulated_annealing; 13; 0.4873046875; 3
AND; simulated_annealing; 14; 0.4873046875; 3
AND; simulated_annealing; 15; 0.4873046875; 3
AND; simulated_annealing; 16; 0.4873046875; 3
AND; simulated_annealing; 17; 0.4873046875; 3
AND; simulated_annealing; 18; 0.4873046875; 3
AND; simulated_annealing; 19; 0.4873046875; 3
AND; simulated_annealing; 20; 0.4873046875; 3
AND; simulated_annealing; 21; 0.4873046875; 3
AND; simulated_annealing; 22; 0.4873046875; 3
AND; simulated_annealing; 23; 0.4873046875; 3
AND; simulated_annealing; 24; 0.4873046875; 3
AND; simulated_annealing; 25; 0.4873046875; 3
AND; simulated_annealing; 26; 0.4873046875; 3
AND; simulated_annealing; 27; 0.4873046875; 3
AND; simulated_annealing; 28; 0.4873046875; 3
AND; simulated_annealing; 29; 0.4873046875; 3
AND; simulated_annealing; 30; 0.4873046875; 3
AND; simulated_annealing; 31; 0.4873046875; 3
