Logic Gate; Method; Iteration; Error; Run
NAND; exhaustive_search; 1; 0.2421875; 0
NAND; exhaustive_search; 1; 0.234375; 1
NAND; exhaustive_search; 1; 0.248046875; 2
NAND; exhaustive_search; 1; 0.224609375; 3
NAND; exhaustive_search; 1; 0.2587890625; 4
NAND; exhaustive_search; 2; 0.240234375; 4
NAND; exhaustive_search; 1; 0.271484375; 5
NAND; exhaustive_search; 2; 0.240234375; 5
NAND; exhaustive_search; 1; 0.2333984375; 6
NAND; exhaustive_search; 1; 0.2646484375; 7
NAND; exhaustive_search; 2; 0.2490234375; 7
NAND; exhaustive_search; 1; 0.2490234375; 8
NAND; exhaustive_search; 1; 0.2685546875; 9
NAND; exhaustive_search; 2; 0.2431640625; 9
