Logic Gate; Method; Iteration; Error; Run
NOR; exhaustive_search; 1; 0.25; 0
NOR; exhaustive_search; 2; 0.23046875; 0
NOR; exhaustive_search; 1; 0.2265625; 1
NOR; exhaustive_search; 1; 0.2451171875; 2
NOR; exhaustive_search; 1; 0.23828125; 3
NOR; exhaustive_search; 1; 0.2734375; 4
NOR; exhaustive_search; 2; 0.259765625; 4
NOR; exhaustive_search; 3; 0.251953125; 4
NOR; exhaustive_search; 4; 0.2119140625; 4
NOR; exhaustive_search; 1; 0.248046875; 5
NOR; exhaustive_search; 1; 0.236328125; 6
NOR; exhaustive_search; 1; 0.2451171875; 7
NOR; exhaustive_search; 1; 0.2392578125; 8
NOR; exhaustive_search; 1; 0.232421875; 9
