Logic Gate; Method; Iteration; Error; Run
NOR; random_search; 1; 0.298828125; 0
NOR; random_search; 2; 0.271484375; 0
NOR; random_search; 3; 0.271484375; 0
NOR; random_search; 4; 0.271484375; 0
NOR; random_search; 5; 0.271484375; 0
NOR; random_search; 6; 0.271484375; 0
NOR; random_search; 7; 0.271484375; 0
NOR; random_search; 8; 0.271484375; 0
NOR; random_search; 9; 0.271484375; 0
NOR; random_search; 10; 0.271484375; 0
NOR; random_search; 11; 0.271484375; 0
NOR; random_search; 12; 0.271484375; 0
NOR; random_search; 13; 0.259765625; 0
NOR; random_search; 14; 0.259765625; 0
NOR; random_search; 15; 0.2548828125; 0
NOR; random_search; 16; 0.2548828125; 0
NOR; random_search; 17; 0.2548828125; 0
NOR; random_search; 18; 0.2548828125; 0
NOR; random_search; 19; 0.2548828125; 0
NOR; random_search; 20; 0.2548828125; 0
NOR; random_search; 21; 0.2421875; 0
NOR; random_search; 1; 0.267578125; 1
NOR; random_search; 2; 0.267578125; 1
NOR; random_search; 3; 0.267578125; 1
NOR; random_search; 4; 0.267578125; 1
NOR; random_search; 5; 0.267578125; 1
NOR; random_search; 6; 0.267578125; 1
NOR; random_search; 7; 0.267578125; 1
NOR; random_search; 8; 0.267578125; 1
NOR; random_search; 9; 0.267578125; 1
NOR; random_search; 10; 0.267578125; 1
NOR; random_search; 11; 0.267578125; 1
NOR; random_search; 12; 0.267578125; 1
NOR; random_search; 13; 0.267578125; 1
NOR; random_search; 14; 0.267578125; 1
NOR; random_search; 15; 0.267578125; 1
NOR; random_search; 16; 0.23828125; 1
NOR; random_search; 1; 0.2939453125; 2
NOR; random_search; 2; 0.275390625; 2
NOR; random_search; 3; 0.2470703125; 2
NOR; random_search; 1; 0.3984375; 3
NOR; random_search; 2; 0.3984375; 3
NOR; random_search; 3; 0.2685546875; 3
NOR; random_search; 4; 0.2685546875; 3
NOR; random_search; 5; 0.2685546875; 3
NOR; random_search; 6; 0.2685546875; 3
NOR; random_search; 7; 0.2626953125; 3
NOR; random_search; 8; 0.2626953125; 3
NOR; random_search; 9; 0.2626953125; 3
NOR; random_search; 10; 0.20703125; 3
NOR; random_search; 1; 0.2568359375; 4
NOR; random_search; 2; 0.2568359375; 4
NOR; random_search; 3; 0.2568359375; 4
NOR; random_search; 4; 0.2568359375; 4
NOR; random_search; 5; 0.2568359375; 4
NOR; random_search; 6; 0.2568359375; 4
NOR; random_search; 7; 0.2568359375; 4
NOR; random_search; 8; 0.2568359375; 4
NOR; random_search; 9; 0.2568359375; 4
NOR; random_search; 10; 0.2568359375; 4
NOR; random_search; 11; 0.2568359375; 4
NOR; random_search; 12; 0.2568359375; 4
NOR; random_search; 13; 0.2568359375; 4
NOR; random_search; 14; 0.2333984375; 4
NOR; random_search; 1; 0.25; 5
NOR; random_search; 2; 0.25; 5
NOR; random_search; 3; 0.25; 5
NOR; random_search; 4; 0.25; 5
NOR; random_search; 5; 0.25; 5
NOR; random_search; 6; 0.25; 5
NOR; random_search; 7; 0.25; 5
NOR; random_search; 8; 0.25; 5
NOR; random_search; 9; 0.25; 5
NOR; random_search; 10; 0.25; 5
NOR; random_search; 11; 0.25; 5
NOR; random_search; 12; 0.25; 5
NOR; random_search; 13; 0.25; 5
NOR; random_search; 14; 0.244140625; 5
NOR; random_search; 1; 0.2705078125; 6
NOR; random_search; 2; 0.2705078125; 6
NOR; random_search; 3; 0.2705078125; 6
NOR; random_search; 4; 0.2705078125; 6
NOR; random_search; 5; 0.2705078125; 6
NOR; random_search; 6; 0.2705078125; 6
NOR; random_search; 7; 0.2705078125; 6
NOR; random_search; 8; 0.267578125; 6
NOR; random_search; 9; 0.2421875; 6
NOR; random_search; 1; 0.6201171875; 7
NOR; random_search; 2; 0.3369140625; 7
NOR; random_search; 3; 0.287109375; 7
NOR; random_search; 4; 0.287109375; 7
NOR; random_search; 5; 0.287109375; 7
NOR; random_search; 6; 0.287109375; 7
NOR; random_search; 7; 0.265625; 7
NOR; random_search; 8; 0.265625; 7
NOR; random_search; 9; 0.265625; 7
NOR; random_search; 10; 0.265625; 7
NOR; random_search; 11; 0.265625; 7
NOR; random_search; 12; 0.265625; 7
NOR; random_search; 13; 0.265625; 7
NOR; random_search; 14; 0.265625; 7
NOR; random_search; 15; 0.265625; 7
NOR; random_search; 16; 0.265625; 7
NOR; random_search; 17; 0.265625; 7
NOR; random_search; 18; 0.265625; 7
NOR; random_search; 19; 0.265625; 7
NOR; random_search; 20; 0.265625; 7
NOR; random_search; 21; 0.2529296875; 7
NOR; random_search; 22; 0.2529296875; 7
NOR; random_search; 23; 0.2529296875; 7
NOR; random_search; 24; 0.248046875; 7
NOR; random_search; 1; 0.494140625; 8
NOR; random_search; 2; 0.2744140625; 8
NOR; random_search; 3; 0.2744140625; 8
NOR; random_search; 4; 0.267578125; 8
NOR; random_search; 5; 0.267578125; 8
NOR; random_search; 6; 0.267578125; 8
NOR; random_search; 7; 0.2431640625; 8
NOR; random_search; 1; 0.3525390625; 9
NOR; random_search; 2; 0.23828125; 9
