Logic Gate; Method; Iteration; Error; Run
NOR; simulated_annealing; 1; 0.2392578125; 0
NOR; simulated_annealing; 1; 0.2255859375; 1
NOR; simulated_annealing; 1; 0.232421875; 2
NOR; simulated_annealing; 1; 0.2626953125; 3
NOR; simulated_annealing; 2; 0.2626953125; 3
NOR; simulated_annealing; 3; 0.2626953125; 3
NOR; simulated_annealing; 4; 0.2626953125; 3
NOR; simulated_annealing; 5; 0.2626953125; 3
NOR; simulated_annealing; 6; 0.2626953125; 3
NOR; simulated_annealing; 7; 0.2626953125; 3
NOR; simulated_annealing; 8; 0.2626953125; 3
NOR; simulated_annealing; 9; 0.2626953125; 3
NOR; simulated_annealing; 10; 0.24609375; 3
NOR; simulated_annealing; 1; 0.26171875; 4
NOR; simulated_annealing; 2; 0.26171875; 4
NOR; simulated_annealing; 3; 0.26171875; 4
NOR; simulated_annealing; 4; 0.26171875; 4
NOR; simulated_annealing; 5; 0.2392578125; 4
NOR; simulated_annealing; 1; 0.2333984375; 5
NOR; simulated_annealing; 1; 0.6953125; 6
NOR; simulated_annealing; 2; 0.6953125; 6
NOR; simulated_annealing; 3; 0.6953125; 6
NOR; simulated_annealing; 4; 0.6953125; 6
NOR; simulated_annealing; 5; 0.6953125; 6
NOR; simulated_annealing; 6; 0.6953125; 6
NOR; simulated_annealing; 7; 0.6953125; 6
NOR; simulated_annealing; 8; 0.6953125; 6
NOR; simulated_annealing; 9; 0.6953125; 6
NOR; simulated_annealing; 10; 0.6953125; 6
NOR; simulated_annealing; 11; 0.6953125; 6
NOR; simulated_annealing; 12; 0.6953125; 6
NOR; simulated_annealing; 13; 0.6943359375; 6
NOR; simulated_annealing; 14; 0.6787109375; 6
NOR; simulated_annealing; 15; 0.6787109375; 6
NOR; simulated_annealing; 16; 0.6787109375; 6
NOR; simulated_annealing; 17; 0.6787109375; 6
NOR; simulated_annealing; 18; 0.6240234375; 6
NOR; simulated_annealing; 19; 0.6240234375; 6
