Logic Gate; Method; Iteration; Error; Run
OR; gradient_descent; 1; 0.248046875; 0
OR; gradient_descent; 2; 0.248046875; 0
OR; gradient_descent; 1; 0.3125; 1
OR; gradient_descent; 2; 0.2919921875; 1
OR; gradient_descent; 3; 0.2919921875; 1
OR; gradient_descent; 4; 0.2919921875; 1
OR; gradient_descent; 5; 0.2685546875; 1
OR; gradient_descent; 6; 0.2685546875; 1
OR; gradient_descent; 7; 0.2548828125; 1
OR; gradient_descent; 8; 0.2548828125; 1
OR; gradient_descent; 9; 0.2548828125; 1
OR; gradient_descent; 10; 0.2548828125; 1
OR; gradient_descent; 11; 0.2548828125; 1
OR; gradient_descent; 12; 0.2548828125; 1
OR; gradient_descent; 13; 0.248046875; 1
OR; gradient_descent; 1; 0.5859375; 2
OR; gradient_descent; 2; 0.26953125; 2
OR; gradient_descent; 3; 0.2431640625; 2
OR; gradient_descent; 1; 0.3212890625; 3
OR; gradient_descent; 2; 0.3212890625; 3
OR; gradient_descent; 3; 0.27734375; 3
OR; gradient_descent; 4; 0.27734375; 3
OR; gradient_descent; 5; 0.27734375; 3
OR; gradient_descent; 6; 0.27734375; 3
OR; gradient_descent; 7; 0.271484375; 3
OR; gradient_descent; 8; 0.263671875; 3
OR; gradient_descent; 9; 0.263671875; 3
OR; gradient_descent; 10; 0.2451171875; 3
OR; gradient_descent; 1; 0.4150390625; 4
OR; gradient_descent; 2; 0.2734375; 4
OR; gradient_descent; 3; 0.236328125; 4
OR; gradient_descent; 1; 0.37109375; 5
OR; gradient_descent; 2; 0.37109375; 5
OR; gradient_descent; 3; 0.37109375; 5
OR; gradient_descent; 4; 0.2548828125; 5
OR; gradient_descent; 5; 0.2548828125; 5
OR; gradient_descent; 6; 0.2548828125; 5
OR; gradient_descent; 7; 0.2548828125; 5
OR; gradient_descent; 8; 0.2548828125; 5
OR; gradient_descent; 9; 0.2548828125; 5
OR; gradient_descent; 10; 0.2548828125; 5
OR; gradient_descent; 11; 0.2548828125; 5
OR; gradient_descent; 12; 0.2548828125; 5
OR; gradient_descent; 13; 0.2548828125; 5
OR; gradient_descent; 14; 0.2548828125; 5
OR; gradient_descent; 15; 0.2548828125; 5
OR; gradient_descent; 16; 0.2548828125; 5
OR; gradient_descent; 17; 0.2548828125; 5
OR; gradient_descent; 18; 0.2509765625; 5
OR; gradient_descent; 19; 0.2509765625; 5
OR; gradient_descent; 20; 0.2431640625; 5
OR; gradient_descent; 1; 0.53125; 6
OR; gradient_descent; 2; 0.384765625; 6
OR; gradient_descent; 3; 0.384765625; 6
OR; gradient_descent; 4; 0.384765625; 6
OR; gradient_descent; 5; 0.384765625; 6
OR; gradient_descent; 6; 0.3525390625; 6
OR; gradient_descent; 7; 0.2587890625; 6
OR; gradient_descent; 8; 0.2587890625; 6
OR; gradient_descent; 9; 0.244140625; 6
OR; gradient_descent; 1; 0.7099609375; 7
OR; gradient_descent; 2; 0.578125; 7
OR; gradient_descent; 3; 0.2431640625; 7
OR; gradient_descent; 1; 0.2666015625; 8
OR; gradient_descent; 2; 0.251953125; 8
OR; gradient_descent; 3; 0.251953125; 8
OR; gradient_descent; 4; 0.2421875; 8
OR; gradient_descent; 1; 0.4228515625; 9
OR; gradient_descent; 2; 0.2421875; 9
