Logic Gate; Method; Iteration; Error; Run
OR; simulated_annealing; 1; 0.2470703125; 0
OR; simulated_annealing; 1; 0.2890625; 1
OR; simulated_annealing; 2; 0.2890625; 1
OR; simulated_annealing; 3; 0.2890625; 1
OR; simulated_annealing; 4; 0.2890625; 1
OR; simulated_annealing; 5; 0.2890625; 1
OR; simulated_annealing; 6; 0.2890625; 1
OR; simulated_annealing; 7; 0.2890625; 1
OR; simulated_annealing; 8; 0.2890625; 1
OR; simulated_annealing; 9; 0.2890625; 1
OR; simulated_annealing; 10; 0.2890625; 1
OR; simulated_annealing; 11; 0.2890625; 1
OR; simulated_annealing; 12; 0.2890625; 1
OR; simulated_annealing; 13; 0.2890625; 1
OR; simulated_annealing; 14; 0.2890625; 1
OR; simulated_annealing; 15; 0.2890625; 1
OR; simulated_annealing; 16; 0.2890625; 1
OR; simulated_annealing; 17; 0.2890625; 1
OR; simulated_annealing; 18; 0.2890625; 1
OR; simulated_annealing; 19; 0.2890625; 1
OR; simulated_annealing; 20; 0.2890625; 1
OR; simulated_annealing; 21; 0.2890625; 1
OR; simulated_annealing; 22; 0.2890625; 1
OR; simulated_annealing; 23; 0.2890625; 1
OR; simulated_annealing; 24; 0.2890625; 1
OR; simulated_annealing; 25; 0.2890625; 1
OR; simulated_annealing; 26; 0.2890625; 1
OR; simulated_annealing; 27; 0.2890625; 1
OR; simulated_annealing; 28; 0.2890625; 1
OR; simulated_annealing; 29; 0.2890625; 1
OR; simulated_annealing; 30; 0.2890625; 1
OR; simulated_annealing; 31; 0.2890625; 1
OR; simulated_annealing; 32; 0.2890625; 1
OR; simulated_annealing; 33; 0.2890625; 1
OR; simulated_annealing; 34; 0.2890625; 1
OR; simulated_annealing; 35; 0.2890625; 1
OR; simulated_annealing; 36; 0.2890625; 1
OR; simulated_annealing; 37; 0.2890625; 1
OR; simulated_annealing; 38; 0.2880859375; 1
OR; simulated_annealing; 39; 0.2880859375; 1
OR; simulated_annealing; 40; 0.2802734375; 1
OR; simulated_annealing; 41; 0.2490234375; 1
OR; simulated_annealing; 1; 0.2958984375; 2
OR; simulated_annealing; 2; 0.2958984375; 2
OR; simulated_annealing; 3; 0.2958984375; 2
OR; simulated_annealing; 4; 0.2958984375; 2
OR; simulated_annealing; 5; 0.294921875; 2
OR; simulated_annealing; 6; 0.271484375; 2
OR; simulated_annealing; 7; 0.271484375; 2
OR; simulated_annealing; 8; 0.271484375; 2
OR; simulated_annealing; 9; 0.271484375; 2
OR; simulated_annealing; 10; 0.271484375; 2
OR; simulated_annealing; 11; 0.2705078125; 2
OR; simulated_annealing; 12; 0.2705078125; 2
OR; simulated_annealing; 13; 0.2587890625; 2
OR; simulated_annealing; 14; 0.2587890625; 2
OR; simulated_annealing; 15; 0.2587890625; 2
OR; simulated_annealing; 16; 0.2587890625; 2
OR; simulated_annealing; 17; 0.2587890625; 2
OR; simulated_annealing; 18; 0.2587890625; 2
OR; simulated_annealing; 19; 0.2587890625; 2
OR; simulated_annealing; 20; 0.2587890625; 2
OR; simulated_annealing; 21; 0.2587890625; 2
OR; simulated_annealing; 22; 0.2587890625; 2
OR; simulated_annealing; 23; 0.2587890625; 2
OR; simulated_annealing; 24; 0.2587890625; 2
OR; simulated_annealing; 25; 0.2587890625; 2
OR; simulated_annealing; 26; 0.2587890625; 2
OR; simulated_annealing; 27; 0.2587890625; 2
OR; simulated_annealing; 28; 0.2587890625; 2
OR; simulated_annealing; 29; 0.2587890625; 2
OR; simulated_annealing; 30; 0.2587890625; 2
OR; simulated_annealing; 31; 0.251953125; 2
OR; simulated_annealing; 32; 0.251953125; 2
