Logic Gate; Method; Iteration; Error; Run
XNOR; exhaustive_search; 1; 0.25390625; 0
XNOR; exhaustive_search; 2; 0.25390625; 0
XNOR; exhaustive_search; 3; 0.244140625; 0
XNOR; exhaustive_search; 1; 0.2353515625; 1
XNOR; exhaustive_search; 1; 0.248046875; 2
XNOR; exhaustive_search; 1; 0.244140625; 3
XNOR; exhaustive_search; 1; 0.234375; 4
XNOR; exhaustive_search; 1; 0.2431640625; 5
XNOR; exhaustive_search; 1; 0.2578125; 6
XNOR; exhaustive_search; 2; 0.244140625; 6
XNOR; exhaustive_search; 1; 0.2607421875; 7
XNOR; exhaustive_search; 2; 0.25; 7
XNOR; exhaustive_search; 3; 0.2470703125; 7
XNOR; exhaustive_search; 1; 0.22265625; 8
XNOR; exhaustive_search; 1; 0.244140625; 9
