Logic Gate; Method; Iteration; Error; Run
XOR; exhaustive_search; 1; 0.2392578125; 0
XOR; exhaustive_search; 1; 0.2568359375; 1
XOR; exhaustive_search; 2; 0.240234375; 1
XOR; exhaustive_search; 1; 0.265625; 2
XOR; exhaustive_search; 2; 0.2578125; 2
XOR; exhaustive_search; 3; 0.2412109375; 2
XOR; exhaustive_search; 1; 0.2607421875; 3
XOR; exhaustive_search; 2; 0.24609375; 3
XOR; exhaustive_search; 1; 0.2529296875; 4
XOR; exhaustive_search; 2; 0.2529296875; 4
XOR; exhaustive_search; 3; 0.2529296875; 4
XOR; exhaustive_search; 4; 0.2529296875; 4
XOR; exhaustive_search; 5; 0.25; 4
XOR; exhaustive_search; 6; 0.25; 4
XOR; exhaustive_search; 7; 0.2412109375; 4
XOR; exhaustive_search; 1; 0.2421875; 5
XOR; exhaustive_search; 1; 0.2490234375; 6
XOR; exhaustive_search; 1; 0.25; 7
XOR; exhaustive_search; 2; 0.25; 7
XOR; exhaustive_search; 3; 0.25; 7
XOR; exhaustive_search; 4; 0.2470703125; 7
XOR; exhaustive_search; 1; 0.2412109375; 8
XOR; exhaustive_search; 1; 0.2646484375; 9
XOR; exhaustive_search; 2; 0.25; 9
XOR; exhaustive_search; 3; 0.25; 9
XOR; exhaustive_search; 4; 0.25; 9
XOR; exhaustive_search; 5; 0.25; 9
XOR; exhaustive_search; 6; 0.24609375; 9
