Logic Gate; Method; Iteration; Error; Run
XOR; genetic_algorithm; 1; 0.236328125; 0
XOR; genetic_algorithm; 2; 0.236328125; 0
XOR; genetic_algorithm; 3; 0.236328125; 0
XOR; genetic_algorithm; 4; 0.236328125; 0
XOR; genetic_algorithm; 5; 0.236328125; 0
XOR; genetic_algorithm; 6; 0.236328125; 0
XOR; genetic_algorithm; 7; 0.236328125; 0
XOR; genetic_algorithm; 8; 0.236328125; 0
XOR; genetic_algorithm; 9; 0.236328125; 0
XOR; genetic_algorithm; 10; 0.236328125; 0
XOR; genetic_algorithm; 11; 0.236328125; 0
XOR; genetic_algorithm; 12; 0.236328125; 0
XOR; genetic_algorithm; 13; 0.236328125; 0
XOR; genetic_algorithm; 14; 0.236328125; 0
XOR; genetic_algorithm; 15; 0.236328125; 0
XOR; genetic_algorithm; 16; 0.236328125; 0
XOR; genetic_algorithm; 17; 0.236328125; 0
XOR; genetic_algorithm; 18; 0.236328125; 0
XOR; genetic_algorithm; 19; 0.236328125; 0
XOR; genetic_algorithm; 20; 0.236328125; 0
XOR; genetic_algorithm; 1; 0.236328125; 0
XOR; genetic_algorithm; 1; 0.2373046875; 1
XOR; genetic_algorithm; 2; 0.2373046875; 1
XOR; genetic_algorithm; 3; 0.2373046875; 1
XOR; genetic_algorithm; 4; 0.2373046875; 1
XOR; genetic_algorithm; 5; 0.2373046875; 1
XOR; genetic_algorithm; 6; 0.2373046875; 1
XOR; genetic_algorithm; 7; 0.2373046875; 1
XOR; genetic_algorithm; 8; 0.2373046875; 1
XOR; genetic_algorithm; 9; 0.2373046875; 1
XOR; genetic_algorithm; 10; 0.2373046875; 1
XOR; genetic_algorithm; 11; 0.2373046875; 1
XOR; genetic_algorithm; 12; 0.2373046875; 1
XOR; genetic_algorithm; 13; 0.2373046875; 1
XOR; genetic_algorithm; 14; 0.2373046875; 1
XOR; genetic_algorithm; 15; 0.2373046875; 1
XOR; genetic_algorithm; 16; 0.2373046875; 1
XOR; genetic_algorithm; 17; 0.2373046875; 1
XOR; genetic_algorithm; 18; 0.2373046875; 1
XOR; genetic_algorithm; 19; 0.2373046875; 1
XOR; genetic_algorithm; 20; 0.2373046875; 1
XOR; genetic_algorithm; 1; 0.2373046875; 1
XOR; genetic_algorithm; 1; 0.25; 2
XOR; genetic_algorithm; 2; 0.25; 2
XOR; genetic_algorithm; 3; 0.25; 2
XOR; genetic_algorithm; 4; 0.25; 2
XOR; genetic_algorithm; 5; 0.25; 2
XOR; genetic_algorithm; 6; 0.25; 2
XOR; genetic_algorithm; 7; 0.25; 2
XOR; genetic_algorithm; 8; 0.25; 2
XOR; genetic_algorithm; 9; 0.25; 2
XOR; genetic_algorithm; 10; 0.25; 2
XOR; genetic_algorithm; 11; 0.25; 2
XOR; genetic_algorithm; 12; 0.25; 2
XOR; genetic_algorithm; 13; 0.25; 2
XOR; genetic_algorithm; 14; 0.25; 2
XOR; genetic_algorithm; 15; 0.25; 2
XOR; genetic_algorithm; 16; 0.25; 2
XOR; genetic_algorithm; 17; 0.25; 2
XOR; genetic_algorithm; 18; 0.25; 2
XOR; genetic_algorithm; 19; 0.25; 2
XOR; genetic_algorithm; 20; 0.25; 2
XOR; genetic_algorithm; 1; 0.25; 2
XOR; genetic_algorithm; 21; 0.232421875; 2
XOR; genetic_algorithm; 22; 0.232421875; 2
XOR; genetic_algorithm; 23; 0.232421875; 2
XOR; genetic_algorithm; 24; 0.232421875; 2
XOR; genetic_algorithm; 25; 0.232421875; 2
XOR; genetic_algorithm; 26; 0.232421875; 2
XOR; genetic_algorithm; 27; 0.232421875; 2
XOR; genetic_algorithm; 28; 0.232421875; 2
XOR; genetic_algorithm; 29; 0.232421875; 2
XOR; genetic_algorithm; 30; 0.232421875; 2
XOR; genetic_algorithm; 31; 0.232421875; 2
XOR; genetic_algorithm; 32; 0.232421875; 2
XOR; genetic_algorithm; 33; 0.232421875; 2
XOR; genetic_algorithm; 34; 0.232421875; 2
XOR; genetic_algorithm; 35; 0.232421875; 2
XOR; genetic_algorithm; 36; 0.232421875; 2
XOR; genetic_algorithm; 37; 0.232421875; 2
XOR; genetic_algorithm; 38; 0.232421875; 2
XOR; genetic_algorithm; 39; 0.232421875; 2
XOR; genetic_algorithm; 40; 0.232421875; 2
XOR; genetic_algorithm; 2; 0.232421875; 2
XOR; genetic_algorithm; 1; 0.25; 3
XOR; genetic_algorithm; 2; 0.25; 3
XOR; genetic_algorithm; 3; 0.25; 3
XOR; genetic_algorithm; 4; 0.25; 3
XOR; genetic_algorithm; 5; 0.25; 3
XOR; genetic_algorithm; 6; 0.25; 3
XOR; genetic_algorithm; 7; 0.25; 3
XOR; genetic_algorithm; 8; 0.25; 3
XOR; genetic_algorithm; 9; 0.25; 3
XOR; genetic_algorithm; 10; 0.25; 3
XOR; genetic_algorithm; 11; 0.25; 3
XOR; genetic_algorithm; 12; 0.25; 3
XOR; genetic_algorithm; 13; 0.25; 3
XOR; genetic_algorithm; 14; 0.25; 3
XOR; genetic_algorithm; 15; 0.25; 3
XOR; genetic_algorithm; 16; 0.25; 3
XOR; genetic_algorithm; 17; 0.25; 3
XOR; genetic_algorithm; 18; 0.25; 3
XOR; genetic_algorithm; 19; 0.25; 3
XOR; genetic_algorithm; 20; 0.25; 3
XOR; genetic_algorithm; 1; 0.25; 3
XOR; genetic_algorithm; 21; 0.240234375; 3
XOR; genetic_algorithm; 22; 0.240234375; 3
XOR; genetic_algorithm; 23; 0.240234375; 3
XOR; genetic_algorithm; 24; 0.240234375; 3
XOR; genetic_algorithm; 25; 0.240234375; 3
