Results for amplitude encoding, tolerance=0.25, grid_grain=10
  Training with exhaustive_search method      Parameters: [3.141592653589793, 3.141592653589793, 4.537856055185257] | Error: 0.244140625 | Iterations: 3
       History of errors:
          Iteration 1: Error: 0.2607421875
          Iteration 2: Error: 0.2568359375
          Iteration 3: Error: 0.244140625
  Training with gradient_descent method      Parameters: [3.12269612412934, 4.8076639878746406, 5.70085099029055, 4.9624799383477995] | Error: 0.2353515625 | Iterations: 13
       History of errors:
          Iteration 1: Error: 0.2939453125
          Iteration 2: Error: 0.2939453125
          Iteration 3: Error: 0.2939453125
          Iteration 4: Error: 0.2939453125
          Iteration 5: Error: 0.2939453125
          Iteration 6: Error: 0.2529296875
          Iteration 7: Error: 0.2529296875
          Iteration 8: Error: 0.2529296875
          Iteration 9: Error: 0.2529296875
          Iteration 10: Error: 0.2529296875
          Iteration 11: Error: 0.2529296875
          Iteration 12: Error: 0.2529296875
          Iteration 13: Error: 0.2353515625
  Training with random_search method      Parameters: [5.285107277831861, 1.6945664872490163, 2.4448677565107717, 0.9056859635847907] | Error: 0.2490234375 | Iterations: 5
       History of errors:
          Iteration 1: Error: 0.40234375
          Iteration 2: Error: 0.40234375
          Iteration 3: Error: 0.263671875
          Iteration 4: Error: 0.263671875
          Iteration 5: Error: 0.2490234375
  Training with simulated_annealing method      Parameters: [5.64035277578473, 0.9374416516209498, 5.360380229374234, 0.10182496907623051] | Error: 0.2412109375 | Iterations: 120
       History of errors:
          Iteration 1: Error: 0.3681640625
          Iteration 2: Error: 0.3359375
          Iteration 3: Error: 0.3056640625
          Iteration 4: Error: 0.3056640625
          Iteration 5: Error: 0.30078125
          Iteration 6: Error: 0.30078125
          Iteration 7: Error: 0.30078125
          Iteration 8: Error: 0.30078125
          Iteration 9: Error: 0.30078125
          Iteration 10: Error: 0.30078125
          Iteration 11: Error: 0.30078125
          Iteration 12: Error: 0.30078125
          Iteration 13: Error: 0.30078125
          Iteration 14: Error: 0.30078125
          Iteration 15: Error: 0.30078125
          Iteration 16: Error: 0.30078125
          Iteration 17: Error: 0.30078125
          Iteration 18: Error: 0.30078125
          Iteration 19: Error: 0.30078125
          Iteration 20: Error: 0.30078125
          Iteration 21: Error: 0.30078125
          Iteration 22: Error: 0.30078125
          Iteration 23: Error: 0.30078125
          Iteration 24: Error: 0.30078125
          Iteration 25: Error: 0.30078125
          Iteration 26: Error: 0.30078125
          Iteration 27: Error: 0.30078125
          Iteration 28: Error: 0.30078125
          Iteration 29: Error: 0.30078125
          Iteration 30: Error: 0.30078125
          Iteration 31: Error: 0.30078125
          Iteration 32: Error: 0.30078125
          Iteration 33: Error: 0.30078125
          Iteration 34: Error: 0.30078125
          Iteration 35: Error: 0.30078125
          Iteration 36: Error: 0.2705078125
          Iteration 37: Error: 0.2705078125
          Iteration 38: Error: 0.2705078125
          Iteration 39: Error: 0.2705078125
          Iteration 40: Error: 0.2705078125
          Iteration 41: Error: 0.265625
          Iteration 42: Error: 0.265625
          Iteration 43: Error: 0.265625
          Iteration 44: Error: 0.265625
          Iteration 45: Error: 0.265625
          Iteration 46: Error: 0.265625
          Iteration 47: Error: 0.265625
          Iteration 48: Error: 0.265625
          Iteration 49: Error: 0.265625
          Iteration 50: Error: 0.265625
          Iteration 51: Error: 0.265625
          Iteration 52: Error: 0.265625
          Iteration 53: Error: 0.265625
          Iteration 54: Error: 0.265625
          Iteration 55: Error: 0.265625
          Iteration 56: Error: 0.265625
          Iteration 57: Error: 0.265625
          Iteration 58: Error: 0.265625
          Iteration 59: Error: 0.265625
          Iteration 60: Error: 0.265625
          Iteration 61: Error: 0.265625
          Iteration 62: Error: 0.265625
          Iteration 63: Error: 0.265625
          Iteration 64: Error: 0.265625
          Iteration 65: Error: 0.265625
          Iteration 66: Error: 0.265625
          Iteration 67: Error: 0.265625
          Iteration 68: Error: 0.265625
          Iteration 69: Error: 0.265625
          Iteration 70: Error: 0.265625
          Iteration 71: Error: 0.265625
          Iteration 72: Error: 0.265625
          Iteration 73: Error: 0.265625
          Iteration 74: Error: 0.265625
          Iteration 75: Error: 0.265625
          Iteration 76: Error: 0.265625
          Iteration 77: Error: 0.265625
