Logic Gate; Method; Iteration; Error; Run
NOR; genetic_algorithm; 1; 0.3525390625; 0
NOR; genetic_algorithm; 2; 0.3525390625; 0
NOR; genetic_algorithm; 3; 0.3525390625; 0
NOR; genetic_algorithm; 4; 0.3525390625; 0
NOR; genetic_algorithm; 5; 0.3525390625; 0
NOR; genetic_algorithm; 6; 0.3525390625; 0
NOR; genetic_algorithm; 7; 0.3525390625; 0
NOR; genetic_algorithm; 8; 0.3525390625; 0
NOR; genetic_algorithm; 9; 0.3525390625; 0
NOR; genetic_algorithm; 10; 0.3525390625; 0
NOR; genetic_algorithm; 1; 0.33154296875; 1
NOR; genetic_algorithm; 2; 0.33154296875; 1
NOR; genetic_algorithm; 3; 0.33154296875; 1
NOR; genetic_algorithm; 4; 0.33154296875; 1
NOR; genetic_algorithm; 5; 0.33154296875; 1
NOR; genetic_algorithm; 6; 0.33154296875; 1
NOR; genetic_algorithm; 7; 0.33154296875; 1
NOR; genetic_algorithm; 8; 0.33154296875; 1
NOR; genetic_algorithm; 9; 0.33154296875; 1
NOR; genetic_algorithm; 10; 0.33154296875; 1
NOR; genetic_algorithm; 1; 0.427001953125; 2
NOR; genetic_algorithm; 2; 0.427001953125; 2
NOR; genetic_algorithm; 3; 0.427001953125; 2
NOR; genetic_algorithm; 4; 0.427001953125; 2
NOR; genetic_algorithm; 5; 0.427001953125; 2
NOR; genetic_algorithm; 6; 0.427001953125; 2
NOR; genetic_algorithm; 7; 0.427001953125; 2
NOR; genetic_algorithm; 8; 0.427001953125; 2
NOR; genetic_algorithm; 9; 0.427001953125; 2
NOR; genetic_algorithm; 10; 0.427001953125; 2
NOR; genetic_algorithm; 1; 0.299560546875; 3
NOR; genetic_algorithm; 2; 0.299560546875; 3
NOR; genetic_algorithm; 3; 0.299560546875; 3
NOR; genetic_algorithm; 4; 0.299560546875; 3
NOR; genetic_algorithm; 5; 0.299560546875; 3
NOR; genetic_algorithm; 6; 0.299560546875; 3
NOR; genetic_algorithm; 7; 0.299560546875; 3
NOR; genetic_algorithm; 8; 0.299560546875; 3
NOR; genetic_algorithm; 9; 0.299560546875; 3
NOR; genetic_algorithm; 10; 0.299560546875; 3
NOR; genetic_algorithm; 1; 0.335205078125; 4
NOR; genetic_algorithm; 2; 0.335205078125; 4
NOR; genetic_algorithm; 3; 0.335205078125; 4
NOR; genetic_algorithm; 4; 0.335205078125; 4
NOR; genetic_algorithm; 5; 0.335205078125; 4
NOR; genetic_algorithm; 6; 0.335205078125; 4
NOR; genetic_algorithm; 7; 0.335205078125; 4
NOR; genetic_algorithm; 8; 0.335205078125; 4
NOR; genetic_algorithm; 9; 0.335205078125; 4
NOR; genetic_algorithm; 10; 0.335205078125; 4
NOR; genetic_algorithm; 1; 0.26123046875; 5
NOR; genetic_algorithm; 2; 0.26123046875; 5
NOR; genetic_algorithm; 3; 0.26123046875; 5
NOR; genetic_algorithm; 4; 0.26123046875; 5
NOR; genetic_algorithm; 5; 0.26123046875; 5
NOR; genetic_algorithm; 6; 0.26123046875; 5
NOR; genetic_algorithm; 7; 0.26123046875; 5
NOR; genetic_algorithm; 8; 0.26123046875; 5
NOR; genetic_algorithm; 9; 0.26123046875; 5
NOR; genetic_algorithm; 10; 0.26123046875; 5
NOR; genetic_algorithm; 1; 0.353271484375; 6
NOR; genetic_algorithm; 2; 0.353271484375; 6
NOR; genetic_algorithm; 3; 0.353271484375; 6
NOR; genetic_algorithm; 4; 0.353271484375; 6
NOR; genetic_algorithm; 5; 0.353271484375; 6
NOR; genetic_algorithm; 6; 0.353271484375; 6
NOR; genetic_algorithm; 7; 0.353271484375; 6
NOR; genetic_algorithm; 8; 0.353271484375; 6
NOR; genetic_algorithm; 9; 0.353271484375; 6
NOR; genetic_algorithm; 10; 0.353271484375; 6
NOR; genetic_algorithm; 1; 0.335205078125; 7
NOR; genetic_algorithm; 2; 0.335205078125; 7
NOR; genetic_algorithm; 3; 0.335205078125; 7
NOR; genetic_algorithm; 4; 0.335205078125; 7
NOR; genetic_algorithm; 5; 0.335205078125; 7
NOR; genetic_algorithm; 6; 0.335205078125; 7
NOR; genetic_algorithm; 7; 0.335205078125; 7
NOR; genetic_algorithm; 8; 0.335205078125; 7
NOR; genetic_algorithm; 9; 0.335205078125; 7
NOR; genetic_algorithm; 10; 0.335205078125; 7
NOR; genetic_algorithm; 1; 0.1826171875; 8
NOR; genetic_algorithm; 2; 0.1826171875; 8
NOR; genetic_algorithm; 3; 0.1826171875; 8
NOR; genetic_algorithm; 4; 0.1826171875; 8
NOR; genetic_algorithm; 5; 0.1826171875; 8
NOR; genetic_algorithm; 6; 0.1826171875; 8
NOR; genetic_algorithm; 7; 0.1826171875; 8
NOR; genetic_algorithm; 8; 0.1826171875; 8
NOR; genetic_algorithm; 9; 0.1826171875; 8
NOR; genetic_algorithm; 10; 0.1826171875; 8
NOR; genetic_algorithm; 1; 0.382080078125; 9
NOR; genetic_algorithm; 2; 0.382080078125; 9
NOR; genetic_algorithm; 3; 0.382080078125; 9
NOR; genetic_algorithm; 4; 0.382080078125; 9
NOR; genetic_algorithm; 5; 0.382080078125; 9
NOR; genetic_algorithm; 6; 0.382080078125; 9
NOR; genetic_algorithm; 7; 0.382080078125; 9
NOR; genetic_algorithm; 8; 0.382080078125; 9
NOR; genetic_algorithm; 9; 0.382080078125; 9
NOR; genetic_algorithm; 10; 0.382080078125; 9
