Logic Gate; Method; Iteration; Error; Run
NOR; gradient_descent; 1; 0.430908203125; 0
NOR; gradient_descent; 2; 0.430908203125; 0
NOR; gradient_descent; 3; 0.403564453125; 0
NOR; gradient_descent; 4; 0.403564453125; 0
NOR; gradient_descent; 5; 0.403564453125; 0
NOR; gradient_descent; 6; 0.403564453125; 0
NOR; gradient_descent; 7; 0.403564453125; 0
NOR; gradient_descent; 8; 0.403564453125; 0
NOR; gradient_descent; 9; 0.403564453125; 0
NOR; gradient_descent; 10; 0.403564453125; 0
NOR; gradient_descent; 11; 0.403564453125; 0
NOR; gradient_descent; 12; 0.35498046875; 0
NOR; gradient_descent; 13; 0.343994140625; 0
NOR; gradient_descent; 14; 0.343994140625; 0
NOR; gradient_descent; 15; 0.343994140625; 0
NOR; gradient_descent; 16; 0.343994140625; 0
NOR; gradient_descent; 17; 0.343994140625; 0
NOR; gradient_descent; 18; 0.343994140625; 0
NOR; gradient_descent; 19; 0.343994140625; 0
NOR; gradient_descent; 20; 0.343994140625; 0
NOR; gradient_descent; 21; 0.343994140625; 0
NOR; gradient_descent; 22; 0.318115234375; 0
NOR; gradient_descent; 23; 0.318115234375; 0
NOR; gradient_descent; 24; 0.318115234375; 0
NOR; gradient_descent; 25; 0.318115234375; 0
NOR; gradient_descent; 26; 0.22900390625; 0
NOR; gradient_descent; 1; 0.48388671875; 1
NOR; gradient_descent; 2; 0.46044921875; 1
NOR; gradient_descent; 3; 0.46044921875; 1
NOR; gradient_descent; 4; 0.46044921875; 1
NOR; gradient_descent; 5; 0.46044921875; 1
NOR; gradient_descent; 6; 0.447998046875; 1
NOR; gradient_descent; 7; 0.303955078125; 1
NOR; gradient_descent; 8; 0.19677734375; 1
NOR; gradient_descent; 1; 0.50146484375; 2
NOR; gradient_descent; 2; 0.50146484375; 2
NOR; gradient_descent; 3; 0.50146484375; 2
NOR; gradient_descent; 4; 0.50146484375; 2
NOR; gradient_descent; 5; 0.50146484375; 2
NOR; gradient_descent; 6; 0.50146484375; 2
NOR; gradient_descent; 7; 0.50146484375; 2
NOR; gradient_descent; 8; 0.50146484375; 2
NOR; gradient_descent; 9; 0.50146484375; 2
NOR; gradient_descent; 10; 0.50146484375; 2
NOR; gradient_descent; 11; 0.50146484375; 2
NOR; gradient_descent; 12; 0.50146484375; 2
NOR; gradient_descent; 13; 0.50146484375; 2
NOR; gradient_descent; 14; 0.50146484375; 2
NOR; gradient_descent; 15; 0.50146484375; 2
NOR; gradient_descent; 16; 0.50146484375; 2
NOR; gradient_descent; 17; 0.45458984375; 2
NOR; gradient_descent; 18; 0.45458984375; 2
NOR; gradient_descent; 19; 0.45458984375; 2
NOR; gradient_descent; 20; 0.45458984375; 2
NOR; gradient_descent; 21; 0.45458984375; 2
NOR; gradient_descent; 22; 0.45458984375; 2
NOR; gradient_descent; 23; 0.45458984375; 2
NOR; gradient_descent; 24; 0.45458984375; 2
NOR; gradient_descent; 25; 0.45458984375; 2
NOR; gradient_descent; 26; 0.45458984375; 2
NOR; gradient_descent; 27; 0.45458984375; 2
NOR; gradient_descent; 28; 0.45458984375; 2
NOR; gradient_descent; 29; 0.45458984375; 2
NOR; gradient_descent; 30; 0.45458984375; 2
NOR; gradient_descent; 31; 0.45458984375; 2
NOR; gradient_descent; 32; 0.45458984375; 2
NOR; gradient_descent; 33; 0.45458984375; 2
NOR; gradient_descent; 34; 0.45458984375; 2
NOR; gradient_descent; 35; 0.45458984375; 2
NOR; gradient_descent; 36; 0.45458984375; 2
NOR; gradient_descent; 37; 0.45458984375; 2
NOR; gradient_descent; 38; 0.45458984375; 2
NOR; gradient_descent; 39; 0.45458984375; 2
NOR; gradient_descent; 40; 0.45458984375; 2
NOR; gradient_descent; 41; 0.45458984375; 2
NOR; gradient_descent; 42; 0.45458984375; 2
NOR; gradient_descent; 43; 0.3896484375; 2
NOR; gradient_descent; 44; 0.3896484375; 2
NOR; gradient_descent; 45; 0.3896484375; 2
NOR; gradient_descent; 46; 0.3896484375; 2
NOR; gradient_descent; 47; 0.3896484375; 2
NOR; gradient_descent; 48; 0.3896484375; 2
NOR; gradient_descent; 49; 0.3896484375; 2
NOR; gradient_descent; 50; 0.3896484375; 2
NOR; gradient_descent; 51; 0.3896484375; 2
NOR; gradient_descent; 52; 0.3896484375; 2
NOR; gradient_descent; 53; 0.3896484375; 2
NOR; gradient_descent; 54; 0.3896484375; 2
NOR; gradient_descent; 55; 0.3896484375; 2
