Logic Gate; Method; Iteration; Error; Run
OR; random_search; 1; 0.43994140625; 0
OR; random_search; 2; 0.43994140625; 0
OR; random_search; 3; 0.43994140625; 0
OR; random_search; 4; 0.423095703125; 0
OR; random_search; 5; 0.423095703125; 0
OR; random_search; 6; 0.423095703125; 0
OR; random_search; 7; 0.423095703125; 0
OR; random_search; 8; 0.423095703125; 0
OR; random_search; 9; 0.423095703125; 0
OR; random_search; 10; 0.37353515625; 0
OR; random_search; 11; 0.37353515625; 0
OR; random_search; 12; 0.37353515625; 0
OR; random_search; 13; 0.37353515625; 0
OR; random_search; 14; 0.37353515625; 0
OR; random_search; 15; 0.37353515625; 0
OR; random_search; 16; 0.37353515625; 0
OR; random_search; 17; 0.37353515625; 0
OR; random_search; 18; 0.37353515625; 0
OR; random_search; 19; 0.37353515625; 0
OR; random_search; 20; 0.37353515625; 0
OR; random_search; 21; 0.37353515625; 0
OR; random_search; 22; 0.37353515625; 0
OR; random_search; 23; 0.361572265625; 0
OR; random_search; 24; 0.361572265625; 0
OR; random_search; 25; 0.2685546875; 0
OR; random_search; 26; 0.2685546875; 0
OR; random_search; 27; 0.2685546875; 0
OR; random_search; 28; 0.2685546875; 0
OR; random_search; 29; 0.2685546875; 0
OR; random_search; 30; 0.2685546875; 0
OR; random_search; 31; 0.2685546875; 0
OR; random_search; 32; 0.2685546875; 0
OR; random_search; 33; 0.2685546875; 0
OR; random_search; 34; 0.2685546875; 0
OR; random_search; 35; 0.2685546875; 0
OR; random_search; 36; 0.2685546875; 0
OR; random_search; 37; 0.2685546875; 0
OR; random_search; 38; 0.2685546875; 0
OR; random_search; 39; 0.2685546875; 0
OR; random_search; 40; 0.2685546875; 0
OR; random_search; 41; 0.2685546875; 0
OR; random_search; 42; 0.2685546875; 0
OR; random_search; 43; 0.2685546875; 0
OR; random_search; 44; 0.2685546875; 0
OR; random_search; 45; 0.2685546875; 0
OR; random_search; 46; 0.2685546875; 0
OR; random_search; 47; 0.2685546875; 0
OR; random_search; 48; 0.2685546875; 0
OR; random_search; 49; 0.2685546875; 0
OR; random_search; 50; 0.2685546875; 0
OR; random_search; 51; 0.2685546875; 0
OR; random_search; 52; 0.2685546875; 0
OR; random_search; 53; 0.2685546875; 0
OR; random_search; 54; 0.2685546875; 0
OR; random_search; 55; 0.2685546875; 0
OR; random_search; 56; 0.2685546875; 0
OR; random_search; 57; 0.2685546875; 0
OR; random_search; 58; 0.2685546875; 0
OR; random_search; 59; 0.20947265625; 0
OR; random_search; 1; 0.669189453125; 1
OR; random_search; 2; 0.25; 1
OR; random_search; 3; 0.25; 1
OR; random_search; 4; 0.25; 1
OR; random_search; 5; 0.25; 1
OR; random_search; 6; 0.25; 1
OR; random_search; 7; 0.25; 1
OR; random_search; 8; 0.25; 1
OR; random_search; 9; 0.25; 1
OR; random_search; 10; 0.25; 1
OR; random_search; 11; 0.25; 1
OR; random_search; 12; 0.25; 1
OR; random_search; 13; 0.25; 1
OR; random_search; 14; 0.25; 1
OR; random_search; 15; 0.25; 1
OR; random_search; 16; 0.25; 1
OR; random_search; 17; 0.25; 1
OR; random_search; 18; 0.25; 1
OR; random_search; 19; 0.223876953125; 1
OR; random_search; 1; 0.171875; 2
OR; random_search; 1; 0.645263671875; 3
OR; random_search; 2; 0.47802734375; 3
OR; random_search; 3; 0.47802734375; 3
OR; random_search; 4; 0.47802734375; 3
OR; random_search; 5; 0.47802734375; 3
OR; random_search; 6; 0.47802734375; 3
OR; random_search; 7; 0.420654296875; 3
OR; random_search; 8; 0.420654296875; 3
OR; random_search; 9; 0.420654296875; 3
OR; random_search; 10; 0.420654296875; 3
OR; random_search; 11; 0.38720703125; 3
OR; random_search; 12; 0.38720703125; 3
OR; random_search; 13; 0.38720703125; 3
OR; random_search; 14; 0.38720703125; 3
OR; random_search; 15; 0.38720703125; 3
OR; random_search; 16; 0.38720703125; 3
OR; random_search; 17; 0.38720703125; 3
OR; random_search; 18; 0.38720703125; 3
OR; random_search; 19; 0.38720703125; 3
OR; random_search; 20; 0.38720703125; 3
OR; random_search; 21; 0.38720703125; 3
OR; random_search; 22; 0.38720703125; 3
OR; random_search; 23; 0.38720703125; 3
OR; random_search; 24; 0.330810546875; 3
OR; random_search; 25; 0.330810546875; 3
OR; random_search; 26; 0.330810546875; 3
OR; random_search; 27; 0.330810546875; 3
OR; random_search; 28; 0.31640625; 3
OR; random_search; 29; 0.306640625; 3
OR; random_search; 30; 0.306640625; 3
OR; random_search; 31; 0.268310546875; 3
OR; random_search; 32; 0.268310546875; 3
OR; random_search; 33; 0.268310546875; 3
OR; random_search; 34; 0.268310546875; 3
OR; random_search; 35; 0.246337890625; 3
OR; random_search; 1; 0.53173828125; 4
OR; random_search; 2; 0.44189453125; 4
OR; random_search; 3; 0.44189453125; 4
OR; random_search; 4; 0.44189453125; 4
OR; random_search; 5; 0.44189453125; 4
OR; random_search; 6; 0.44189453125; 4
OR; random_search; 7; 0.436279296875; 4
OR; random_search; 8; 0.436279296875; 4
OR; random_search; 9; 0.436279296875; 4
OR; random_search; 10; 0.36328125; 4
OR; random_search; 11; 0.34521484375; 4
OR; random_search; 12; 0.26318359375; 4
OR; random_search; 13; 0.26318359375; 4
OR; random_search; 14; 0.26318359375; 4
OR; random_search; 15; 0.26318359375; 4
OR; random_search; 16; 0.26318359375; 4
OR; random_search; 17; 0.26318359375; 4
OR; random_search; 18; 0.26318359375; 4
OR; random_search; 19; 0.26318359375; 4
OR; random_search; 20; 0.26318359375; 4
OR; random_search; 21; 0.240966796875; 4
OR; random_search; 1; 0.765869140625; 5
