Logic Gate; Method; Iteration; Error; Run
OR; random_search; 1; 0.479736328125; 0
OR; random_search; 2; 0.479736328125; 0
OR; random_search; 3; 0.479736328125; 0
OR; random_search; 4; 0.414306640625; 0
OR; random_search; 5; 0.414306640625; 0
OR; random_search; 6; 0.414306640625; 0
OR; random_search; 7; 0.414306640625; 0
OR; random_search; 8; 0.414306640625; 0
OR; random_search; 9; 0.414306640625; 0
OR; random_search; 10; 0.414306640625; 0
OR; random_search; 11; 0.414306640625; 0
OR; random_search; 12; 0.414306640625; 0
OR; random_search; 13; 0.414306640625; 0
OR; random_search; 14; 0.414306640625; 0
OR; random_search; 15; 0.414306640625; 0
OR; random_search; 16; 0.246337890625; 0
OR; random_search; 1; 0.50146484375; 1
OR; random_search; 2; 0.50146484375; 1
OR; random_search; 3; 0.50146484375; 1
OR; random_search; 4; 0.387939453125; 1
OR; random_search; 5; 0.387939453125; 1
OR; random_search; 6; 0.387939453125; 1
OR; random_search; 7; 0.387939453125; 1
OR; random_search; 8; 0.387939453125; 1
OR; random_search; 9; 0.387939453125; 1
OR; random_search; 10; 0.387939453125; 1
OR; random_search; 11; 0.387939453125; 1
OR; random_search; 12; 0.387939453125; 1
OR; random_search; 13; 0.387939453125; 1
OR; random_search; 14; 0.387939453125; 1
OR; random_search; 15; 0.387939453125; 1
OR; random_search; 16; 0.387939453125; 1
OR; random_search; 17; 0.387939453125; 1
OR; random_search; 18; 0.387939453125; 1
OR; random_search; 19; 0.387939453125; 1
OR; random_search; 20; 0.387939453125; 1
OR; random_search; 21; 0.387939453125; 1
OR; random_search; 22; 0.387939453125; 1
OR; random_search; 23; 0.387939453125; 1
OR; random_search; 24; 0.387939453125; 1
OR; random_search; 25; 0.387939453125; 1
OR; random_search; 26; 0.387939453125; 1
OR; random_search; 27; 0.387939453125; 1
OR; random_search; 28; 0.387939453125; 1
OR; random_search; 29; 0.387939453125; 1
OR; random_search; 30; 0.387939453125; 1
OR; random_search; 31; 0.387939453125; 1
OR; random_search; 32; 0.387939453125; 1
OR; random_search; 33; 0.387939453125; 1
OR; random_search; 34; 0.320068359375; 1
OR; random_search; 35; 0.238525390625; 1
OR; random_search; 1; 0.46484375; 2
OR; random_search; 2; 0.46484375; 2
OR; random_search; 3; 0.46484375; 2
OR; random_search; 4; 0.46484375; 2
OR; random_search; 5; 0.305908203125; 2
OR; random_search; 6; 0.305908203125; 2
OR; random_search; 7; 0.305908203125; 2
OR; random_search; 8; 0.305908203125; 2
OR; random_search; 9; 0.305908203125; 2
OR; random_search; 10; 0.305908203125; 2
OR; random_search; 11; 0.305908203125; 2
OR; random_search; 12; 0.305908203125; 2
