Logic Gate; Method; Iteration; Error; Run
OR; random_search; 1; 0.509033203125; 0
OR; random_search; 2; 0.4931640625; 0
OR; random_search; 3; 0.426025390625; 0
OR; random_search; 4; 0.426025390625; 0
OR; random_search; 5; 0.426025390625; 0
OR; random_search; 6; 0.426025390625; 0
OR; random_search; 7; 0.426025390625; 0
OR; random_search; 8; 0.426025390625; 0
OR; random_search; 9; 0.426025390625; 0
OR; random_search; 10; 0.426025390625; 0
OR; random_search; 11; 0.426025390625; 0
OR; random_search; 12; 0.23681640625; 0
OR; random_search; 1; 0.45654296875; 1
OR; random_search; 2; 0.45654296875; 1
OR; random_search; 3; 0.45654296875; 1
OR; random_search; 4; 0.45654296875; 1
OR; random_search; 5; 0.45654296875; 1
OR; random_search; 6; 0.45654296875; 1
OR; random_search; 7; 0.21923828125; 1
OR; random_search; 1; 0.7060546875; 2
OR; random_search; 2; 0.305419921875; 2
OR; random_search; 3; 0.305419921875; 2
OR; random_search; 4; 0.305419921875; 2
OR; random_search; 5; 0.305419921875; 2
OR; random_search; 6; 0.305419921875; 2
OR; random_search; 7; 0.305419921875; 2
OR; random_search; 8; 0.305419921875; 2
OR; random_search; 9; 0.305419921875; 2
OR; random_search; 10; 0.305419921875; 2
OR; random_search; 11; 0.305419921875; 2
OR; random_search; 12; 0.30517578125; 2
OR; random_search; 13; 0.30517578125; 2
OR; random_search; 14; 0.30517578125; 2
OR; random_search; 15; 0.30517578125; 2
OR; random_search; 16; 0.30517578125; 2
OR; random_search; 17; 0.30517578125; 2
OR; random_search; 18; 0.30517578125; 2
OR; random_search; 19; 0.30517578125; 2
OR; random_search; 20; 0.30517578125; 2
OR; random_search; 21; 0.201904296875; 2
OR; random_search; 1; 0.508056640625; 3
OR; random_search; 2; 0.458984375; 3
OR; random_search; 3; 0.458984375; 3
OR; random_search; 4; 0.458984375; 3
OR; random_search; 5; 0.458984375; 3
OR; random_search; 6; 0.458984375; 3
OR; random_search; 7; 0.27880859375; 3
OR; random_search; 8; 0.27880859375; 3
OR; random_search; 9; 0.27880859375; 3
OR; random_search; 10; 0.27880859375; 3
OR; random_search; 11; 0.27880859375; 3
OR; random_search; 12; 0.27880859375; 3
OR; random_search; 13; 0.27880859375; 3
OR; random_search; 14; 0.27880859375; 3
OR; random_search; 15; 0.27880859375; 3
OR; random_search; 16; 0.27880859375; 3
OR; random_search; 17; 0.27880859375; 3
OR; random_search; 18; 0.27880859375; 3
OR; random_search; 19; 0.27880859375; 3
OR; random_search; 20; 0.27880859375; 3
OR; random_search; 21; 0.27880859375; 3
OR; random_search; 22; 0.27880859375; 3
OR; random_search; 23; 0.27880859375; 3
OR; random_search; 24; 0.27880859375; 3
OR; random_search; 25; 0.27880859375; 3
OR; random_search; 26; 0.27880859375; 3
OR; random_search; 27; 0.27880859375; 3
OR; random_search; 28; 0.27880859375; 3
OR; random_search; 29; 0.27880859375; 3
OR; random_search; 30; 0.27880859375; 3
