Results for phase encoding, tolerance=0.25, grid_grain=10
  Training with exaustive_search method      Error: 0.187255859375 | Iterations: 75
       History of errors:
          Iteration 1: Error: 0.506103515625
          Iteration 2: Error: 0.506103515625
          Iteration 3: Error: 0.506103515625
          Iteration 4: Error: 0.287353515625
          Iteration 5: Error: 0.287353515625
          Iteration 6: Error: 0.287353515625
          Iteration 7: Error: 0.287353515625
          Iteration 8: Error: 0.287353515625
          Iteration 9: Error: 0.254150390625
          Iteration 10: Error: 0.254150390625
          Iteration 11: Error: 0.254150390625
          Iteration 12: Error: 0.254150390625
          Iteration 13: Error: 0.254150390625
          Iteration 14: Error: 0.254150390625
          Iteration 15: Error: 0.254150390625
          Iteration 16: Error: 0.254150390625
          Iteration 17: Error: 0.254150390625
          Iteration 18: Error: 0.254150390625
          Iteration 19: Error: 0.254150390625
          Iteration 20: Error: 0.254150390625
          Iteration 21: Error: 0.254150390625
          Iteration 22: Error: 0.254150390625
          Iteration 23: Error: 0.254150390625
          Iteration 24: Error: 0.254150390625
          Iteration 25: Error: 0.254150390625
          Iteration 26: Error: 0.254150390625
          Iteration 27: Error: 0.254150390625
          Iteration 28: Error: 0.254150390625
          Iteration 29: Error: 0.254150390625
          Iteration 30: Error: 0.254150390625
          Iteration 31: Error: 0.254150390625
          Iteration 32: Error: 0.254150390625
          Iteration 33: Error: 0.254150390625
          Iteration 34: Error: 0.254150390625
          Iteration 35: Error: 0.254150390625
          Iteration 36: Error: 0.254150390625
          Iteration 37: Error: 0.254150390625
          Iteration 38: Error: 0.254150390625
          Iteration 39: Error: 0.254150390625
          Iteration 40: Error: 0.254150390625
          Iteration 41: Error: 0.254150390625
          Iteration 42: Error: 0.254150390625
          Iteration 43: Error: 0.254150390625
          Iteration 44: Error: 0.254150390625
          Iteration 45: Error: 0.254150390625
          Iteration 46: Error: 0.254150390625
          Iteration 47: Error: 0.254150390625
          Iteration 48: Error: 0.254150390625
          Iteration 49: Error: 0.254150390625
          Iteration 50: Error: 0.254150390625
          Iteration 51: Error: 0.254150390625
          Iteration 52: Error: 0.254150390625
          Iteration 53: Error: 0.254150390625
          Iteration 54: Error: 0.254150390625
          Iteration 55: Error: 0.254150390625
          Iteration 56: Error: 0.254150390625
          Iteration 57: Error: 0.254150390625
          Iteration 58: Error: 0.254150390625
          Iteration 59: Error: 0.254150390625
          Iteration 60: Error: 0.254150390625
          Iteration 61: Error: 0.254150390625
          Iteration 62: Error: 0.254150390625
          Iteration 63: Error: 0.254150390625
          Iteration 64: Error: 0.254150390625
          Iteration 65: Error: 0.254150390625
          Iteration 66: Error: 0.254150390625
          Iteration 67: Error: 0.254150390625
          Iteration 68: Error: 0.254150390625
          Iteration 69: Error: 0.254150390625
          Iteration 70: Error: 0.254150390625
          Iteration 71: Error: 0.254150390625
          Iteration 72: Error: 0.254150390625
          Iteration 73: Error: 0.254150390625
          Iteration 74: Error: 0.254150390625
          Iteration 75: Error: 0.187255859375
  Training with gradient_descent method      Error: 0.17529296875 | Iterations: 39
       History of errors:
          Iteration 1: Error: 0.487060546875
          Iteration 2: Error: 0.487060546875
          Iteration 3: Error: 0.487060546875
          Iteration 4: Error: 0.487060546875
          Iteration 5: Error: 0.48681640625
          Iteration 6: Error: 0.43408203125
          Iteration 7: Error: 0.43408203125
          Iteration 8: Error: 0.43408203125
          Iteration 9: Error: 0.43408203125
          Iteration 10: Error: 0.43408203125
          Iteration 11: Error: 0.43408203125
          Iteration 12: Error: 0.295166015625
          Iteration 13: Error: 0.295166015625
          Iteration 14: Error: 0.295166015625
          Iteration 15: Error: 0.295166015625
          Iteration 16: Error: 0.295166015625
          Iteration 17: Error: 0.295166015625
          Iteration 18: Error: 0.295166015625
          Iteration 19: Error: 0.295166015625
          Iteration 20: Error: 0.295166015625
          Iteration 21: Error: 0.295166015625
          Iteration 22: Error: 0.295166015625
          Iteration 23: Error: 0.295166015625
          Iteration 24: Error: 0.295166015625
          Iteration 25: Error: 0.295166015625
          Iteration 26: Error: 0.295166015625
          Iteration 27: Error: 0.295166015625
          Iteration 28: Error: 0.295166015625
          Iteration 29: Error: 0.295166015625
          Iteration 30: Error: 0.28857421875
          Iteration 31: Error: 0.280517578125
          Iteration 32: Error: 0.280517578125
          Iteration 33: Error: 0.280517578125
          Iteration 34: Error: 0.280517578125
          Iteration 35: Error: 0.257080078125
          Iteration 36: Error: 0.257080078125
          Iteration 37: Error: 0.257080078125
          Iteration 38: Error: 0.255615234375
          Iteration 39: Error: 0.17529296875
  Training with random_search method      Error: 0.247802734375 | Iterations: 88
       History of errors:
          Iteration 1: Error: 0.47412109375
          Iteration 2: Error: 0.47412109375
          Iteration 3: Error: 0.47412109375
          Iteration 4: Error: 0.38330078125
          Iteration 5: Error: 0.38330078125
          Iteration 6: Error: 0.38330078125
          Iteration 7: Error: 0.38330078125
          Iteration 8: Error: 0.38330078125
          Iteration 9: Error: 0.38330078125
          Iteration 10: Error: 0.38330078125
          Iteration 11: Error: 0.38330078125
          Iteration 12: Error: 0.38330078125
          Iteration 13: Error: 0.38330078125
          Iteration 14: Error: 0.38330078125
          Iteration 15: Error: 0.38330078125
          Iteration 16: Error: 0.38330078125
          Iteration 17: Error: 0.262451171875
          Iteration 18: Error: 0.262451171875
          Iteration 19: Error: 0.262451171875
          Iteration 20: Error: 0.262451171875
          Iteration 21: Error: 0.262451171875
          Iteration 22: Error: 0.262451171875
          Iteration 23: Error: 0.262451171875
          Iteration 24: Error: 0.262451171875
          Iteration 25: Error: 0.262451171875
          Iteration 26: Error: 0.262451171875
          Iteration 27: Error: 0.262451171875
          Iteration 28: Error: 0.262451171875
          Iteration 29: Error: 0.262451171875
          Iteration 30: Error: 0.262451171875
          Iteration 31: Error: 0.262451171875
          Iteration 32: Error: 0.262451171875
          Iteration 33: Error: 0.262451171875
          Iteration 34: Error: 0.262451171875
          Iteration 35: Error: 0.262451171875
          Iteration 36: Error: 0.262451171875
          Iteration 37: Error: 0.262451171875
          Iteration 38: Error: 0.262451171875
          Iteration 39: Error: 0.262451171875
          Iteration 40: Error: 0.262451171875
          Iteration 41: Error: 0.262451171875
          Iteration 42: Error: 0.262451171875
          Iteration 43: Error: 0.262451171875
          Iteration 44: Error: 0.262451171875
          Iteration 45: Error: 0.262451171875
          Iteration 46: Error: 0.262451171875
          Iteration 47: Error: 0.262451171875
          Iteration 48: Error: 0.262451171875
          Iteration 49: Error: 0.262451171875
          Iteration 50: Error: 0.262451171875
          Iteration 51: Error: 0.262451171875
          Iteration 52: Error: 0.262451171875
          Iteration 53: Error: 0.262451171875
          Iteration 54: Error: 0.262451171875
          Iteration 55: Error: 0.262451171875
          Iteration 56: Error: 0.262451171875
          Iteration 57: Error: 0.262451171875
          Iteration 58: Error: 0.262451171875
          Iteration 59: Error: 0.262451171875
          Iteration 60: Error: 0.262451171875
          Iteration 61: Error: 0.262451171875
          Iteration 62: Error: 0.262451171875
          Iteration 63: Error: 0.262451171875
          Iteration 64: Error: 0.262451171875
          Iteration 65: Error: 0.262451171875
          Iteration 66: Error: 0.262451171875
          Iteration 67: Error: 0.262451171875
          Iteration 68: Error: 0.262451171875
          Iteration 69: Error: 0.262451171875
          Iteration 70: Error: 0.262451171875
          Iteration 71: Error: 0.262451171875
          Iteration 72: Error: 0.262451171875
          Iteration 73: Error: 0.262451171875
          Iteration 74: Error: 0.262451171875
          Iteration 75: Error: 0.262451171875
          Iteration 76: Error: 0.262451171875
          Iteration 77: Error: 0.262451171875
          Iteration 78: Error: 0.262451171875
          Iteration 79: Error: 0.262451171875
          Iteration 80: Error: 0.262451171875
          Iteration 81: Error: 0.262451171875
          Iteration 82: Error: 0.262451171875
          Iteration 83: Error: 0.262451171875
          Iteration 84: Error: 0.262451171875
          Iteration 85: Error: 0.262451171875
          Iteration 86: Error: 0.262451171875
          Iteration 87: Error: 0.262451171875
          Iteration 88: Error: 0.247802734375
  Training with simulated_annealing method      Error: 0.241455078125 | Iterations: 71
       History of errors:
          Iteration 1: Error: 0.588134765625
          Iteration 2: Error: 0.556640625
          Iteration 3: Error: 0.556640625
          Iteration 4: Error: 0.540771484375
          Iteration 5: Error: 0.540771484375
          Iteration 6: Error: 0.540771484375
          Iteration 7: Error: 0.52783203125
          Iteration 8: Error: 0.52783203125
          Iteration 9: Error: 0.52783203125
          Iteration 10: Error: 0.52783203125
          Iteration 11: Error: 0.52783203125
          Iteration 12: Error: 0.52783203125
          Iteration 13: Error: 0.52783203125
          Iteration 14: Error: 0.52783203125
          Iteration 15: Error: 0.52783203125
          Iteration 16: Error: 0.52783203125
          Iteration 17: Error: 0.48193359375
          Iteration 18: Error: 0.48193359375
          Iteration 19: Error: 0.48193359375
          Iteration 20: Error: 0.48193359375
          Iteration 21: Error: 0.48193359375
          Iteration 22: Error: 0.48193359375
          Iteration 23: Error: 0.48193359375
          Iteration 24: Error: 0.48193359375
          Iteration 25: Error: 0.48193359375
          Iteration 26: Error: 0.48193359375
          Iteration 27: Error: 0.48193359375
          Iteration 28: Error: 0.48193359375
          Iteration 29: Error: 0.48193359375
          Iteration 30: Error: 0.48193359375
          Iteration 31: Error: 0.48193359375
          Iteration 32: Error: 0.48193359375
          Iteration 33: Error: 0.48193359375
          Iteration 34: Error: 0.48193359375
          Iteration 35: Error: 0.45556640625
          Iteration 36: Error: 0.45556640625
          Iteration 37: Error: 0.45556640625
          Iteration 38: Error: 0.453369140625
          Iteration 39: Error: 0.418212890625
          Iteration 40: Error: 0.418212890625
          Iteration 41: Error: 0.392822265625
          Iteration 42: Error: 0.392822265625
          Iteration 43: Error: 0.392822265625
          Iteration 44: Error: 0.32470703125
          Iteration 45: Error: 0.28076171875
          Iteration 46: Error: 0.28076171875
          Iteration 47: Error: 0.28076171875
          Iteration 48: Error: 0.28076171875
          Iteration 49: Error: 0.27880859375
          Iteration 50: Error: 0.2666015625
          Iteration 51: Error: 0.2666015625
          Iteration 52: Error: 0.256591796875
          Iteration 53: Error: 0.256591796875
          Iteration 54: Error: 0.256591796875
          Iteration 55: Error: 0.256591796875
          Iteration 56: Error: 0.256591796875
          Iteration 57: Error: 0.256591796875
          Iteration 58: Error: 0.256591796875
          Iteration 59: Error: 0.256591796875
          Iteration 60: Error: 0.256591796875
          Iteration 61: Error: 0.256591796875
          Iteration 62: Error: 0.256591796875
          Iteration 63: Error: 0.256591796875
          Iteration 64: Error: 0.256591796875
          Iteration 65: Error: 0.256591796875
          Iteration 66: Error: 0.256591796875
          Iteration 67: Error: 0.256591796875
          Iteration 68: Error: 0.256591796875
          Iteration 69: Error: 0.256591796875
          Iteration 70: Error: 0.256591796875
          Iteration 71: Error: 0.241455078125
  Training with genetic_algorithm method      Error: 0.181884765625 | Iterations: 2
       History of errors:
          Iteration 1: Error: 0.27294921875
          Iteration 2: Error: 0.181884765625
