Results for phase encoding, tolerance=0.25, grid_grain=10
  Training with exaustive_search method      Error: 0.19091796875 | Iterations: 75
       History of errors:
          Iteration 1: Error: 0.50634765625
          Iteration 2: Error: 0.50634765625
          Iteration 3: Error: 0.50634765625
          Iteration 4: Error: 0.271240234375
          Iteration 5: Error: 0.271240234375
          Iteration 6: Error: 0.271240234375
          Iteration 7: Error: 0.271240234375
          Iteration 8: Error: 0.271240234375
          Iteration 9: Error: 0.255615234375
          Iteration 10: Error: 0.255615234375
          Iteration 11: Error: 0.255615234375
          Iteration 12: Error: 0.255615234375
          Iteration 13: Error: 0.255615234375
          Iteration 14: Error: 0.255615234375
          Iteration 15: Error: 0.255615234375
          Iteration 16: Error: 0.255615234375
          Iteration 17: Error: 0.255615234375
          Iteration 18: Error: 0.255615234375
          Iteration 19: Error: 0.255615234375
          Iteration 20: Error: 0.255615234375
          Iteration 21: Error: 0.255615234375
          Iteration 22: Error: 0.255615234375
          Iteration 23: Error: 0.255615234375
          Iteration 24: Error: 0.255615234375
          Iteration 25: Error: 0.255615234375
          Iteration 26: Error: 0.255615234375
          Iteration 27: Error: 0.255615234375
          Iteration 28: Error: 0.255615234375
          Iteration 29: Error: 0.255615234375
          Iteration 30: Error: 0.255615234375
          Iteration 31: Error: 0.255615234375
          Iteration 32: Error: 0.255615234375
          Iteration 33: Error: 0.255615234375
          Iteration 34: Error: 0.255615234375
          Iteration 35: Error: 0.255615234375
          Iteration 36: Error: 0.255615234375
          Iteration 37: Error: 0.255615234375
          Iteration 38: Error: 0.255615234375
          Iteration 39: Error: 0.255615234375
          Iteration 40: Error: 0.255615234375
          Iteration 41: Error: 0.255615234375
          Iteration 42: Error: 0.255615234375
          Iteration 43: Error: 0.255615234375
          Iteration 44: Error: 0.255615234375
          Iteration 45: Error: 0.255615234375
          Iteration 46: Error: 0.255615234375
          Iteration 47: Error: 0.255615234375
          Iteration 48: Error: 0.255615234375
          Iteration 49: Error: 0.255615234375
          Iteration 50: Error: 0.255615234375
          Iteration 51: Error: 0.255615234375
          Iteration 52: Error: 0.255615234375
          Iteration 53: Error: 0.255615234375
          Iteration 54: Error: 0.255615234375
          Iteration 55: Error: 0.255615234375
          Iteration 56: Error: 0.255615234375
