Results for phase encoding, tolerance=0.25, grid_grain=10
  Training with exhaustive_search method      Error: 0.19970703125 | Iterations: 75
       History of errors:
          Iteration 1: Error: 0.50390625
          Iteration 2: Error: 0.50390625
          Iteration 3: Error: 0.50390625
          Iteration 4: Error: 0.283447265625
          Iteration 5: Error: 0.283447265625
          Iteration 6: Error: 0.283447265625
          Iteration 7: Error: 0.283447265625
          Iteration 8: Error: 0.283447265625
          Iteration 9: Error: 0.261962890625
          Iteration 10: Error: 0.261962890625
          Iteration 11: Error: 0.261962890625
          Iteration 12: Error: 0.261962890625
          Iteration 13: Error: 0.261962890625
          Iteration 14: Error: 0.261962890625
          Iteration 15: Error: 0.261962890625
          Iteration 16: Error: 0.261962890625
          Iteration 17: Error: 0.261962890625
          Iteration 18: Error: 0.261962890625
          Iteration 19: Error: 0.261962890625
          Iteration 20: Error: 0.261962890625
          Iteration 21: Error: 0.261962890625
          Iteration 22: Error: 0.261962890625
          Iteration 23: Error: 0.261962890625
          Iteration 24: Error: 0.261962890625
          Iteration 25: Error: 0.261962890625
          Iteration 26: Error: 0.261962890625
          Iteration 27: Error: 0.261962890625
          Iteration 28: Error: 0.261962890625
          Iteration 29: Error: 0.261962890625
          Iteration 30: Error: 0.261962890625
          Iteration 31: Error: 0.261962890625
          Iteration 32: Error: 0.261962890625
          Iteration 33: Error: 0.261962890625
          Iteration 34: Error: 0.261962890625
          Iteration 35: Error: 0.261962890625
          Iteration 36: Error: 0.261962890625
          Iteration 37: Error: 0.261962890625
          Iteration 38: Error: 0.261962890625
          Iteration 39: Error: 0.261962890625
          Iteration 40: Error: 0.261962890625
          Iteration 41: Error: 0.261962890625
          Iteration 42: Error: 0.261962890625
          Iteration 43: Error: 0.261962890625
          Iteration 44: Error: 0.261962890625
          Iteration 45: Error: 0.261962890625
          Iteration 46: Error: 0.261962890625
          Iteration 47: Error: 0.261962890625
          Iteration 48: Error: 0.261962890625
          Iteration 49: Error: 0.261962890625
          Iteration 50: Error: 0.261962890625
          Iteration 51: Error: 0.261962890625
          Iteration 52: Error: 0.261962890625
          Iteration 53: Error: 0.261962890625
          Iteration 54: Error: 0.261962890625
          Iteration 55: Error: 0.261962890625
          Iteration 56: Error: 0.261962890625
          Iteration 57: Error: 0.261962890625
          Iteration 58: Error: 0.261962890625
          Iteration 59: Error: 0.261962890625
          Iteration 60: Error: 0.261962890625
          Iteration 61: Error: 0.261962890625
          Iteration 62: Error: 0.261962890625
          Iteration 63: Error: 0.261962890625
          Iteration 64: Error: 0.261962890625
          Iteration 65: Error: 0.261962890625
          Iteration 66: Error: 0.261962890625
          Iteration 67: Error: 0.261962890625
          Iteration 68: Error: 0.261962890625
          Iteration 69: Error: 0.261962890625
          Iteration 70: Error: 0.261962890625
          Iteration 71: Error: 0.252197265625
          Iteration 72: Error: 0.252197265625
          Iteration 73: Error: 0.252197265625
          Iteration 74: Error: 0.252197265625
          Iteration 75: Error: 0.19970703125
  Training with gradient_descent method      Error: 0.185791015625 | Iterations: 109
       History of errors:
          Iteration 1: Error: 0.501220703125
          Iteration 2: Error: 0.501220703125
          Iteration 3: Error: 0.492431640625
          Iteration 4: Error: 0.492431640625
          Iteration 5: Error: 0.492431640625
          Iteration 6: Error: 0.492431640625
          Iteration 7: Error: 0.48974609375
          Iteration 8: Error: 0.48974609375
          Iteration 9: Error: 0.48974609375
          Iteration 10: Error: 0.48974609375
          Iteration 11: Error: 0.48974609375
          Iteration 12: Error: 0.48974609375
          Iteration 13: Error: 0.48974609375
          Iteration 14: Error: 0.48974609375
          Iteration 15: Error: 0.477783203125
          Iteration 16: Error: 0.41796875
          Iteration 17: Error: 0.41796875
          Iteration 18: Error: 0.41796875
          Iteration 19: Error: 0.41796875
          Iteration 20: Error: 0.41796875
          Iteration 21: Error: 0.41796875
          Iteration 22: Error: 0.41796875
          Iteration 23: Error: 0.41796875
          Iteration 24: Error: 0.41796875
          Iteration 25: Error: 0.41796875
          Iteration 26: Error: 0.41796875
          Iteration 27: Error: 0.41796875
          Iteration 28: Error: 0.41796875
          Iteration 29: Error: 0.41796875
          Iteration 30: Error: 0.41796875
          Iteration 31: Error: 0.41796875
          Iteration 32: Error: 0.41796875
          Iteration 33: Error: 0.41796875
          Iteration 34: Error: 0.41796875
          Iteration 35: Error: 0.41796875
          Iteration 36: Error: 0.41796875
          Iteration 37: Error: 0.41796875
          Iteration 38: Error: 0.41796875
          Iteration 39: Error: 0.41796875
          Iteration 40: Error: 0.41796875
          Iteration 41: Error: 0.41796875
          Iteration 42: Error: 0.41796875
          Iteration 43: Error: 0.41796875
          Iteration 44: Error: 0.41796875
          Iteration 45: Error: 0.41796875
          Iteration 46: Error: 0.41796875
          Iteration 47: Error: 0.41796875
          Iteration 48: Error: 0.41796875
          Iteration 49: Error: 0.41796875
          Iteration 50: Error: 0.41796875
          Iteration 51: Error: 0.41796875
          Iteration 52: Error: 0.356201171875
          Iteration 53: Error: 0.356201171875
          Iteration 54: Error: 0.356201171875
          Iteration 55: Error: 0.356201171875
          Iteration 56: Error: 0.356201171875
          Iteration 57: Error: 0.356201171875
          Iteration 58: Error: 0.356201171875
          Iteration 59: Error: 0.356201171875
