Iteration; Theta1; Theta2; Alpha; Input 00 Output 0 Frequency; Input 00 Output 1 Frequency; Input 01 Output 0 Frequency; Input 01 Output 1 Frequency; Input 10 Output 0 Frequency; Input 10 Output 1 Frequency; Input 11 Output 0 Frequency; Input 11 Output 1 Frequency; Error
1; -3.141592653589793; -3.141592653589793; -3.141592653589793; 497; 527; 523; 501; 498; 526; 511; 513; 0.503173828125
2; -3.141592653589793; -3.141592653589793; -0.9483472311254912; 277; 747; 767; 257; 756; 268; 250; 774; 0.7431640625
3; -3.141592653589793; -3.141592653589793; 1.2448981913388106; 393; 631; 558; 466; 633; 391; 404; 620; 0.59619140625
4; -3.141592653589793; -3.141592653589793; -2.8450416933764746; 742; 282; 277; 747; 294; 730; 736; 288; 0.278564453125
5; -3.141592653589793; -3.141592653589793; -0.6517962709121727; 667; 357; 336; 688; 379; 645; 719; 305; 0.336181640625
6; -3.141592653589793; -3.141592653589793; 1.5414491515521291; 350; 674; 699; 325; 662; 362; 350; 674; 0.661376953125
7; -3.141592653589793; -3.141592653589793; -2.548490733163156; 285; 739; 741; 283; 737; 287; 293; 731; 0.7197265625
8; -3.141592653589793; -3.141592653589793; -0.3552453106988538; 597; 427; 419; 605; 450; 574; 611; 413; 0.417236328125
9; -3.141592653589793; -3.141592653589793; 1.8380001117654476; 783; 241; 251; 773; 240; 784; 773; 251; 0.239990234375
10; -3.141592653589793; -3.141592653589793; -2.2519397729498363; 499; 525; 520; 504; 491; 533; 493; 531; 0.504638671875
11; -3.141592653589793; -0.9483472311254912; -3.141592653589793; 515; 509; 834; 190; 543; 481; 162; 862; 0.6708984375
12; -3.141592653589793; -0.9483472311254912; -0.9483472311254912; 264; 760; 884; 140; 761; 263; 142; 882; 0.802490234375
13; -3.141592653589793; -0.9483472311254912; 1.2448981913388106; 423; 601; 618; 406; 587; 437; 447; 577; 0.581787109375
14; -3.141592653589793; -0.9483472311254912; -2.8450416933764746; 726; 298; 468; 556; 308; 716; 625; 399; 0.359619140625
15; -3.141592653589793; -0.9483472311254912; -0.6517962709121727; 679; 345; 680; 344; 362; 662; 336; 688; 0.506591796875
16; -3.141592653589793; -0.9483472311254912; 1.5414491515521291; 332; 692; 942; 82; 709; 315; 94; 930; 0.799072265625
17; -3.141592653589793; -0.9483472311254912; -2.548490733163156; 301; 723; 763; 261; 718; 306; 252; 772; 0.7265625
18; -3.141592653589793; -0.9483472311254912; -0.3552453106988538; 597; 427; 446; 578; 437; 587; 563; 461; 0.432373046875
19; -3.141592653589793; -0.9483472311254912; 1.8380001117654476; 768; 256; 530; 494; 262; 762; 498; 526; 0.38427734375
20; -3.141592653589793; -0.9483472311254912; -2.2519397729498363; 513; 511; 838; 186; 486; 538; 188; 836; 0.652099609375
21; -3.141592653589793; 1.2448981913388106; -3.141592653589793; 514; 510; 1017; 7; 521; 503; 9; 1015; 0.747802734375
22; -3.141592653589793; 1.2448981913388106; -0.9483472311254912; 267; 757; 861; 163; 767; 257; 170; 854; 0.790771484375
23; -3.141592653589793; 1.2448981913388106; 1.2448981913388106; 429; 595; 545; 479; 593; 431; 469; 555; 0.55859375
24; -3.141592653589793; 1.2448981913388106; -2.8450416933764746; 725; 299; 575; 449; 302; 722; 433; 591; 0.431396484375
25; -3.141592653589793; 1.2448981913388106; -0.6517962709121727; 683; 341; 936; 88; 343; 681; 97; 927; 0.621826171875
26; -3.141592653589793; 1.2448981913388106; 1.5414491515521291; 346; 678; 999; 25; 669; 355; 32; 992; 0.81494140625
27; -3.141592653589793; 1.2448981913388106; -2.548490733163156; 303; 721; 655; 369; 726; 298; 351; 673; 0.677490234375
28; -3.141592653589793; 1.2448981913388106; -0.3552453106988538; 608; 416; 534; 490; 423; 601; 527; 497; 0.45654296875
29; -3.141592653589793; 1.2448981913388106; 1.8380001117654476; 766; 258; 779; 245; 251; 773; 265; 759; 0.499755859375
30; -3.141592653589793; 1.2448981913388106; -2.2519397729498363; 498; 526; 1017; 7; 502; 522; 9; 1015; 0.7470703125
31; -3.141592653589793; -2.8450416933764746; -3.141592653589793; 515; 509; 957; 67; 522; 502; 79; 945; 0.716064453125
32; -3.141592653589793; -2.8450416933764746; -0.9483472311254912; 286; 738; 658; 366; 762; 262; 402; 622; 0.6787109375
33; -3.141592653589793; -2.8450416933764746; 1.2448981913388106; 433; 591; 484; 540; 611; 413; 525; 499; 0.533447265625
34; -3.141592653589793; -2.8450416933764746; -2.8450416933764746; 751; 273; 734; 290; 263; 761; 297; 727; 0.487548828125
35; -3.141592653589793; -2.8450416933764746; -0.6517962709121727; 683; 341; 983; 41; 330; 694; 40; 984; 0.64404296875
36; -3.141592653589793; -2.8450416933764746; 1.5414491515521291; 359; 665; 804; 220; 688; 336; 200; 824; 0.727783203125
37; -3.141592653589793; -2.8450416933764746; -2.548490733163156; 277; 747; 495; 529; 739; 285; 508; 516; 0.609619140625
38; -3.141592653589793; -2.8450416933764746; -0.3552453106988538; 594; 430; 592; 432; 398; 626; 436; 588; 0.490234375
39; -3.141592653589793; -2.8450416933764746; 1.8380001117654476; 745; 279; 902; 122; 252; 772; 107; 917; 0.57373046875
40; -3.141592653589793; -2.8450416933764746; -2.2519397729498363; 523; 501; 957; 67; 524; 500; 80; 944; 0.71435546875
41; -3.141592653589793; -0.6517962709121727; -3.141592653589793; 524; 500; 687; 337; 519; 505; 346; 678; 0.58203125
42; -3.141592653589793; -0.6517962709121727; -0.9483472311254912; 264; 760; 379; 645; 754; 270; 649; 375; 0.5537109375
43; -3.141592653589793; -0.6517962709121727; 1.2448981913388106; 421; 603; 436; 588; 601; 423; 576; 448; 0.509765625
44; -3.141592653589793; -0.6517962709121727; -2.8450416933764746; 739; 285; 742; 282; 292; 732; 239; 785; 0.513671875
45; -3.141592653589793; -0.6517962709121727; -0.6517962709121727; 681; 343; 825; 199; 365; 659; 198; 826; 0.575927734375
46; -3.141592653589793; -0.6517962709121727; 1.5414491515521291; 373; 651; 508; 516; 660; 364; 526; 498; 0.565673828125
47; -3.141592653589793; -0.6517962709121727; -2.548490733163156; 277; 747; 319; 705; 723; 301; 676; 348; 0.521728515625
48; -3.141592653589793; -0.6517962709121727; -0.3552453106988538; 624; 400; 609; 415; 413; 611; 441; 583; 0.489501953125
49; -3.141592653589793; -0.6517962709121727; 1.8380001117654476; 785; 239; 858; 166; 268; 756; 171; 853; 0.54150390625
50; -3.141592653589793; -0.6517962709121727; -2.2519397729498363; 511; 513; 673; 351; 529; 495; 337; 687; 0.58642578125
51; -3.141592653589793; 1.5414491515521291; -3.141592653589793; 520; 504; 329; 695; 516; 508; 690; 334; 0.410888671875
52; -3.141592653589793; 1.5414491515521291; -0.9483472311254912; 257; 767; 176; 848; 744; 280; 859; 165; 0.4521484375
53; -3.141592653589793; 1.5414491515521291; 1.2448981913388106; 428; 596; 432; 592; 572; 452; 601; 423; 0.493896484375
54; -3.141592653589793; 1.5414491515521291; -2.8450416933764746; 690; 334; 682; 342; 265; 759; 345; 679; 0.478515625
55; -3.141592653589793; 1.5414491515521291; -0.6517962709121727; 685; 339; 515; 509; 335; 689; 531; 493; 0.41064453125
56; -3.141592653589793; 1.5414491515521291; 1.5414491515521291; 353; 671; 210; 814; 666; 358; 827; 197; 0.42578125
57; -3.141592653589793; 1.5414491515521291; -2.548490733163156; 296; 728; 265; 759; 724; 300; 762; 262; 0.483154296875
58; -3.141592653589793; 1.5414491515521291; -0.3552453106988538; 589; 435; 591; 433; 418; 606; 403; 621; 0.504150390625
59; -3.141592653589793; 1.5414491515521291; 1.8380001117654476; 763; 261; 648; 376; 253; 771; 371; 653; 0.443115234375
60; -3.141592653589793; 1.5414491515521291; -2.2519397729498363; 502; 522; 340; 684; 523; 501; 681; 343; 0.421875
61; -3.141592653589793; -2.548490733163156; -3.141592653589793; 516; 508; 72; 952; 518; 506; 968; 56; 0.28173828125
62; -3.141592653589793; -2.548490733163156; -0.9483472311254912; 238; 786; 126; 898; 773; 251; 895; 129; 0.44287109375
63; -3.141592653589793; -2.548490733163156; 1.2448981913388106; 418; 606; 466; 558; 616; 408; 587; 437; 0.518798828125
64; -3.141592653589793; -2.548490733163156; -2.8450416933764746; 726; 298; 513; 511; 286; 738; 491; 533; 0.39794921875
65; -3.141592653589793; -2.548490733163156; -0.6517962709121727; 696; 328; 208; 816; 355; 669; 822; 202; 0.266845703125
66; -3.141592653589793; -2.548490733163156; 1.5414491515521291; 360; 664; 43; 981; 677; 347; 996; 28; 0.3447265625
67; -3.141592653589793; -2.548490733163156; -2.548490733163156; 310; 714; 261; 763; 728; 296; 729; 295; 0.48779296875
68; -3.141592653589793; -2.548490733163156; -0.3552453106988538; 565; 459; 543; 481; 401; 623; 482; 542; 0.474853515625
69; -3.141592653589793; -2.548490733163156; 1.8380001117654476; 759; 265; 412; 612; 247; 777; 642; 382; 0.31884765625
70; -3.141592653589793; -2.548490733163156; -2.2519397729498363; 491; 533; 75; 949; 494; 530; 951; 73; 0.286865234375
71; -3.141592653589793; -0.3552453106988538; -3.141592653589793; 538; 486; 9; 1015; 500; 524; 1014; 10; 0.245361328125
72; -3.141592653589793; -0.3552453106988538; -0.9483472311254912; 253; 771; 261; 763; 751; 273; 760; 264; 0.499755859375
73; -3.141592653589793; -0.3552453106988538; 1.2448981913388106; 412; 612; 507; 517; 599; 425; 534; 490; 0.5390625
74; -3.141592653589793; -0.3552453106988538; -2.8450416933764746; 748; 276; 334; 690; 293; 731; 669; 355; 0.30712890625
75; -3.141592653589793; -0.3552453106988538; -0.6517962709121727; 673; 351; 25; 999; 357; 667; 981; 43; 0.189453125
76; -3.141592653589793; -0.3552453106988538; 1.5414491515521291; 358; 666; 90; 934; 684; 340; 917; 107; 0.377685546875
77; -3.141592653589793; -0.3552453106988538; -2.548490733163156; 292; 732; 413; 611; 748; 276; 604; 420; 0.564697265625
78; -3.141592653589793; -0.3552453106988538; -0.3552453106988538; 582; 442; 463; 561; 433; 591; 524; 500; 0.44873046875
79; -3.141592653589793; -0.3552453106988538; 1.8380001117654476; 780; 244; 177; 847; 256; 768; 855; 169; 0.20654296875
80; -3.141592653589793; -0.3552453106988538; -2.2519397729498363; 499; 525; 9; 1015; 503; 521; 1019; 5; 0.25439453125
81; -3.141592653589793; 1.8380001117654476; -3.141592653589793; 510; 514; 179; 845; 481; 543; 811; 213; 0.338623046875
82; -3.141592653589793; 1.8380001117654476; -0.9483472311254912; 273; 751; 509; 515; 759; 265; 496; 528; 0.621826171875
83; -3.141592653589793; 1.8380001117654476; 1.2448981913388106; 407; 617; 580; 444; 594; 430; 478; 546; 0.570556640625
84; -3.141592653589793; 1.8380001117654476; -2.8450416933764746; 726; 298; 263; 761; 288; 736; 764; 260; 0.270751953125
85; -3.141592653589793; 1.8380001117654476; -0.6517962709121727; 684; 340; 110; 914; 354; 670; 919; 105; 0.221923828125
86; -3.141592653589793; 1.8380001117654476; 1.5414491515521291; 343; 681; 372; 652; 694; 330; 691; 333; 0.5078125
87; -3.141592653589793; 1.8380001117654476; -2.548490733163156; 276; 748; 589; 435; 740; 284; 405; 619; 0.658203125
88; -3.141592653589793; 1.8380001117654476; -0.3552453106988538; 600; 424; 440; 584; 410; 614; 594; 430; 0.416015625
89; -3.141592653589793; 1.8380001117654476; 1.8380001117654476; 771; 253; 121; 903; 281; 743; 891; 133; 0.1923828125
90; -3.141592653589793; 1.8380001117654476; -2.2519397729498363; 498; 526; 187; 837; 525; 499; 863; 161; 0.341552734375
91; -3.141592653589793; -2.2519397729498363; -3.141592653589793; 521; 503; 525; 499; 513; 511; 519; 505; 0.49951171875
92; -3.141592653589793; -2.2519397729498363; -0.9483472311254912; 264; 760; 764; 260; 758; 266; 240; 784; 0.74853515625
93; -3.141592653589793; -2.2519397729498363; 1.2448981913388106; 434; 590; 616; 408; 622; 402; 406; 618; 0.59716796875
94; -3.141592653589793; -2.2519397729498363; -2.8450416933764746; 720; 304; 286; 738; 280; 744; 754; 270; 0.2783203125
95; -3.141592653589793; -2.2519397729498363; -0.6517962709121727; 699; 325; 358; 666; 377; 647; 684; 340; 0.341796875
96; -3.141592653589793; -2.2519397729498363; 1.5414491515521291; 357; 667; 694; 330; 691; 333; 357; 667; 0.663818359375
97; -3.141592653589793; -2.2519397729498363; -2.548490733163156; 308; 716; 754; 270; 753; 271; 295; 729; 0.720703125
98; -3.141592653589793; -2.2519397729498363; -0.3552453106988538; 602; 422; 453; 571; 411; 613; 594; 430; 0.4189453125
99; -3.141592653589793; -2.2519397729498363; 1.8380001117654476; 764; 260; 262; 762; 245; 779; 764; 260; 0.250732421875
100; -3.141592653589793; -2.2519397729498363; -2.2519397729498363; 513; 511; 531; 493; 488; 536; 500; 524; 0.50146484375
101; -0.9483472311254912; -3.141592653589793; -3.141592653589793; 515; 509; 505; 519; 527; 497; 521; 503; 0.4990234375
102; -0.9483472311254912; -3.141592653589793; -0.9483472311254912; 276; 748; 741; 283; 577; 447; 456; 568; 0.64306640625
103; -0.9483472311254912; -3.141592653589793; 1.2448981913388106; 426; 598; 602; 422; 277; 747; 760; 264; 0.425048828125
