logic gate,method,encoding,max_number_of_iterations_to_converge
AND,cg-exhaustive,amplitude,0
AND,genetic,amplitude,0
AND,gradient,amplitude,0
AND,random,amplitude,0
AND,simulated,amplitude,0
NAND,cg-exhaustive,amplitude,0
NAND,genetic,amplitude,0
NAND,gradient,amplitude,0
NAND,random,amplitude,0
NAND,simulated,amplitude,0
NOR,cg-exhaustive,amplitude,0
NOR,genetic,amplitude,0
NOR,gradient,amplitude,0
NOR,random,amplitude,0
NOR,simulated,amplitude,0
OR,cg-exhaustive,amplitude,0
OR,genetic,amplitude,0
OR,gradient,amplitude,0
OR,random,amplitude,0
OR,simulated,amplitude,0
XNOR,cg-exhaustive,amplitude,0
XNOR,genetic,amplitude,0
XNOR,gradient,amplitude,0
XNOR,random,amplitude,0
XNOR,simulated,amplitude,0
XOR,cg-exhaustive,amplitude,0
XOR,genetic,amplitude,0
XOR,gradient,amplitude,0
XOR,random,amplitude,0
XOR,simulated,amplitude,0
